,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,DVN,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,364397000,6308817,57.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,326715000,6297521,51.0,11296,6.0,BUY-MORE,5 - Large
1,BRK.A,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,352408000,2068,170410.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,403628000,2394,168599.0,-326,1811.0,SELL-PARTIAL,6 - Mega
2,ORCL,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,291178000,8778350,33.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,269101000,8762658,30.0,15692,3.0,BUY-MORE,5 - Large
3,EXPD,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,223004000,5061369,44.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,248219000,6525202,38.0,-1463833,6.0,SELL-PARTIAL,6 - Mega
4,MA,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,189095000,281065,672.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,161191000,280577,574.0,488,98.0,BUY-MORE,5 - Large
5,TOT,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,159816000,2759262,57.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,183622000,3770480,48.0,-1011218,9.0,BUY-MORE,5 - Large
6,OXY,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,154919000,1656174,93.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,147524000,1653302,89.0,2872,4.0,BUY-MORE,5 - Large
7,MSFT,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,153531000,4613317,33.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,159084000,4605122,34.0,8195,-1.0,SELL-PARTIAL,5 - Large
8,UEPS,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,151629000,12641021,11.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,92929000,12626159,7.0,14862,4.0,BUY-MORE,6 - Mega
9,GHC,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,140846000,230385,611.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,181108000,374369,483.0,-143984,128.0,SELL-PARTIAL,6 - Mega
10,AON,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,134092000,1801343,74.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,115716000,1798227,64.0,3116,10.0,SELL-PARTIAL,6 - Mega
11,IAU,INTERNATIONAL VALUE ADVISERS LLC,FND,2013-09-30,124219000,9636867,12.0,INTERNATIONAL VALUE ADVISERS LLC,FND,2013-06-30,140020000,11678072,11.0,-2041205,1.0,SELL-PARTIAL,5 - Large
12,EGN,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,122796000,1607487,76.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,83858000,1604640,52.0,2847,24.0,SELL-PARTIAL,5 - Large
13,ITUB,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,109500000,7754971,14.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,114660000,8874593,12.0,-1119622,2.0,SELL-PARTIAL,5 - Large
14,GOOGL,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,107763000,123030,875.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,108119000,122811,880.0,219,-5.0,BUY-MORE,4 - Mid
15,IM,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,107099000,4646382,23.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,88081000,4638277,18.0,8105,5.0,SELL-PARTIAL,5 - Large
16,BHI,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,105990000,2158654,49.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,120968000,2622327,46.0,-463673,3.0,SELL-PARTIAL,3 - Small
17,ATGE,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,86541000,2831851,30.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,87691000,2826922,31.0,4929,-1.0,SELL-PARTIAL,4 - Mid
18,CVS,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-09-30,78155000,1377172,56.0,INTERNATIONAL VALUE ADVISERS LLC,SHR,2013-06-30,78610000,1374781,57.0,2391,-1.0,SELL-PARTIAL,5 - Large
