,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,OXY,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,141551000,1513270,93.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,119441000,1338570,89.0,174700,4.0,BUY-MORE,5 - Large
1,SRCL,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,95894000,830971,115.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,87278000,790347,110.0,40624,5.0,SELL-PARTIAL,6 - Mega
2,JPM,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,92947000,1798158,51.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,95593000,1810808,52.0,-12650,-1.0,SELL-PARTIAL,5 - Large
3,CB1,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,92041000,1031156,89.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,87936000,1038816,84.0,-7660,5.0,SELL-PARTIAL,6 - Mega
4,DOV,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,89511000,996448,89.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,95866000,1234428,77.0,-237980,12.0,BUY-MORE,5 - Large
5,DIS,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,83003000,1287075,64.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,109136000,1728195,63.0,-441120,1.0,SELL-PARTIAL,5 - Large
6,WBA,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,82048000,1525060,53.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,57133000,1292610,44.0,232450,9.0,SELL-PARTIAL,5 - Large
7,UNP,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,80592000,518810,155.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,63237000,409885,154.0,108925,1.0,SELL-PARTIAL,5 - Large
8,COO,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,79610000,613850,129.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,52136000,437935,119.0,175915,10.0,SELL-PARTIAL,4 - Mid
9,OGE,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,75801000,2100331,36.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,75089000,1101007,68.0,999324,-32.0,SELL-PARTIAL,5 - Large
10,C,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,74622000,1538275,48.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,74152000,1545805,47.0,-7530,1.0,SELL-PARTIAL,5 - Large
11,NOV,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,72870000,932916,78.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,57929000,840766,68.0,92150,10.0,SELL-PARTIAL,6 - Mega
12,DFS,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,71232000,1409415,50.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,67623000,1419455,47.0,-10040,3.0,SELL-PARTIAL,5 - Large
13,WFC,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,68470000,1657059,41.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,68870000,1668769,41.0,-11710,0.0,SELL-PARTIAL,4 - Mid
14,COST,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,67232000,583760,115.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,65007000,587930,110.0,-4170,5.0,SELL-PARTIAL,4 - Mid
15,ITW,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,66154000,867360,76.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,60417000,873450,69.0,-6090,7.0,SELL-PARTIAL,6 - Mega
16,BAM,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,65677000,1756070,37.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,63729000,1769260,36.0,-13190,1.0,SELL-PARTIAL,4 - Mid
17,ROP,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,61469000,462624,132.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,389000,3134,124.0,459490,8.0,SELL-PARTIAL,5 - Large
18,SCHW,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-09-30,60832000,2877580,21.0,IRONBRIDGE CAPITAL MANAGEMENT LP,SHR,2013-06-30,61060000,2876140,21.0,1440,0.0,SELL-PARTIAL,5 - Large
