,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NKE,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,303408000,4176871,72.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,272478000,4278860,63.0,-101989,9.0,HOLD,5 - Large
1,EFA,JASPER RIDGE PARTNERS LP,FND,2013-09-30,128576000,2015270,63.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,144458000,2521079,57.0,-505809,6.0,HOLD,6 - Mega
2,PCAR,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,102295000,1837861,55.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,104600000,1949313,53.0,-111452,2.0,HOLD,6 - Mega
3,VWO,JASPER RIDGE PARTNERS LP,FND,2013-09-30,96539000,2405364,40.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,112807000,2907764,38.0,-502400,2.0,BUY-MORE,6 - Mega
4,GPS,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,89906000,2232014,40.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,99464000,2383525,41.0,-151511,-1.0,HOLD,5 - Large
5,HD,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,80572000,1062257,75.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,84182000,1086646,77.0,-24389,-2.0,HOLD,3 - Small
6,RCM,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,73888000,8101774,9.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,87580000,8101774,10.0,0,-1.0,HOLD,5 - Large
7,EMC,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,62739000,2454583,25.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,59757000,2529926,23.0,-75343,2.0,SELL-PARTIAL,6 - Mega
8,IVV,JASPER RIDGE PARTNERS LP,FND,2013-09-30,60818000,360082,168.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,22234000,138201,160.0,221881,8.0,SELL-PARTIAL,3 - Small
9,EWJ,JASPER RIDGE PARTNERS LP,FND,2013-09-30,58655000,4920734,11.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,57228000,5100534,11.0,-179800,0.0,HOLD,5 - Large
10,TWX,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,56994000,866039,65.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,51247000,886326,57.0,-20287,8.0,HOLD,5 - Large
11,VAL1,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,52631000,829748,63.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,55564000,859192,64.0,-29444,-1.0,HOLD,5 - Large
12,JBL,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,48425000,2233618,21.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,46601000,2286585,20.0,-52967,1.0,BUY-MORE,5 - Large
13,INTC,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,43608000,1902538,22.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,47670000,1967389,24.0,-64851,-2.0,BUY-MORE,5 - Large
14,IWD,JASPER RIDGE PARTNERS LP,FND,2013-09-30,37460000,434574,86.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,49727000,593476,83.0,-158902,3.0,HOLD,4 - Mid
15,CTAS,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,37438000,731212,51.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,37166000,816107,45.0,-84895,6.0,BUY-MORE,5 - Large
16,TWC,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,24261000,217393,111.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,25024000,222476,112.0,-5083,-1.0,BUY-MORE,5 - Large
17,HRC,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,21201000,591716,35.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,19929000,591716,33.0,0,2.0,SELL-PARTIAL,5 - Large
18,CCI,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,12625000,172878,73.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,9859000,136188,72.0,36690,1.0,HOLD,4 - Mid
19,EWY,JASPER RIDGE PARTNERS LP,FND,2013-09-30,12310000,200159,61.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,10648000,200159,53.0,0,8.0,HOLD,4 - Mid
20,EEM,JASPER RIDGE PARTNERS LP,FND,2013-09-30,10358000,254150,40.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,44471000,1155080,38.0,-900930,2.0,HOLD,4 - Mid
21,KKR,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,10038000,487731,20.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,9589000,487731,19.0,0,1.0,HOLD,4 - Mid
22,IWM,JASPER RIDGE PARTNERS LP,FND,2013-09-30,9497000,89082,106.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,10114000,104272,96.0,-15190,10.0,HOLD,5 - Large
23,HI,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,7447000,272088,27.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,7503000,316468,23.0,-44380,4.0,HOLD,4 - Mid
24,SPY,JASPER RIDGE PARTNERS LP,FND,2013-09-30,7090000,42200,168.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,63521000,395969,160.0,-353769,8.0,HOLD,4 - Mid
25,ISRG,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,6721000,17862,376.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,9041000,17862,506.0,0,-130.0,HOLD,4 - Mid
26,IWN,JASPER RIDGE PARTNERS LP,FND,2013-09-30,6633000,72386,91.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,6218000,72386,85.0,0,6.0,HOLD,6 - Mega
27,FB,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,6437000,128145,50.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,2942000,118237,24.0,9908,26.0,HOLD,6 - Mega
28,EFG,JASPER RIDGE PARTNERS LP,FND,2013-09-30,6033000,88558,68.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,5468000,88558,61.0,0,7.0,SELL-PARTIAL,3 - Small
29,IWF,JASPER RIDGE PARTNERS LP,FND,2013-09-30,5453000,69729,78.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,5072000,69729,72.0,0,6.0,HOLD,5 - Large
30,SAM,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,5208000,21324,244.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,6182000,36229,170.0,-14905,74.0,HOLD,4 - Mid
31,BP,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,4474000,106447,42.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,4544000,108857,41.0,-2410,1.0,HOLD,5 - Large
32,BX,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,3945000,158482,24.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,13351000,633929,21.0,-475447,3.0,SELL-PARTIAL,4 - Mid
33,WDAY,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,3371000,41651,80.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,2962000,46221,64.0,-4570,16.0,SELL-PARTIAL,5 - Large
34,INTU,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,3290000,49608,66.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,4335000,71026,61.0,-21418,5.0,HOLD,5 - Large
35,NWSA,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,3247000,202159,16.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,26959000,827481,32.0,-625322,-16.0,HOLD,4 - Mid
36,SBUX,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,3177000,41278,76.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,4053000,61874,65.0,-20596,11.0,HOLD,4 - Mid
37,IVW,JASPER RIDGE PARTNERS LP,FND,2013-09-30,3100000,34688,89.0,JASPER RIDGE PARTNERS LP,FND,2013-06-30,2914000,34688,84.0,0,5.0,BUY-MORE,4 - Mid
38,AAPL,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,3046000,6390,476.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,2930000,7390,396.0,-1000,80.0,HOLD,4 - Mid
39,HSIC,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,2895000,27896,103.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,3735000,39012,95.0,-11116,8.0,HOLD,5 - Large
40,AMGN,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,2788000,24909,111.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,3920000,39737,98.0,-14828,13.0,HOLD,4 - Mid
41,XOM,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,2474000,28755,86.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,3409000,37732,90.0,-8977,-4.0,HOLD,4 - Mid
42,BWA,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,2356000,23236,101.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,3969000,46072,86.0,-22836,15.0,HOLD,4 - Mid
43,GL,JASPER RIDGE PARTNERS LP,SHR,2013-09-30,2329000,32188,72.0,JASPER RIDGE PARTNERS LP,SHR,2013-06-30,3487000,53536,65.0,-21348,7.0,HOLD,4 - Mid
