,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,IWM,JET CAPITAL INVESTORS L P,PUT,2013-09-30,102793000,964200,106.0,JET CAPITAL INVESTORS L P,PUT,2013-06-30,164900000,1700000,97.0,-735800,9.0,BUY-MORE,5 - Large
1,IWM,JET CAPITAL INVESTORS L P,CLL,2013-09-30,77676000,728600,106.0,JET CAPITAL INVESTORS L P,PUT,2013-06-30,164900000,1700000,97.0,-971400,9.0,SELL-PARTIAL,5 - Large
2,ELN,JET CAPITAL INVESTORS L P,SHR,2013-09-30,99878000,6410643,15.0,JET CAPITAL INVESTORS L P,SHR,2013-06-30,56845000,4020150,14.0,2390493,1.0,BUY-MORE,5 - Large
3,HES,JET CAPITAL INVESTORS L P,SHR,2013-09-30,98958000,1279518,77.0,JET CAPITAL INVESTORS L P,SHR,2013-06-30,98603000,1482973,66.0,-203455,11.0,BUY-MORE,5 - Large
4,HES,JET CAPITAL INVESTORS L P,CLL,2013-09-30,37479000,484600,77.0,JET CAPITAL INVESTORS L P,SHR,2013-06-30,98603000,1482973,66.0,-998373,11.0,BUY-MORE,5 - Large
5,QRTEA,JET CAPITAL INVESTORS L P,SHR,2013-09-30,96167000,1090700,88.0,JET CAPITAL INVESTORS L P,SHR,2013-06-30,82287000,967972,85.0,122728,3.0,SELL-PARTIAL,5 - Large
6,IYR,JET CAPITAL INVESTORS L P,CLL,2013-09-30,63790000,1000000,63.0,JET CAPITAL INVESTORS L P,CLL,2013-06-30,66430000,1000000,66.0,0,-3.0,BUY-MORE,5 - Large
7,SXC,JET CAPITAL INVESTORS L P,SHR,2013-09-30,62402000,3670715,16.0,JET CAPITAL INVESTORS L P,SHR,2013-06-30,48792000,3480139,14.0,190576,2.0,SELL-PARTIAL,5 - Large
8,BKH,JET CAPITAL INVESTORS L P,SHR,2013-09-30,49670000,996198,49.0,JET CAPITAL INVESTORS L P,SHR,2013-06-30,46976000,963600,48.0,32598,1.0,BUY-MORE,5 - Large
9,NRG,JET CAPITAL INVESTORS L P,SHR,2013-09-30,39691000,1452300,27.0,JET CAPITAL INVESTORS L P,CLL,2013-06-30,54650000,2046800,26.0,-594500,1.0,BUY-MORE,5 - Large
10,NRG,JET CAPITAL INVESTORS L P,CLL,2013-09-30,29259000,1070600,27.0,JET CAPITAL INVESTORS L P,CLL,2013-06-30,54650000,2046800,26.0,-976200,1.0,SELL-PARTIAL,3 - Small
