,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BND,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,2279474000,28183410,80.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,2077637000,25687895,80.0,2495515,0.0,,
1,AGG,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,2055690000,19176215,107.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,1878231000,17519178,107.0,1657037,0.0,,
2,VTV,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,806566000,11557051,69.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,748583000,11072086,67.0,484965,2.0,,
3,EFA,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,665775000,10435171,63.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,558404000,9745262,57.0,689909,6.0,,
4,VUG,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,655286000,7744780,84.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,577769000,7393084,78.0,351696,6.0,,
5,IWD,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,629370000,7301262,86.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,565428000,6748156,83.0,553106,3.0,,
6,BSV,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,547525000,6812547,80.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,525212000,6559409,80.0,253138,0.0,,
7,IWF,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,448824000,5739442,78.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,387636000,5329057,72.0,410385,6.0,,
8,EFV,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,329138000,6049207,54.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,276420000,5713522,48.0,335685,6.0,,
9,VYM,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,222185000,3864741,57.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,209357000,3713966,56.0,150775,1.0,,
10,VEU,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,186142000,3830094,48.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,160384000,3626946,44.0,203148,4.0,,
11,SDY,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,171321000,2485078,68.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,159496000,2405670,66.0,79408,2.0,,
12,IVW,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,166849000,1867163,89.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,149707000,1782006,84.0,85157,5.0,,
13,IWS,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,130357000,2140152,60.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,118816000,2051388,57.0,88764,3.0,,
14,EFG,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,125307000,1839214,68.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,106110000,1718388,61.0,120826,7.0,,
15,IWP,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,97577000,1247787,78.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,86433000,1204648,71.0,43139,7.0,,
16,DIA,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,61872000,409750,150.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,57740000,388685,148.0,21065,2.0,,
17,IWM,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,59850000,561391,106.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,51968000,535746,97.0,25645,9.0,,
18,SCZ,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,39770000,819829,48.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,31856000,759568,41.0,60261,7.0,,
19,BIV,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,37381000,447682,83.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,39498000,473075,83.0,-25393,0.0,,
20,IWR,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,21918000,157603,139.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,21099000,162434,129.0,-4831,10.0,,
21,VTI,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,17615000,200967,87.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,16075000,194456,82.0,6511,5.0,,
22,IJH,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,16707000,134578,124.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,14375000,124464,115.0,10114,9.0,,
23,CVX,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,12829000,105595,121.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,12060000,101910,118.0,3685,3.0,BUY-MORE,6 - Mega
24,JNJ,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,12695000,146435,86.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,12213000,142237,85.0,4198,1.0,BUY-MORE,6 - Mega
25,PFE,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,11673000,406379,28.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,11056000,394727,28.0,11652,0.0,SELL-PARTIAL,6 - Mega
26,PG,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,10989000,145379,75.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,10872000,141213,76.0,4166,-1.0,SELL-PARTIAL,6 - Mega
27,VBR,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,10972000,121588,90.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,9980000,119234,83.0,2354,7.0,BUY-MORE,6 - Mega
28,IBM,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,10540000,56916,185.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,9926000,51938,191.0,4978,-6.0,BUY-MORE,6 - Mega
29,RTX,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,9871000,91552,107.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,8400000,90379,92.0,1173,15.0,SELL-PARTIAL,6 - Mega
30,IJJ,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,9468000,87655,108.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,8603000,84939,101.0,2716,7.0,BUY-MORE,6 - Mega
31,JPM,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,9404000,181927,51.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,9248000,175190,52.0,6737,-1.0,BUY-MORE,6 - Mega
32,IUSV,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,9182000,81294,112.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,8631000,78882,109.0,2412,3.0,BUY-MORE,6 - Mega
33,MSFT,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,9143000,274732,33.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,8424000,243881,34.0,30851,-1.0,SELL-PARTIAL,6 - Mega
34,VOE,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,8849000,120834,73.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,7927000,115441,68.0,5393,5.0,BUY-MORE,6 - Mega
35,MMM,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,8830000,73945,119.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,7594000,69446,109.0,4499,10.0,SELL-PARTIAL,6 - Mega
36,WFC,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,8315000,201230,41.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,7434000,180130,41.0,21100,0.0,SELL-PARTIAL,6 - Mega
37,VB,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,8181000,79821,102.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,6143000,65550,93.0,14271,9.0,BUY-MORE,6 - Mega
38,DIS,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,7767000,120441,64.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,7103000,112473,63.0,7968,1.0,SELL-PARTIAL,6 - Mega
39,IJS,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,7757000,75884,102.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,6733000,72056,93.0,3828,9.0,SELL-PARTIAL,6 - Mega
40,VWO,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,7724000,192451,40.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,6928000,178591,38.0,13860,2.0,SELL-PARTIAL,6 - Mega
41,GIS,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,7585000,158289,47.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,7158000,147508,48.0,10781,-1.0,SELL-PARTIAL,6 - Mega
42,MRK,JONES FINANCIAL COMPANIES LLLP,SHR,2013-09-30,7403000,155495,47.0,JONES FINANCIAL COMPANIES LLLP,SHR,2013-06-30,6491000,139728,46.0,15767,1.0,SELL-PARTIAL,6 - Mega
43,IVE,JONES FINANCIAL COMPANIES LLLP,FND,2013-09-30,6969000,88983,78.0,JONES FINANCIAL COMPANIES LLLP,FND,2013-06-30,6274000,82806,75.0,6177,3.0,SELL-PARTIAL,6 - Mega
