,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,HPQ,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,138723264,6612167,20.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,163240222,6582267,24.0,29900,-4.0,BUY-MORE,5 - Large
1,JNJ,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,86772789,1000955,86.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,85292036,993385,85.0,7570,1.0,BUY-MORE,5 - Large
2,AAPL,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,45761326,95986,476.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,37998331,95936,396.0,50,80.0,SELL-PARTIAL,4 - Mid
3,NEM,JUPITER ASSET MANAGEMENT LTD,DBT,2013-09-30,45242085,43500000,1.0,JUPITER ASSET MANAGEMENT LTD,DBT,2013-06-30,19352260,19000000,1.0,24500000,0.0,BUY-MORE,5 - Large
4,NEM,JUPITER ASSET MANAGEMENT LTD,DBT,2013-09-30,45242085,43500000,1.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,7241521,241787,29.0,43258213,-28.0,SELL-PARTIAL,5 - Large
5,NEM,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,6883882,244978,28.0,JUPITER ASSET MANAGEMENT LTD,DBT,2013-06-30,19352260,19000000,1.0,-18755022,27.0,BUY-MORE,5 - Large
6,NEM,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,6883882,244978,28.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,7241521,241787,29.0,3191,-1.0,BUY-MORE,6 - Mega
7,AIG,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,42961833,883443,48.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,43611957,975659,44.0,-92216,4.0,SELL-PARTIAL,6 - Mega
8,MS,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,40627421,1507511,26.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,69808945,2857509,24.0,-1349998,2.0,BUY-MORE,4 - Mid
9,BAC,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,38714686,2805412,13.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,44264956,3442065,12.0,-636653,1.0,BUY-MORE,5 - Large
10,C,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,37275860,768416,48.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,41650000,868251,47.0,-99835,1.0,BUY-MORE,6 - Mega
11,CVX,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,36158036,297597,121.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,34676934,293028,118.0,4569,3.0,BUY-MORE,5 - Large
12,JPM,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,34580196,668992,51.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,50472783,956105,52.0,-287113,-1.0,SELL-PARTIAL,6 - Mega
13,MSFT,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,34296609,1029619,33.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,35325122,1023027,34.0,6592,-1.0,BUY-MORE,5 - Large
14,PFE,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,31173347,1085801,28.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,29858324,1065988,28.0,19813,0.0,BUY-MORE,6 - Mega
15,AXP,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,30703336,406559,75.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,25477909,340796,74.0,65763,1.0,BUY-MORE,6 - Mega
16,RSG,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,30212250,905643,33.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,30686003,904125,33.0,1518,0.0,HOLD,6 - Mega
17,UNFI,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,29192100,434277,67.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,23446615,434277,53.0,0,14.0,BUY-MORE,5 - Large
18,CVS,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,27831505,490423,56.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,27315858,477717,57.0,12706,-1.0,BUY-MORE,5 - Large
19,LNC,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,26535958,631959,41.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,28001520,767796,36.0,-135837,5.0,HOLD,5 - Large
20,HON,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,26341949,317220,83.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,24794147,312505,79.0,4715,4.0,SELL-PARTIAL,5 - Large
21,EBAY,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,26255499,470613,55.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,25489788,492842,51.0,-22229,4.0,SELL-PARTIAL,5 - Large
22,MA,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,26082335,38768,672.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,16756442,29167,574.0,9601,98.0,BUY-MORE,5 - Large
23,WFC,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,25740955,622966,41.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,24278563,588286,41.0,34680,0.0,HOLD,5 - Large
24,CMCSK,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,24870200,550835,45.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,22452077,536105,41.0,14730,4.0,HOLD,5 - Large
25,WMT,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,24773494,334958,73.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,24550116,329576,74.0,5382,-1.0,BUY-MORE,5 - Large
26,EMR,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,24378378,376791,64.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,20251029,371306,54.0,5485,10.0,SELL-PARTIAL,5 - Large
27,LKQ,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,23931639,751150,31.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,18933975,735300,25.0,15850,6.0,SELL-PARTIAL,6 - Mega
28,MDT,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,23816329,447255,53.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,22734402,441702,51.0,5553,2.0,BUY-MORE,5 - Large
29,CSCO,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,23099732,986325,23.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,24177219,994538,24.0,-8213,-1.0,BUY-MORE,5 - Large
30,CB,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,23012392,245964,93.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,21560474,240953,89.0,5011,4.0,BUY-MORE,5 - Large
31,PLL1,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,22235978,288629,77.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,19319770,290829,66.0,-2200,11.0,BUY-MORE,5 - Large
32,SRCL,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,19781983,171421,115.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,19082414,172801,110.0,-1380,5.0,HOLD,5 - Large
33,DFS,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,19738751,390557,50.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,21376830,448716,47.0,-58159,3.0,SELL-PARTIAL,5 - Large
34,ORCL,JUPITER ASSET MANAGEMENT LTD,SHR,2013-09-30,19657272,592622,33.0,JUPITER ASSET MANAGEMENT LTD,SHR,2013-06-30,18048492,587516,30.0,5106,3.0,SELL-PARTIAL,6 - Mega
