,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,VOO,KARPUS MANAGEMENT INC,FND,2013-09-30,150313000,1952123,76.0,KARPUS MANAGEMENT INC,FND,2013-06-30,129581000,1766848,73.0,185275,3.0,,
1,SPY,KARPUS MANAGEMENT INC,FND,2013-09-30,145103000,863658,168.0,KARPUS MANAGEMENT INC,FND,2013-06-30,119942000,747677,160.0,115981,8.0,,
2,ACG,KARPUS MANAGEMENT INC,FND,2013-09-30,77664000,11031754,7.0,KARPUS MANAGEMENT INC,FND,2013-06-30,63321000,8488094,7.0,2543660,0.0,,
3,VEA,KARPUS MANAGEMENT INC,FND,2013-09-30,49069000,1239737,39.0,KARPUS MANAGEMENT INC,FND,2013-06-30,40351000,1133452,35.0,106285,4.0,,
4,GLD,KARPUS MANAGEMENT INC,FND,2013-09-30,48682000,379797,128.0,KARPUS MANAGEMENT INC,FND,2013-06-30,44297000,371897,119.0,7900,9.0,,
5,VGK,KARPUS MANAGEMENT INC,FND,2013-09-30,41823000,767388,54.0,KARPUS MANAGEMENT INC,FND,2013-06-30,35606000,739786,48.0,27602,6.0,SELL-PARTIAL,4 - Mid
6,DIA,KARPUS MANAGEMENT INC,FND,2013-09-30,36771000,243516,151.0,KARPUS MANAGEMENT INC,FND,2013-06-30,41586000,279949,148.0,-36433,3.0,SELL-PARTIAL,4 - Mid
7,TFI,KARPUS MANAGEMENT INC,FND,2013-09-30,34385000,1505475,22.0,KARPUS MANAGEMENT INC,FND,2013-06-30,78135000,3417984,22.0,-1912509,0.0,,
8,VB,KARPUS MANAGEMENT INC,FND,2013-09-30,33173000,323674,102.0,KARPUS MANAGEMENT INC,FND,2013-06-30,27874000,297449,93.0,26225,9.0,,
9,SHM,KARPUS MANAGEMENT INC,FND,2013-09-30,30915000,1276406,24.0,KARPUS MANAGEMENT INC,FND,2013-06-30,27621000,1155678,23.0,120728,1.0,,
10,ADX,KARPUS MANAGEMENT INC,FND,2013-09-30,27181000,2193791,12.0,KARPUS MANAGEMENT INC,FND,2013-06-30,25117000,2100058,11.0,93733,1.0,,
11,GAM,KARPUS MANAGEMENT INC,SHR,2013-09-30,26812000,785351,34.0,KARPUS MANAGEMENT INC,SHR,2013-06-30,20781000,650626,31.0,134725,3.0,,
12,VO,KARPUS MANAGEMENT INC,FND,2013-09-30,26399000,257600,102.0,KARPUS MANAGEMENT INC,FND,2013-06-30,23178000,243617,95.0,13983,7.0,BUY-MORE,2 - Micro
13,IMF,KARPUS MANAGEMENT INC,FND,2013-09-30,25813000,1572032,16.0,KARPUS MANAGEMENT INC,FND,2013-06-30,24738000,1495658,16.0,76374,0.0,,
14,ZTR,KARPUS MANAGEMENT INC,FND,2013-09-30,25343000,1934553,13.0,KARPUS MANAGEMENT INC,FND,2013-06-30,22124000,1720386,12.0,214167,1.0,SELL-PARTIAL,4 - Mid
15,VPL,KARPUS MANAGEMENT INC,FND,2013-09-30,25253000,415762,60.0,KARPUS MANAGEMENT INC,FND,2013-06-30,21118000,378252,55.0,37510,5.0,SELL-PARTIAL,2 - Micro
16,VWO,KARPUS MANAGEMENT INC,FND,2013-09-30,24193000,602801,40.0,KARPUS MANAGEMENT INC,FND,2013-06-30,20728000,534304,38.0,68497,2.0,SELL-PARTIAL,4 - Mid
17,EWC,KARPUS MANAGEMENT INC,FND,2013-09-30,22569000,797217,28.0,KARPUS MANAGEMENT INC,FND,2013-06-30,22198000,848857,26.0,-51640,2.0,,
18,IGSB,KARPUS MANAGEMENT INC,FND,2013-09-30,21677000,205900,105.0,KARPUS MANAGEMENT INC,FND,2013-06-30,16931000,161200,105.0,44700,0.0,,
