,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,K,KELLOGG W K FOUNDATION TRUST,SHR,2013-09-30,4350377000,74074190,58.0,KELLOGG W K FOUNDATION TRUST,SHR,2013-06-30,4759988000,74108490,64.0,-34300,-6.0,SELL-PARTIAL,5 - Large
1,ACWI,KELLOGG W K FOUNDATION TRUST,FND,2013-09-30,40683000,754500,53.0,KELLOGG W K FOUNDATION TRUST,FND,2013-06-30,51875000,1037500,50.0,-283000,3.0,,
2,IAU,KELLOGG W K FOUNDATION TRUST,FND,2013-09-30,15725000,1219931,12.0,KELLOGG W K FOUNDATION TRUST,FND,2013-06-30,10838000,903931,11.0,316000,1.0,,
3,VWO,KELLOGG W K FOUNDATION TRUST,FND,2013-09-30,13128000,327100,40.0,KELLOGG W K FOUNDATION TRUST,FND,2013-06-30,12690000,327100,38.0,0,2.0,,
0,K,KELLOGG W K FOUNDATION TRUST,SHR,2013-12-31,4490122000,73524190,61.0,KELLOGG W K FOUNDATION TRUST,SHR,2013-09-30,4350377000,74074190,58.0,-550000,3.0,SELL-PARTIAL,5 - Large
1,ACWI,KELLOGG W K FOUNDATION TRUST,FND,2013-12-31,43474000,754500,57.0,KELLOGG W K FOUNDATION TRUST,FND,2013-09-30,40683000,754500,53.0,0,4.0,,
2,IAU,KELLOGG W K FOUNDATION TRUST,FND,2013-12-31,14249000,1219931,11.0,KELLOGG W K FOUNDATION TRUST,FND,2013-09-30,15725000,1219931,12.0,0,-1.0,,
3,VWO,KELLOGG W K FOUNDATION TRUST,FND,2013-12-31,13457000,327100,41.0,KELLOGG W K FOUNDATION TRUST,FND,2013-09-30,13128000,327100,40.0,0,1.0,,
4,DXJ,KELLOGG W K FOUNDATION TRUST,FND,2013-12-31,11185000,220000,50.0,KELLOGG W K FOUNDATION TRUST,FND,2013-09-30,10545000,220000,47.0,0,3.0,,
0,K,KELLOGG W K FOUNDATION TRUST,SHR,2014-03-31,4598160000,73324190,62.0,KELLOGG W K FOUNDATION TRUST,SHR,2013-12-31,4490122000,73524190,61.0,-200000,1.0,SELL-PARTIAL,5 - Large
1,ACWI,KELLOGG W K FOUNDATION TRUST,FND,2014-03-31,43867000,754500,58.0,KELLOGG W K FOUNDATION TRUST,FND,2013-12-31,43474000,754500,57.0,0,1.0,,
2,IAU,KELLOGG W K FOUNDATION TRUST,FND,2014-03-31,15176000,1219931,12.0,KELLOGG W K FOUNDATION TRUST,FND,2013-12-31,14249000,1219931,11.0,0,1.0,,
3,VWO,KELLOGG W K FOUNDATION TRUST,FND,2014-03-31,13274000,327100,40.0,KELLOGG W K FOUNDATION TRUST,FND,2013-12-31,13457000,327100,41.0,0,-1.0,,
4,DXJ,KELLOGG W K FOUNDATION TRUST,FND,2014-03-31,10415000,220000,47.0,KELLOGG W K FOUNDATION TRUST,FND,2013-12-31,11185000,220000,50.0,0,-3.0,,
0,K,KELLOGG W K FOUNDATION TRUST,SHR,2014-06-30,4747882000,72266090,65.0,KELLOGG W K FOUNDATION TRUST,SHR,2014-03-31,4598160000,73324190,62.0,-1058100,3.0,SELL-PARTIAL,5 - Large
1,ACWI,KELLOGG W K FOUNDATION TRUST,FND,2014-06-30,45466000,754500,60.0,KELLOGG W K FOUNDATION TRUST,FND,2014-03-31,43867000,754500,58.0,0,2.0,,
2,IAU,KELLOGG W K FOUNDATION TRUST,FND,2014-06-30,15713000,1219931,12.0,KELLOGG W K FOUNDATION TRUST,FND,2014-03-31,15176000,1219931,12.0,0,0.0,,
3,VWO,KELLOGG W K FOUNDATION TRUST,FND,2014-06-30,14108000,327100,43.0,KELLOGG W K FOUNDATION TRUST,FND,2014-03-31,13274000,327100,40.0,0,3.0,,
0,K,KELLOGG W K FOUNDATION TRUST,SHR,2014-09-30,4426880000,71864928,61.0,KELLOGG W K FOUNDATION TRUST,SHR,2014-06-30,4747882000,72266090,65.0,-401162,-4.0,SELL-PARTIAL,5 - Large
