,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MSFT,KILTEARN PARTNERS LLP,SHR,2014-03-31,70349000,1716256,40.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,43080000,1150956,37.0,565300,3.0,BUY-MORE,5 - Large
1,GS,KILTEARN PARTNERS LLP,SHR,2014-03-31,69301000,422953,163.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,45796000,258353,177.0,164600,-14.0,BUY-MORE,5 - Large
2,MS,KILTEARN PARTNERS LLP,SHR,2014-03-31,65817000,2111541,31.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,44291000,1412341,31.0,699200,0.0,BUY-MORE,6 - Mega
3,GLW,KILTEARN PARTNERS LLP,SHR,2014-03-31,64879000,3116200,20.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,40426000,2268600,17.0,847600,3.0,BUY-MORE,5 - Large
4,NBR,KILTEARN PARTNERS LLP,SHR,2014-03-31,63156000,2562100,24.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,29250000,1721600,16.0,840500,8.0,BUY-MORE,6 - Mega
5,C,KILTEARN PARTNERS LLP,SHR,2014-03-31,62109000,1304810,47.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,40016000,767910,52.0,536900,-5.0,BUY-MORE,5 - Large
6,BAC,KILTEARN PARTNERS LLP,SHR,2014-03-31,61883000,3597847,17.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,37476000,2406947,15.0,1190900,2.0,BUY-MORE,5 - Large
7,BK,KILTEARN PARTNERS LLP,SHR,2014-03-31,60138000,1704121,35.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,39735000,1137221,34.0,566900,1.0,SELL-PARTIAL,5 - Large
8,Y,KILTEARN PARTNERS LLP,SHR,2014-03-31,59111000,145100,407.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,22758000,56900,399.0,88200,8.0,BUY-MORE,5 - Large
9,STI,KILTEARN PARTNERS LLP,SHR,2014-03-31,38027000,955700,39.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,23860000,648200,36.0,307500,3.0,SELL-PARTIAL,6 - Mega
10,PKX,KILTEARN PARTNERS LLP,SHR,2014-03-31,37100000,534500,69.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,20569000,263700,78.0,270800,-9.0,SELL-PARTIAL,5 - Large
11,CNA,KILTEARN PARTNERS LLP,SHR,2014-03-31,36269000,849000,42.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,24456000,570200,42.0,278800,0.0,SELL-PARTIAL,5 - Large
12,IM,KILTEARN PARTNERS LLP,SHR,2014-03-31,34168000,1155900,29.0,KILTEARN PARTNERS LLP,SHR,2013-12-31,17982000,766500,23.0,389400,6.0,SELL-PARTIAL,5 - Large
