,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,DIS,KLINGENSTEIN FIELDS CO LLC,SHR,2013-09-30,161967000,2511506,64.0,KLINGENSTEIN FIELDS CO LLC,SHR,2013-06-30,167642000,2654663,63.0,-143157,1.0,SELL-PARTIAL,6 - Mega
1,BRK.B,KLINGENSTEIN FIELDS CO LLC,SHR,2013-09-30,135629000,1194860,113.0,KLINGENSTEIN FIELDS CO LLC,SHR,2013-06-30,153469000,1371230,111.0,-176370,2.0,SELL-PARTIAL,5 - Large
2,PEP,KLINGENSTEIN FIELDS CO LLC,SHR,2013-09-30,121524000,1528617,79.0,KLINGENSTEIN FIELDS CO LLC,SHR,2013-06-30,132249000,1616927,81.0,-88310,-2.0,SELL-PARTIAL,5 - Large
3,FCX,KLINGENSTEIN FIELDS CO LLC,SHR,2013-09-30,117048000,3538344,33.0,KLINGENSTEIN FIELDS CO LLC,SHR,2013-06-30,95734000,3467406,27.0,70938,6.0,SELL-PARTIAL,6 - Mega
4,JNJ,KLINGENSTEIN FIELDS CO LLC,SHR,2013-09-30,90189000,1040363,86.0,KLINGENSTEIN FIELDS CO LLC,SHR,2013-06-30,92930000,1082348,85.0,-41985,1.0,SELL-PARTIAL,5 - Large
5,AXP,KLINGENSTEIN FIELDS CO LLC,SHR,2013-09-30,65853000,871988,75.0,KLINGENSTEIN FIELDS CO LLC,SHR,2013-06-30,65623000,877778,74.0,-5790,1.0,SELL-PARTIAL,6 - Mega
6,PG,KLINGENSTEIN FIELDS CO LLC,SHR,2013-09-30,57806000,764724,75.0,KLINGENSTEIN FIELDS CO LLC,SHR,2013-06-30,62730000,814784,76.0,-50060,-1.0,SELL-PARTIAL,5 - Large
7,GE,KLINGENSTEIN FIELDS CO LLC,SHR,2013-09-30,55042000,2303982,23.0,KLINGENSTEIN FIELDS CO LLC,SHR,2013-06-30,59886000,2582396,23.0,-278414,0.0,SELL-PARTIAL,5 - Large
8,RDS.A,KLINGENSTEIN FIELDS CO LLC,SHR,2013-09-30,53256000,810839,65.0,KLINGENSTEIN FIELDS CO LLC,SHR,2013-06-30,55967000,877217,63.0,-66378,2.0,SELL-PARTIAL,5 - Large
9,HES,KLINGENSTEIN FIELDS CO LLC,SHR,2013-09-30,51544000,666472,77.0,KLINGENSTEIN FIELDS CO LLC,SHR,2013-06-30,31828000,478690,66.0,187782,11.0,SELL-PARTIAL,5 - Large
