,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CMCSK,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,1002210000,22214359,45.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,853172000,20435365,41.0,1778994,4.0,BUY-MORE,6 - Mega
1,JPM,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,975371000,18869634,51.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,804556000,15240748,52.0,3628886,-1.0,BUY-MORE,6 - Mega
2,GOOGL,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,887278000,1012976,875.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,824308000,936328,880.0,76648,-5.0,SELL-PARTIAL,5 - Large
3,NKE,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,862102000,11868105,72.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,829060000,13019186,63.0,-1151081,9.0,SELL-PARTIAL,6 - Mega
4,AMZN,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,744245000,2380517,312.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,645561000,2324758,277.0,55759,35.0,BUY-MORE,6 - Mega
5,DAL,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,697921000,29585638,23.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,595509000,31828563,18.0,-2242925,5.0,BUY-MORE,5 - Large
6,WFC,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,551610000,13349727,41.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,431935000,10466109,41.0,2883618,0.0,SELL-PARTIAL,6 - Mega
7,ACN,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,486626000,6608171,73.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,582277000,8091687,71.0,-1483516,2.0,BUY-MORE,6 - Mega
8,CL,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,450465000,7596357,59.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,464999000,8116826,57.0,-520469,2.0,BUY-MORE,5 - Large
9,WFM,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,338001000,5777821,58.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,124679000,2421895,51.0,3355926,7.0,BUY-MORE,5 - Large
10,TWC,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,335526000,3006498,111.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,287095000,2552407,112.0,454091,-1.0,BUY-MORE,5 - Large
11,TWC,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-09-30,335526000,3006498,111.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,CLL,2013-06-30,140600000,1250000,112.0,1756498,-1.0,SELL-PARTIAL,5 - Large
12,TWC,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,CLL,2013-09-30,139500000,1250000,111.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,SHR,2013-06-30,287095000,2552407,112.0,-1302407,-1.0,SELL-PARTIAL,5 - Large
13,TWC,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,CLL,2013-09-30,139500000,1250000,111.0,LANSDOWNE PARTNERS LIMITED PARTNERSHIP,CLL,2013-06-30,140600000,1250000,112.0,0,-1.0,BUY-MORE,5 - Large
