,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,SPY,LINDEN ADVISORS LP,CLL,2013-09-30,99169000,614400,161.0,LINDEN ADVISORS LP,PUT,2013-06-30,48003000,300000,160.0,314400,1.0,BUY-MORE,5 - Large
1,SPY,LINDEN ADVISORS LP,CLL,2013-09-30,99169000,614400,161.0,LINDEN ADVISORS LP,CLL,2013-06-30,48003000,300000,160.0,314400,1.0,BUY-MORE,4 - Mid
2,SPY,LINDEN ADVISORS LP,PUT,2013-09-30,33293000,200000,166.0,LINDEN ADVISORS LP,PUT,2013-06-30,48003000,300000,160.0,-100000,6.0,BUY-MORE,4 - Mid
3,SPY,LINDEN ADVISORS LP,PUT,2013-09-30,33293000,200000,166.0,LINDEN ADVISORS LP,CLL,2013-06-30,48003000,300000,160.0,-100000,6.0,BUY-MORE,4 - Mid
4,SPY,LINDEN ADVISORS LP,FND,2013-09-30,19273000,115895,166.0,LINDEN ADVISORS LP,PUT,2013-06-30,48003000,300000,160.0,-184105,6.0,BUY-MORE,4 - Mid
5,SPY,LINDEN ADVISORS LP,FND,2013-09-30,19273000,115895,166.0,LINDEN ADVISORS LP,CLL,2013-06-30,48003000,300000,160.0,-184105,6.0,SELL-PARTIAL,4 - Mid
6,ALR,LINDEN ADVISORS LP,PRF,2013-09-30,81601000,342793,238.0,LINDEN ADVISORS LP,PRF,2013-06-30,90451000,399789,226.0,-56996,12.0,BUY-MORE,3 - Small
7,DELL1,LINDEN ADVISORS LP,CLL,2013-09-30,41982000,3064300,13.0,LINDEN ADVISORS LP,CLL,2013-06-30,45882000,3436838,13.0,-372538,0.0,HOLD,3 - Small
8,DELL1,LINDEN ADVISORS LP,SHR,2013-09-30,1314000,96000,13.0,LINDEN ADVISORS LP,CLL,2013-06-30,45882000,3436838,13.0,-3340838,0.0,BUY-MORE,4 - Mid
9,MCP,LINDEN ADVISORS LP,DBT,2013-09-30,39341000,41293000,0.0,LINDEN ADVISORS LP,DBT,2013-06-30,35431000,36017000,0.0,5276000,0.0,HOLD,4 - Mid
10,MCP,LINDEN ADVISORS LP,DBT,2013-09-30,39341000,41293000,0.0,LINDEN ADVISORS LP,SHR,2013-06-30,6329000,1020833,6.0,40272167,-6.0,SELL-PARTIAL,3 - Small
11,MCP,LINDEN ADVISORS LP,SHR,2013-09-30,3386000,516100,6.0,LINDEN ADVISORS LP,DBT,2013-06-30,35431000,36017000,0.0,-35500900,6.0,BUY-MORE,4 - Mid
12,MCP,LINDEN ADVISORS LP,SHR,2013-09-30,3386000,516100,6.0,LINDEN ADVISORS LP,SHR,2013-06-30,6329000,1020833,6.0,-504733,0.0,SELL-PARTIAL,4 - Mid
13,SPWR,LINDEN ADVISORS LP,DBT,2013-09-30,28678000,31193000,0.0,LINDEN ADVISORS LP,DBT,2013-06-30,19963000,17950000,1.0,13243000,-1.0,BUY-MORE,4 - Mid
14,PDLI,LINDEN ADVISORS LP,DBT,2013-09-30,24195000,20750000,1.0,LINDEN ADVISORS LP,DBT,2013-06-30,25781000,20750000,1.0,0,0.0,SELL-PARTIAL,4 - Mid
15,VGR,LINDEN ADVISORS LP,DBT,2013-09-30,21675000,20748000,1.0,LINDEN ADVISORS LP,DBT,2013-06-30,34441000,30748000,1.0,-10000000,0.0,SELL-PARTIAL,4 - Mid
16,FOR,LINDEN ADVISORS LP,DBT,2013-09-30,21627000,21725000,0.0,LINDEN ADVISORS LP,DBT,2013-06-30,25669000,22825000,1.0,-1100000,-1.0,BUY-MORE,5 - Large
17,ADM,LINDEN ADVISORS LP,DBT,2013-09-30,20792000,28543000,0.0,LINDEN ADVISORS LP,DBT,2013-06-30,40396000,40000000,1.0,-11457000,-1.0,SELL-PARTIAL,5 - Large
18,GM,LINDEN ADVISORS LP,PRF,2013-09-30,9913000,250000,39.0,LINDEN ADVISORS LP,WNT,2013-06-30,6705000,406013,16.0,-156013,23.0,BUY-MORE,5 - Large
19,GM,LINDEN ADVISORS LP,WNT,2013-09-30,9719000,1156013,8.0,LINDEN ADVISORS LP,WNT,2013-06-30,6705000,406013,16.0,750000,-8.0,HOLD,4 - Mid
20,TTWO,LINDEN ADVISORS LP,DBT,2013-09-30,8826000,10858000,0.0,LINDEN ADVISORS LP,DBT,2013-06-30,9771000,10000000,0.0,858000,0.0,BUY-MORE,3 - Small
21,VXX1,LINDEN ADVISORS LP,PUT,2013-09-30,7279000,500000,14.0,LINDEN ADVISORS LP,PUT,2013-06-30,2074000,100000,20.0,400000,-6.0,BUY-MORE,4 - Mid
22,EWZ,LINDEN ADVISORS LP,PUT,2013-09-30,7162000,150000,47.0,LINDEN ADVISORS LP,PUT,2013-06-30,6579000,150000,43.0,0,4.0,BUY-MORE,4 - Mid
23,EWZ,LINDEN ADVISORS LP,PUT,2013-09-30,7162000,150000,47.0,LINDEN ADVISORS LP,FND,2013-06-30,6579000,150000,43.0,0,4.0,BUY-MORE,4 - Mid
24,EWZ,LINDEN ADVISORS LP,FND,2013-09-30,7162000,150000,47.0,LINDEN ADVISORS LP,PUT,2013-06-30,6579000,150000,43.0,0,4.0,SELL-PARTIAL,4 - Mid
25,EWZ,LINDEN ADVISORS LP,FND,2013-09-30,7162000,150000,47.0,LINDEN ADVISORS LP,FND,2013-06-30,6579000,150000,43.0,0,4.0,SELL-PARTIAL,4 - Mid
26,MU,LINDEN ADVISORS LP,CLL,2013-09-30,6686000,384000,17.0,LINDEN ADVISORS LP,DBT,2013-06-30,16144000,10500000,1.0,-10116000,16.0,BUY-MORE,4 - Mid
27,MU,LINDEN ADVISORS LP,CLL,2013-09-30,6686000,384000,17.0,LINDEN ADVISORS LP,CLL,2013-06-30,9472000,661000,14.0,-277000,3.0,BUY-MORE,4 - Mid
28,STWD,LINDEN ADVISORS LP,DBT,2013-09-30,5925000,8200000,0.0,LINDEN ADVISORS LP,DBT,2013-06-30,44890000,43400000,1.0,-35200000,-1.0,HOLD,3 - Small
29,MTG,LINDEN ADVISORS LP,DBT,2013-09-30,5697000,5629000,1.0,LINDEN ADVISORS LP,DBT,2013-06-30,35400000,31125000,1.0,-25496000,0.0,BUY-MORE,3 - Small
30,MS,LINDEN ADVISORS LP,CLL,2013-09-30,5375000,200000,26.0,LINDEN ADVISORS LP,CLL,2013-06-30,4885000,200000,24.0,0,2.0,SELL-PARTIAL,4 - Mid
31,C,LINDEN ADVISORS LP,CLL,2013-09-30,4837000,100000,48.0,LINDEN ADVISORS LP,CLL,2013-06-30,4797000,100000,47.0,0,1.0,SELL-PARTIAL,4 - Mid
32,VEDL,LINDEN ADVISORS LP,DBT,2013-09-30,4805000,5448000,0.0,LINDEN ADVISORS LP,DBT,2013-06-30,25664000,26392000,0.0,-20944000,0.0,SELL-PARTIAL,3 - Small
33,RDN,LINDEN ADVISORS LP,DBT,2013-09-30,3309000,2879000,1.0,LINDEN ADVISORS LP,DBT,2013-06-30,80799000,63179000,1.0,-60300000,0.0,BUY-MORE,4 - Mid
34,BAC,LINDEN ADVISORS LP,CLL,2013-09-30,2083000,151300,13.0,LINDEN ADVISORS LP,CLL,2013-06-30,1946000,151300,12.0,0,1.0,HOLD,5 - Large
35,INTC,LINDEN ADVISORS LP,SHR,2013-09-30,1714000,89300,19.0,LINDEN ADVISORS LP,DBT,2013-06-30,3824000,3000000,1.0,-2910700,18.0,HOLD,3 - Small
36,DRYS,LINDEN ADVISORS LP,SHR,2013-09-30,305000,100000,3.0,LINDEN ADVISORS LP,SHR,2013-06-30,374000,200000,1.0,-100000,2.0,BUY-MORE,3 - Small
37,ATLC,LINDEN ADVISORS LP,SHR,2013-09-30,293000,79300,3.0,LINDEN ADVISORS LP,SHR,2013-06-30,284000,79300,3.0,0,0.0,HOLD,4 - Mid
0,ALR,LINDEN ADVISORS LP,PRF,2013-12-31,90425000,315840,286.0,LINDEN ADVISORS LP,PRF,2013-09-30,81601000,342793,238.0,-26953,48.0,BUY-MORE,5 - Large
1,SPWR,LINDEN ADVISORS LP,DBT,2013-12-31,47555000,37923000,1.0,LINDEN ADVISORS LP,DBT,2013-09-30,28678000,31193000,0.0,6730000,1.0,BUY-MORE,4 - Mid
2,SPY,LINDEN ADVISORS LP,CLL,2013-12-31,36934000,200000,184.0,LINDEN ADVISORS LP,CLL,2013-09-30,99169000,614400,161.0,-414400,23.0,BUY-MORE,4 - Mid
3,SPY,LINDEN ADVISORS LP,CLL,2013-12-31,36934000,200000,184.0,LINDEN ADVISORS LP,PUT,2013-09-30,33293000,200000,166.0,0,18.0,BUY-MORE,4 - Mid
4,SPY,LINDEN ADVISORS LP,CLL,2013-12-31,36934000,200000,184.0,LINDEN ADVISORS LP,FND,2013-09-30,19273000,115895,166.0,84105,18.0,BUY-MORE,4 - Mid
5,SPY,LINDEN ADVISORS LP,FND,2013-12-31,9166000,49638,184.0,LINDEN ADVISORS LP,CLL,2013-09-30,99169000,614400,161.0,-564762,23.0,SELL-PARTIAL,4 - Mid
6,SPY,LINDEN ADVISORS LP,FND,2013-12-31,9166000,49638,184.0,LINDEN ADVISORS LP,PUT,2013-09-30,33293000,200000,166.0,-150362,18.0,BUY-MORE,3 - Small
7,SPY,LINDEN ADVISORS LP,FND,2013-12-31,9166000,49638,184.0,LINDEN ADVISORS LP,FND,2013-09-30,19273000,115895,166.0,-66257,18.0,HOLD,3 - Small
8,PDLI,LINDEN ADVISORS LP,DBT,2013-12-31,33937000,25000000,1.0,LINDEN ADVISORS LP,DBT,2013-09-30,24195000,20750000,1.0,4250000,0.0,BUY-MORE,4 - Mid
9,MCP,LINDEN ADVISORS LP,SHR,2013-12-31,21885000,3894086,5.0,LINDEN ADVISORS LP,DBT,2013-09-30,39341000,41293000,0.0,-37398914,5.0,HOLD,4 - Mid
10,MCP,LINDEN ADVISORS LP,SHR,2013-12-31,21885000,3894086,5.0,LINDEN ADVISORS LP,SHR,2013-09-30,3386000,516100,6.0,3377986,-1.0,SELL-PARTIAL,3 - Small
11,MCP,LINDEN ADVISORS LP,DBT,2013-12-31,65000,70000,0.0,LINDEN ADVISORS LP,DBT,2013-09-30,39341000,41293000,0.0,-41223000,0.0,BUY-MORE,4 - Mid
12,MCP,LINDEN ADVISORS LP,DBT,2013-12-31,65000,70000,0.0,LINDEN ADVISORS LP,SHR,2013-09-30,3386000,516100,6.0,-446100,-6.0,SELL-PARTIAL,4 - Mid
13,OCR,LINDEN ADVISORS LP,DBT,2013-12-31,21369000,19970000,1.0,LINDEN ADVISORS LP,DBT,2013-09-30,8382000,9000000,0.0,10970000,1.0,BUY-MORE,4 - Mid
14,EWZ,LINDEN ADVISORS LP,PUT,2013-12-31,15637000,350000,44.0,LINDEN ADVISORS LP,PUT,2013-09-30,7162000,150000,47.0,200000,-3.0,SELL-PARTIAL,4 - Mid
15,EWZ,LINDEN ADVISORS LP,PUT,2013-12-31,15637000,350000,44.0,LINDEN ADVISORS LP,FND,2013-09-30,7162000,150000,47.0,200000,-3.0,SELL-PARTIAL,4 - Mid
16,EWZ,LINDEN ADVISORS LP,FND,2013-12-31,15637000,350000,44.0,LINDEN ADVISORS LP,PUT,2013-09-30,7162000,150000,47.0,200000,-3.0,BUY-MORE,5 - Large
17,EWZ,LINDEN ADVISORS LP,FND,2013-12-31,15637000,350000,44.0,LINDEN ADVISORS LP,FND,2013-09-30,7162000,150000,47.0,200000,-3.0,SELL-PARTIAL,5 - Large
18,FOR,LINDEN ADVISORS LP,DBT,2013-12-31,14321000,12404000,1.0,LINDEN ADVISORS LP,DBT,2013-09-30,21627000,21725000,0.0,-9321000,1.0,BUY-MORE,5 - Large
19,EPAY,LINDEN ADVISORS LP,DBT,2013-12-31,12312000,9114000,1.0,LINDEN ADVISORS LP,DBT,2013-09-30,1001000,1000000,1.0,8114000,0.0,HOLD,4 - Mid
20,GM,LINDEN ADVISORS LP,WNT,2013-12-31,9394000,405813,23.0,LINDEN ADVISORS LP,PRF,2013-09-30,9913000,250000,39.0,155813,-16.0,BUY-MORE,3 - Small
21,GM,LINDEN ADVISORS LP,WNT,2013-12-31,9394000,405813,23.0,LINDEN ADVISORS LP,WNT,2013-09-30,9719000,1156013,8.0,-750200,15.0,BUY-MORE,4 - Mid
22,LYV,LINDEN ADVISORS LP,DBT,2013-12-31,8723000,8550000,1.0,LINDEN ADVISORS LP,DBT,2013-09-30,4923000,5550000,0.0,3000000,1.0,BUY-MORE,4 - Mid
23,MU,LINDEN ADVISORS LP,CLL,2013-12-31,8351000,383800,21.0,LINDEN ADVISORS LP,CLL,2013-09-30,6686000,384000,17.0,-200,4.0,BUY-MORE,4 - Mid
24,LLL,LINDEN ADVISORS LP,DBT,2013-12-31,7778000,6448000,1.0,LINDEN ADVISORS LP,DBT,2013-09-30,5488000,5898000,0.0,550000,1.0,SELL-PARTIAL,4 - Mid
25,BKNG,LINDEN ADVISORS LP,DBT,2013-12-31,6879000,1800000,3.0,LINDEN ADVISORS LP,DBT,2013-09-30,1443000,550000,2.0,1250000,1.0,SELL-PARTIAL,4 - Mid
26,MS,LINDEN ADVISORS LP,CLL,2013-12-31,6272000,200000,31.0,LINDEN ADVISORS LP,CLL,2013-09-30,5375000,200000,26.0,0,5.0,BUY-MORE,4 - Mid
27,RDN,LINDEN ADVISORS LP,DBT,2013-12-31,5508000,3750000,1.0,LINDEN ADVISORS LP,DBT,2013-09-30,3309000,2879000,1.0,871000,0.0,BUY-MORE,4 - Mid
28,C,LINDEN ADVISORS LP,CLL,2013-12-31,5211000,100000,52.0,LINDEN ADVISORS LP,CLL,2013-09-30,4837000,100000,48.0,0,4.0,HOLD,3 - Small
29,DRYS,LINDEN ADVISORS LP,DBT,2013-12-31,2418000,2400000,1.0,LINDEN ADVISORS LP,SHR,2013-09-30,305000,100000,3.0,2300000,-2.0,BUY-MORE,3 - Small
30,DRYS,LINDEN ADVISORS LP,SHR,2013-12-31,470000,100000,4.0,LINDEN ADVISORS LP,SHR,2013-09-30,305000,100000,3.0,0,1.0,SELL-PARTIAL,4 - Mid
31,BAC,LINDEN ADVISORS LP,CLL,2013-12-31,2355000,151300,15.0,LINDEN ADVISORS LP,CLL,2013-09-30,2083000,151300,13.0,0,2.0,SELL-PARTIAL,4 - Mid
32,TTWO,LINDEN ADVISORS LP,DBT,2013-12-31,1702000,1583000,1.0,LINDEN ADVISORS LP,DBT,2013-09-30,8826000,10858000,0.0,-9275000,1.0,SELL-PARTIAL,3 - Small
33,ATLC,LINDEN ADVISORS LP,SHR,2013-12-31,282000,79300,3.0,LINDEN ADVISORS LP,SHR,2013-09-30,293000,79300,3.0,0,0.0,BUY-MORE,4 - Mid
0,ALR,LINDEN ADVISORS LP,PRF,2014-03-31,65768000,229790,286.0,LINDEN ADVISORS LP,PRF,2013-12-31,90425000,315840,286.0,-86050,0.0,BUY-MORE,5 - Large
1,SPWR,LINDEN ADVISORS LP,DBT,2014-03-31,50519000,37303000,1.0,LINDEN ADVISORS LP,DBT,2013-12-31,47555000,37923000,1.0,-620000,0.0,BUY-MORE,4 - Mid
2,TTWO,LINDEN ADVISORS LP,DBT,2014-03-31,26084000,20398000,1.0,LINDEN ADVISORS LP,DBT,2013-12-31,1702000,1583000,1.0,18815000,0.0,BUY-MORE,4 - Mid
3,OCR,LINDEN ADVISORS LP,DBT,2014-03-31,25558000,23913000,1.0,LINDEN ADVISORS LP,DBT,2013-12-31,21369000,19970000,1.0,3943000,0.0,BUY-MORE,4 - Mid
4,MCP,LINDEN ADVISORS LP,SHR,2014-03-31,18301000,3902086,4.0,LINDEN ADVISORS LP,SHR,2013-12-31,21885000,3894086,5.0,8000,-1.0,BUY-MORE,4 - Mid
5,MCP,LINDEN ADVISORS LP,SHR,2014-03-31,18301000,3902086,4.0,LINDEN ADVISORS LP,DBT,2013-12-31,65000,70000,0.0,3832086,4.0,SELL-PARTIAL,4 - Mid
