,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MDLZ,LINDSELL TRAIN LTD,SHR,2013-09-30,107886000,3433990,31.0,LINDSELL TRAIN LTD,SHR,2013-06-30,89070000,3121990,28.0,312000,3.0,BUY-MORE,5 - Large
1,EBAY,LINDSELL TRAIN LTD,SHR,2013-09-30,98933000,1773313,55.0,LINDSELL TRAIN LTD,SHR,2013-06-30,83088000,1604813,51.0,168500,4.0,BUY-MORE,5 - Large
2,KDP,LINDSELL TRAIN LTD,SHR,2013-09-30,84133000,1877279,44.0,LINDSELL TRAIN LTD,SHR,2013-06-30,76440000,1664279,45.0,213000,-1.0,BUY-MORE,6 - Mega
3,DIS,LINDSELL TRAIN LTD,SHR,2013-09-30,57046000,884489,64.0,LINDSELL TRAIN LTD,SHR,2013-06-30,49598000,785269,63.0,99220,1.0,HOLD,4 - Mid
4,INTU,LINDSELL TRAIN LTD,SHR,2013-09-30,55683000,839800,66.0,LINDSELL TRAIN LTD,SHR,2013-06-30,49513000,811300,61.0,28500,5.0,BUY-MORE,5 - Large
5,KRFT,LINDSELL TRAIN LTD,SHR,2013-09-30,43236000,824096,52.0,LINDSELL TRAIN LTD,SHR,2013-06-30,42540000,761762,55.0,62334,-3.0,SELL-PARTIAL,5 - Large
6,BF.A,LINDSELL TRAIN LTD,SHR,2013-09-30,29087000,439518,66.0,LINDSELL TRAIN LTD,SHR,2013-06-30,28023000,415018,67.0,24500,-1.0,BUY-MORE,5 - Large
7,WWE,LINDSELL TRAIN LTD,SHR,2013-09-30,17588000,1730000,10.0,LINDSELL TRAIN LTD,SHR,2013-06-30,16593000,1610000,10.0,120000,0.0,BUY-MORE,4 - Mid
8,HSY,LINDSELL TRAIN LTD,SHR,2013-09-30,5064000,54750,92.0,LINDSELL TRAIN LTD,SHR,2013-06-30,4576000,51250,89.0,3500,3.0,BUY-MORE,4 - Mid
9,ISCA,LINDSELL TRAIN LTD,SHR,2013-09-30,1996000,61900,32.0,LINDSELL TRAIN LTD,SHR,2013-06-30,1007000,32000,31.0,29900,1.0,BUY-MORE,4 - Mid
