,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,IGE,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,144993000,3498855,41.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,91761000,2398355,38.0,1100500,3.0,,
1,XLU,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,144704000,3872307,37.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,122034000,3243007,37.0,629300,0.0,,
2,XLF,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,134817000,6773000,19.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,172924000,8893000,19.0,-2120000,0.0,,
3,XLY,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,127050000,2095500,60.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,130820000,2319500,56.0,-224000,4.0,,
4,XLK,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,122079000,3810200,32.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,171863000,5619200,30.0,-1809000,2.0,,
5,MOO,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,120521000,2347971,51.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,76017000,1485000,51.0,862971,0.0,,
6,XLI,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,95696000,2062200,46.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,88401000,2073200,42.0,-11000,4.0,,
7,XLE,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,81856000,987300,82.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,67831000,866300,78.0,121000,4.0,,
8,XLV,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,76320000,1508600,50.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,119672000,2513600,47.0,-1005000,3.0,,
9,XOP,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,74575000,1132500,65.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,46457000,798500,58.0,334000,7.0,,
10,VEA,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,49131000,1241300,39.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,52946000,1487250,35.0,-245950,4.0,,
11,SPY,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,42843000,255000,168.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,143897000,897000,160.0,-642000,8.0,,
12,IEMG,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,40487000,832200,48.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,43858000,952200,46.0,-120000,2.0,BUY-MORE,6 - Mega
13,XLB,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,38283000,911285,42.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,22405000,584300,38.0,326985,4.0,,
14,XLP,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,20362000,511600,39.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,103245000,2602600,39.0,-2091000,0.0,BUY-MORE,6 - Mega
15,IWN,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,14317000,156228,91.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,13420000,156228,85.0,0,6.0,SELL-PARTIAL,6 - Mega
16,IJH,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,14219000,114537,124.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,13229000,114537,115.0,0,9.0,SELL-PARTIAL,5 - Large
17,IJK,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,14192000,102017,139.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,13143000,102017,128.0,0,11.0,HOLD,6 - Mega
18,IVE,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,13857000,176932,78.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,13406000,176932,75.0,0,3.0,SELL-PARTIAL,6 - Mega
19,IBM,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,11240000,60700,185.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,573000,3000,191.0,57700,-6.0,BUY-MORE,6 - Mega
20,AAPL,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,11204000,23500,476.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,4758000,12000,396.0,11500,80.0,BUY-MORE,6 - Mega
21,SNDK,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,11009000,185000,59.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,6110000,100000,61.0,85000,-2.0,HOLD,6 - Mega
22,JPM,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,10958000,212000,51.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,5912000,112000,52.0,100000,-1.0,BUY-MORE,5 - Large
23,SPLV,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,10702000,343000,31.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,10674000,343000,31.0,0,0.0,SELL-PARTIAL,6 - Mega
24,BAC,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,9660000,700000,13.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,1929000,150000,12.0,550000,1.0,BUY-MORE,6 - Mega
25,AGN1,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,8339000,92200,90.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,6335000,75200,84.0,17000,6.0,HOLD,6 - Mega
26,IWM,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,7186000,67400,106.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,6208000,64000,97.0,3400,9.0,BUY-MORE,6 - Mega
27,DBC,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,6951000,269856,25.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,18881000,751332,25.0,-481476,0.0,BUY-MORE,6 - Mega
28,TSM,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,6029000,355500,16.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,7128000,389091,18.0,-33591,-2.0,BUY-MORE,6 - Mega
29,GE,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,5686000,238000,23.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,10041000,433000,23.0,-195000,0.0,HOLD,5 - Large
30,QQQ,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,3321000,42100,78.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-06-30,3856000,54100,71.0,-12000,7.0,SELL-PARTIAL,6 - Mega
31,BRCM,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,1509000,58000,26.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,7874000,233000,33.0,-175000,-7.0,SELL-PARTIAL,6 - Mega
32,SLDBY,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,502000,42264,11.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,474000,42264,11.0,0,0.0,BUY-MORE,6 - Mega
33,FRO,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,119000,45000,2.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,80000,45000,1.0,0,1.0,SELL-PARTIAL,6 - Mega
34,LFT,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-09-30,3000,94200,0.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,SHR,2013-06-30,3000,94200,0.0,0,0.0,SELL-PARTIAL,6 - Mega
0,IGE,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-12-31,155706000,3588523,43.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,144993000,3498855,41.0,89668,2.0,,
1,XLU,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-12-31,151156000,3980932,37.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,144704000,3872307,37.0,108625,0.0,,
2,MOO,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-12-31,131578000,2414721,54.0,LOCKHEED MARTIN INVESTMENT MANAGEMENT CO,FND,2013-09-30,120521000,2347971,51.0,66750,3.0,,
