,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GT,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-09-30,65197000,2904100,22.0,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-06-30,37691000,2465100,15.0,439000,7.0,SELL-PARTIAL,5 - Large
1,GT,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-09-30,65197000,2904100,22.0,LOMBARD ODIER ASSET MANAGEMENT USA CORP,CLL,2013-06-30,15299000,1000000,15.0,1904100,7.0,HOLD,5 - Large
2,GT,LOMBARD ODIER ASSET MANAGEMENT USA CORP,CLL,2013-09-30,27211000,1212000,22.0,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-06-30,37691000,2465100,15.0,-1253100,7.0,SELL-PARTIAL,4 - Mid
3,GT,LOMBARD ODIER ASSET MANAGEMENT USA CORP,CLL,2013-09-30,27211000,1212000,22.0,LOMBARD ODIER ASSET MANAGEMENT USA CORP,CLL,2013-06-30,15299000,1000000,15.0,212000,7.0,BUY-MORE,5 - Large
4,SVU,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-09-30,56062000,6811888,8.0,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-06-30,55371000,8902034,6.0,-2090146,2.0,SELL-PARTIAL,5 - Large
5,SVU,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-09-30,56062000,6811888,8.0,LOMBARD ODIER ASSET MANAGEMENT USA CORP,CLL,2013-06-30,12751000,2050000,6.0,4761888,2.0,BUY-MORE,4 - Mid
6,SVU,LOMBARD ODIER ASSET MANAGEMENT USA CORP,CLL,2013-09-30,2056000,249800,8.0,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-06-30,55371000,8902034,6.0,-8652234,2.0,HOLD,5 - Large
7,SVU,LOMBARD ODIER ASSET MANAGEMENT USA CORP,CLL,2013-09-30,2056000,249800,8.0,LOMBARD ODIER ASSET MANAGEMENT USA CORP,CLL,2013-06-30,12751000,2050000,6.0,-1800200,2.0,BUY-MORE,4 - Mid
8,GNC,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-09-30,52445000,959998,54.0,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-06-30,39789000,900000,44.0,59998,10.0,BUY-MORE,4 - Mid
9,FOSL,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-09-30,52308000,450000,116.0,LOMBARD ODIER ASSET MANAGEMENT USA CORP,SHR,2013-06-30,23245000,225000,103.0,225000,13.0,BUY-MORE,4 - Mid
