,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GD,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-09-30,2919247000,33352615,87.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-06-30,2612454000,33351897,78.0,718,9.0,BUY-MORE,5 - Large
1,PETM,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-09-30,509033000,6673980,76.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-06-30,447074000,6673741,66.0,239,10.0,HOLD,3 - Small
2,ALG,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-09-30,83152000,1700100,48.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-06-30,69398000,1700100,40.0,0,8.0,SELL-PARTIAL,4 - Mid
0,GD,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-12-31,3188385000,33368752,95.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-09-30,2919247000,33352615,87.0,16137,8.0,BUY-MORE,5 - Large
1,PETM,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-12-31,485923000,6679352,72.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-09-30,509033000,6673980,76.0,5372,-4.0,HOLD,3 - Small
2,ALG,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-12-31,103179000,1700100,60.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-09-30,83152000,1700100,48.0,0,12.0,SELL-PARTIAL,4 - Mid
0,GD,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-03-31,3634661000,33368777,108.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-12-31,3188385000,33368752,95.0,25,13.0,BUY-MORE,5 - Large
1,PETM,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-03-31,513153000,7446912,68.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-12-31,485923000,6679352,72.0,767560,-4.0,HOLD,3 - Small
2,ALG,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-03-31,92366000,1700100,54.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2013-12-31,103179000,1700100,60.0,0,-6.0,SELL-PARTIAL,4 - Mid
0,GD,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-06-30,3887736000,33356150,116.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-03-31,3634661000,33368777,108.0,-12627,8.0,BUY-MORE,5 - Large
1,PETM,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-06-30,533679000,8924986,59.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-03-31,513153000,7446912,68.0,1478074,-9.0,HOLD,3 - Small
2,ALG,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-06-30,91958000,1700100,54.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-03-31,92366000,1700100,54.0,0,0.0,SELL-PARTIAL,4 - Mid
0,GD,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-09-30,4240514000,33366231,127.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-06-30,3887736000,33356150,116.0,10081,11.0,BUY-MORE,5 - Large
1,PETM,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-09-30,625824000,8928862,70.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-06-30,533679000,8924986,59.0,3876,11.0,HOLD,3 - Small
2,ALG,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-09-30,69704000,1700100,40.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-06-30,91958000,1700100,54.0,0,-14.0,SELL-PARTIAL,4 - Mid
0,GD,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-12-31,4585489000,33319931,137.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-09-30,4240514000,33366231,127.0,-46300,10.0,BUY-MORE,5 - Large
1,PETM,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-12-31,603582000,7424591,81.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-09-30,625824000,8928862,70.0,-1504271,11.0,HOLD,3 - Small
2,ALG,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-12-31,82353000,1700100,48.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-09-30,69704000,1700100,40.0,0,8.0,SELL-PARTIAL,4 - Mid
0,GD,LONGVIEW ASSET MANAGEMENT LLC,SHR,2015-03-31,4523322000,33325881,135.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-12-31,4585489000,33319931,137.0,5950,-2.0,BUY-MORE,5 - Large
1,ALG,LONGVIEW ASSET MANAGEMENT LLC,SHR,2015-03-31,107327000,1700100,63.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2014-12-31,82353000,1700100,48.0,0,15.0,HOLD,3 - Small
0,GD,LONGVIEW ASSET MANAGEMENT LLC,SHR,2015-06-30,4721944000,33325881,141.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2015-03-31,4523322000,33325881,135.0,0,6.0,BUY-MORE,5 - Large
1,ALG,LONGVIEW ASSET MANAGEMENT LLC,SHR,2015-06-30,92893000,1700100,54.0,LONGVIEW ASSET MANAGEMENT LLC,SHR,2015-03-31,107327000,1700100,63.0,0,-9.0,HOLD,3 - Small
