,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MKL,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,117058000,226081,517.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,121008000,229638,526.0,-3557,-9.0,SELL-PARTIAL,5 - Large
1,OMC,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,89391000,1409065,63.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,97725000,1554391,62.0,-145326,1.0,SELL-PARTIAL,5 - Large
2,QCOM,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,82498000,1225457,67.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,79313000,1298303,61.0,-72846,6.0,BUY-MORE,5 - Large
3,BAM,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,81140000,2169508,37.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,83295000,2312473,36.0,-142965,1.0,SELL-PARTIAL,5 - Large
4,MMM,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,77919000,652536,119.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,86277000,789001,109.0,-136465,10.0,SELL-PARTIAL,5 - Large
5,ORCL,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,72021000,2171279,33.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,64855000,2111866,30.0,59413,3.0,BUY-MORE,5 - Large
6,SLB,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,71076000,804390,88.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,64313000,897472,71.0,-93082,17.0,BUY-MORE,5 - Large
7,JNJ,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,69448000,801111,86.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,96490000,1123810,85.0,-322699,1.0,SELL-PARTIAL,5 - Large
8,CPRT,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,69289000,2179585,31.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,58421000,1896778,30.0,282807,1.0,SELL-PARTIAL,5 - Large
9,VEU,MADISON INVESTMENT HOLDINGS INC,FND,2013-09-30,67908000,1397294,48.0,MADISON INVESTMENT HOLDINGS INC,FND,2013-06-30,106620000,2411121,44.0,-1013827,4.0,BUY-MORE,5 - Large
10,MTB,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,66800000,596859,111.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,70490000,630783,111.0,-33924,0.0,SELL-PARTIAL,6 - Mega
11,DTV1,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,66767000,1116873,59.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,28553000,463225,61.0,653648,-2.0,BUY-MORE,5 - Large
12,BRK.B,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,66249000,583639,113.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,69426000,620320,111.0,-36681,2.0,SELL-PARTIAL,5 - Large
13,CHRW,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,64641000,1084764,59.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,65520000,1163551,56.0,-78787,3.0,BUY-MORE,5 - Large
14,BND,MADISON INVESTMENT HOLDINGS INC,FND,2013-09-30,64568000,798318,80.0,MADISON INVESTMENT HOLDINGS INC,FND,2013-06-30,84305000,1042348,80.0,-244030,0.0,BUY-MORE,5 - Large
15,MCRS,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,63789000,1277313,49.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,59076000,1369081,43.0,-91768,6.0,BUY-MORE,6 - Mega
16,SPY,MADISON INVESTMENT HOLDINGS INC,FND,2013-09-30,63485000,377867,168.0,MADISON INVESTMENT HOLDINGS INC,FND,2013-06-30,51528000,321207,160.0,56660,8.0,SELL-PARTIAL,5 - Large
17,NSRGY,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,63283000,909243,69.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,57799000,878674,65.0,30569,4.0,SELL-PARTIAL,5 - Large
18,DHR,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,62751000,905230,69.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,55782000,881234,63.0,23996,6.0,SELL-PARTIAL,5 - Large
19,VCIT,MADISON INVESTMENT HOLDINGS INC,FND,2013-09-30,62674000,751312,83.0,MADISON INVESTMENT HOLDINGS INC,FND,2013-06-30,16325000,196662,83.0,554650,0.0,BUY-MORE,5 - Large
20,ACN,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,62657000,850851,73.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,58067000,806935,71.0,43916,2.0,BUY-MORE,5 - Large
21,AAP,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,60804000,735416,82.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,46157000,568641,81.0,166775,1.0,BUY-MORE,5 - Large
22,MSFT,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,59795000,1796715,33.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,80905000,2342013,34.0,-545298,-1.0,SELL-PARTIAL,5 - Large
23,USB,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,59397000,1623756,36.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,64122000,1773784,36.0,-150028,0.0,SELL-PARTIAL,5 - Large
24,IJH,MADISON INVESTMENT HOLDINGS INC,FND,2013-09-30,57790000,465524,124.0,MADISON INVESTMENT HOLDINGS INC,FND,2013-06-30,39603000,342884,115.0,122640,9.0,SELL-PARTIAL,6 - Mega
25,MCD,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,56442000,586655,96.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,51544000,520643,99.0,66012,-3.0,BUY-MORE,5 - Large
26,UPS,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,55145000,603539,91.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,53320000,616555,86.0,-13016,5.0,SELL-PARTIAL,5 - Large
27,VGT,MADISON INVESTMENT HOLDINGS INC,FND,2013-09-30,51479000,637901,80.0,MADISON INVESTMENT HOLDINGS INC,FND,2013-06-30,42290000,571638,73.0,66263,7.0,SELL-PARTIAL,5 - Large
28,WRB,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,47034000,1097394,42.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,47723000,1167961,40.0,-70567,2.0,SELL-PARTIAL,5 - Large
29,PFE,MADISON INVESTMENT HOLDINGS INC,SHR,2013-09-30,47030000,1637262,28.0,MADISON INVESTMENT HOLDINGS INC,SHR,2013-06-30,42902000,1531683,28.0,105579,0.0,BUY-MORE,4 - Mid
