,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MMM,MAIRS POWER INC,SHR,2013-09-30,260764000,2183771,119.0,MAIRS POWER INC,SHR,2013-06-30,240822000,2202300,109.0,-18529,10.0,BUY-MORE,5 - Large
1,EMR,MAIRS POWER INC,SHR,2013-09-30,221068000,3416823,64.0,MAIRS POWER INC,SHR,2013-06-30,187354000,3435166,54.0,-18343,10.0,SELL-PARTIAL,5 - Large
2,MDT,MAIRS POWER INC,SHR,2013-09-30,217699000,4088239,53.0,MAIRS POWER INC,SHR,2013-06-30,215315000,4183307,51.0,-95068,2.0,BUY-MORE,5 - Large
3,USB,MAIRS POWER INC,SHR,2013-09-30,209062000,5715194,36.0,MAIRS POWER INC,SHR,2013-06-30,175765000,4862104,36.0,853090,0.0,SELL-PARTIAL,5 - Large
4,PNR,MAIRS POWER INC,SHR,2013-09-30,205190000,3159682,64.0,MAIRS POWER INC,SHR,2013-06-30,188777000,3272263,57.0,-112581,7.0,BUY-MORE,6 - Mega
5,VAL1,MAIRS POWER INC,SHR,2013-09-30,203173000,3203112,63.0,MAIRS POWER INC,SHR,2013-06-30,204716000,3165552,64.0,37560,-1.0,SELL-PARTIAL,6 - Mega
6,ECL,MAIRS POWER INC,SHR,2013-09-30,199810000,2023189,98.0,MAIRS POWER INC,SHR,2013-06-30,173689000,2038845,85.0,-15656,13.0,SELL-PARTIAL,5 - Large
7,TGT,MAIRS POWER INC,SHR,2013-09-30,194153000,3034586,63.0,MAIRS POWER INC,SHR,2013-06-30,201870000,2931606,68.0,102980,-5.0,SELL-PARTIAL,5 - Large
8,HON,MAIRS POWER INC,SHR,2013-09-30,194033000,2336623,83.0,MAIRS POWER INC,SHR,2013-06-30,187464000,2362793,79.0,-26170,4.0,BUY-MORE,4 - Mid
9,SLB,MAIRS POWER INC,SHR,2013-09-30,176754000,2000388,88.0,MAIRS POWER INC,SHR,2013-06-30,99259000,1385142,71.0,615246,17.0,SELL-PARTIAL,5 - Large
10,TTC,MAIRS POWER INC,SHR,2013-09-30,174725000,3214803,54.0,MAIRS POWER INC,SHR,2013-06-30,146708000,3230753,45.0,-15950,9.0,SELL-PARTIAL,4 - Mid
11,GGG,MAIRS POWER INC,SHR,2013-09-30,172356000,2327242,74.0,MAIRS POWER INC,SHR,2013-06-30,175609000,2778189,63.0,-450947,11.0,SELL-PARTIAL,6 - Mega
12,FUL,MAIRS POWER INC,SHR,2013-09-30,171436000,3793676,45.0,MAIRS POWER INC,SHR,2013-06-30,143190000,3787095,37.0,6581,8.0,BUY-MORE,4 - Mid
13,DCI,MAIRS POWER INC,SHR,2013-09-30,157730000,4136649,38.0,MAIRS POWER INC,SHR,2013-06-30,139750000,3918954,35.0,217695,3.0,SELL-PARTIAL,5 - Large
14,JNJ,MAIRS POWER INC,SHR,2013-09-30,157378000,1815415,86.0,MAIRS POWER INC,SHR,2013-06-30,157438000,1833654,85.0,-18239,1.0,BUY-MORE,4 - Mid
15,HRL,MAIRS POWER INC,SHR,2013-09-30,138316000,3283857,42.0,MAIRS POWER INC,SHR,2013-06-30,127651000,3308740,38.0,-24883,4.0,BUY-MORE,5 - Large
16,BMS,MAIRS POWER INC,SHR,2013-09-30,132780000,3403731,39.0,MAIRS POWER INC,SHR,2013-06-30,133777000,3417914,39.0,-14183,0.0,BUY-MORE,5 - Large
17,WFC,MAIRS POWER INC,SHR,2013-09-30,131609000,3185111,41.0,MAIRS POWER INC,SHR,2013-06-30,142081000,3442714,41.0,-257603,0.0,BUY-MORE,6 - Mega
18,GE,MAIRS POWER INC,SHR,2013-09-30,127133000,5321589,23.0,MAIRS POWER INC,SHR,2013-06-30,123720000,5335040,23.0,-13451,0.0,SELL-PARTIAL,5 - Large
19,GIS,MAIRS POWER INC,SHR,2013-09-30,119185000,2487171,47.0,MAIRS POWER INC,SHR,2013-06-30,121558000,2504808,48.0,-17637,-1.0,SELL-PARTIAL,4 - Mid
20,BAX,MAIRS POWER INC,SHR,2013-09-30,115229000,1754137,65.0,MAIRS POWER INC,SHR,2013-06-30,122505000,1768515,69.0,-14378,-4.0,BUY-MORE,5 - Large
21,MTSC,MAIRS POWER INC,SHR,2013-09-30,114563000,1780305,64.0,MAIRS POWER INC,SHR,2013-06-30,100341000,1772805,56.0,7500,8.0,SELL-PARTIAL,6 - Mega
