,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,AIG,MANIKAY PARTNERS LLC,SHR,2013-09-30,83352000,1714000,48.0,MANIKAY PARTNERS LLC,SHR,2013-06-30,76616000,1714000,44.0,0,4.0,BUY-MORE,5 - Large
1,AIG,MANIKAY PARTNERS LLC,SHR,2013-09-30,83352000,1714000,48.0,MANIKAY PARTNERS LLC,PUT,2013-06-30,75990000,1700000,44.0,14000,4.0,BUY-MORE,5 - Large
2,AIG,MANIKAY PARTNERS LLC,SHR,2013-09-30,83352000,1714000,48.0,MANIKAY PARTNERS LLC,WNT,2013-06-30,24338000,1334300,18.0,379700,30.0,HOLD,6 - Mega
3,AIG,MANIKAY PARTNERS LLC,PUT,2013-09-30,77808000,1600000,48.0,MANIKAY PARTNERS LLC,SHR,2013-06-30,76616000,1714000,44.0,-114000,4.0,BUY-MORE,6 - Mega
4,AIG,MANIKAY PARTNERS LLC,PUT,2013-09-30,77808000,1600000,48.0,MANIKAY PARTNERS LLC,PUT,2013-06-30,75990000,1700000,44.0,-100000,4.0,BUY-MORE,5 - Large
5,AIG,MANIKAY PARTNERS LLC,PUT,2013-09-30,77808000,1600000,48.0,MANIKAY PARTNERS LLC,WNT,2013-06-30,24338000,1334300,18.0,265700,30.0,BUY-MORE,5 - Large
6,AIG,MANIKAY PARTNERS LLC,WNT,2013-09-30,25285000,1334300,18.0,MANIKAY PARTNERS LLC,SHR,2013-06-30,76616000,1714000,44.0,-379700,-26.0,SELL-PARTIAL,5 - Large
7,AIG,MANIKAY PARTNERS LLC,WNT,2013-09-30,25285000,1334300,18.0,MANIKAY PARTNERS LLC,PUT,2013-06-30,75990000,1700000,44.0,-365700,-26.0,SELL-PARTIAL,5 - Large
8,AIG,MANIKAY PARTNERS LLC,WNT,2013-09-30,25285000,1334300,18.0,MANIKAY PARTNERS LLC,WNT,2013-06-30,24338000,1334300,18.0,0,0.0,BUY-MORE,5 - Large
9,BAC,MANIKAY PARTNERS LLC,SHR,2013-09-30,82800000,6000000,13.0,MANIKAY PARTNERS LLC,SHR,2013-06-30,77160000,6000000,12.0,0,1.0,HOLD,5 - Large
10,BAC,MANIKAY PARTNERS LLC,SHR,2013-09-30,82800000,6000000,13.0,MANIKAY PARTNERS LLC,PUT,2013-06-30,70730000,5500000,12.0,500000,1.0,BUY-MORE,3 - Small
11,BAC,MANIKAY PARTNERS LLC,PUT,2013-09-30,82800000,6000000,13.0,MANIKAY PARTNERS LLC,SHR,2013-06-30,77160000,6000000,12.0,0,1.0,BUY-MORE,5 - Large
12,BAC,MANIKAY PARTNERS LLC,PUT,2013-09-30,82800000,6000000,13.0,MANIKAY PARTNERS LLC,PUT,2013-06-30,70730000,5500000,12.0,500000,1.0,BUY-MORE,4 - Mid
13,C,MANIKAY PARTNERS LLC,SHR,2013-09-30,80042000,1650000,48.0,MANIKAY PARTNERS LLC,SHR,2013-06-30,79151000,1650000,47.0,0,1.0,SELL-PARTIAL,5 - Large
14,C,MANIKAY PARTNERS LLC,SHR,2013-09-30,80042000,1650000,48.0,MANIKAY PARTNERS LLC,PUT,2013-06-30,76752000,1600000,47.0,50000,1.0,BUY-MORE,6 - Mega
15,C,MANIKAY PARTNERS LLC,PUT,2013-09-30,80042000,1650000,48.0,MANIKAY PARTNERS LLC,SHR,2013-06-30,79151000,1650000,47.0,0,1.0,SELL-PARTIAL,5 - Large
16,C,MANIKAY PARTNERS LLC,PUT,2013-09-30,80042000,1650000,48.0,MANIKAY PARTNERS LLC,PUT,2013-06-30,76752000,1600000,47.0,50000,1.0,HOLD,6 - Mega
17,STZ,MANIKAY PARTNERS LLC,SHR,2013-09-30,74620000,1300000,57.0,MANIKAY PARTNERS LLC,SHR,2013-06-30,67756000,1300000,52.0,0,5.0,SELL-PARTIAL,5 - Large
18,STZ,MANIKAY PARTNERS LLC,PUT,2013-09-30,17220000,300000,57.0,MANIKAY PARTNERS LLC,SHR,2013-06-30,67756000,1300000,52.0,-1000000,5.0,SELL-PARTIAL,5 - Large
19,HCBK,MANIKAY PARTNERS LLC,SHR,2013-09-30,59671000,6600000,9.0,MANIKAY PARTNERS LLC,SHR,2013-06-30,866000,94400,9.0,6505600,0.0,BUY-MORE,5 - Large
