,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,SPY,MAPLELANE CAPITAL LLC,CLL,2013-09-30,201612000,1200000,168.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,128336000,800000,160.0,400000,8.0,BUY-MORE,5 - Large
1,SPY,MAPLELANE CAPITAL LLC,FND,2013-09-30,0,1,0.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,128336000,800000,160.0,-799999,-160.0,BUY-MORE,5 - Large
2,EVTC,MAPLELANE CAPITAL LLC,SHR,2013-09-30,65933000,2968640,22.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,32809000,1493345,21.0,1475295,1.0,SELL-PARTIAL,5 - Large
3,QCOM,MAPLELANE CAPITAL LLC,PUT,2013-09-30,49144000,730000,67.0,MAPLELANE CAPITAL LLC,PUT,2013-06-30,12218000,200000,61.0,530000,6.0,SELL-PARTIAL,5 - Large
4,QCOM,MAPLELANE CAPITAL LLC,PUT,2013-09-30,49144000,730000,67.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,0,1,0.0,729999,67.0,BUY-MORE,6 - Mega
5,INTC,MAPLELANE CAPITAL LLC,PUT,2013-09-30,45842000,2000000,22.0,MAPLELANE CAPITAL LLC,PUT,2013-06-30,153861000,6350000,24.0,-4350000,-2.0,BUY-MORE,6 - Mega
6,INTC,MAPLELANE CAPITAL LLC,PUT,2013-09-30,45842000,2000000,22.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,1197000,49412,24.0,1950588,-2.0,SELL-PARTIAL,6 - Mega
7,FOSL,MAPLELANE CAPITAL LLC,SHR,2013-09-30,44759000,385057,116.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,23614000,228577,103.0,156480,13.0,BUY-MORE,6 - Mega
8,FOSL,MAPLELANE CAPITAL LLC,SHR,2013-09-30,44759000,385057,116.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,22728000,220000,103.0,165057,13.0,SELL-PARTIAL,6 - Mega
9,FOSL,MAPLELANE CAPITAL LLC,CLL,2013-09-30,30222000,260000,116.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,23614000,228577,103.0,31423,13.0,BUY-MORE,6 - Mega
10,FOSL,MAPLELANE CAPITAL LLC,CLL,2013-09-30,30222000,260000,116.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,22728000,220000,103.0,40000,13.0,SELL-PARTIAL,6 - Mega
11,TSLA,MAPLELANE CAPITAL LLC,PUT,2013-09-30,38674000,200000,193.0,MAPLELANE CAPITAL LLC,PUT,2013-06-30,35429000,330000,107.0,-130000,86.0,BUY-MORE,6 - Mega
12,TSLA,MAPLELANE CAPITAL LLC,PUT,2013-09-30,38674000,200000,193.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,0,1,0.0,199999,193.0,BUY-MORE,5 - Large
13,ARMH,MAPLELANE CAPITAL LLC,PUT,2013-09-30,36331000,755000,48.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,28984000,800000,36.0,-45000,12.0,BUY-MORE,5 - Large
14,ARMH,MAPLELANE CAPITAL LLC,PUT,2013-09-30,36331000,755000,48.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,0,1,0.0,754999,48.0,SELL-PARTIAL,6 - Mega
15,ARMH,MAPLELANE CAPITAL LLC,SHR,2013-09-30,0,1,0.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,28984000,800000,36.0,-799999,-36.0,SELL-PARTIAL,6 - Mega
16,ARMH,MAPLELANE CAPITAL LLC,SHR,2013-09-30,0,1,0.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,0,1,0.0,0,0.0,SELL-PARTIAL,6 - Mega
17,SODA,MAPLELANE CAPITAL LLC,PUT,2013-09-30,34751000,557000,62.0,MAPLELANE CAPITAL LLC,PUT,2013-06-30,27607000,380000,72.0,177000,-10.0,SELL-PARTIAL,6 - Mega
18,SODA,MAPLELANE CAPITAL LLC,PUT,2013-09-30,34751000,557000,62.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,2515000,34613,72.0,522387,-10.0,BUY-MORE,6 - Mega
19,FB,MAPLELANE CAPITAL LLC,CLL,2013-09-30,25115000,500000,50.0,MAPLELANE CAPITAL LLC,PUT,2013-06-30,9952000,400000,24.0,100000,26.0,BUY-MORE,5 - Large
20,FB,MAPLELANE CAPITAL LLC,CLL,2013-09-30,25115000,500000,50.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,3483000,140000,24.0,360000,26.0,SELL-PARTIAL,5 - Large
21,FB,MAPLELANE CAPITAL LLC,PUT,2013-09-30,20092000,400000,50.0,MAPLELANE CAPITAL LLC,PUT,2013-06-30,9952000,400000,24.0,0,26.0,SELL-PARTIAL,5 - Large
22,FB,MAPLELANE CAPITAL LLC,PUT,2013-09-30,20092000,400000,50.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,3483000,140000,24.0,260000,26.0,SELL-PARTIAL,5 - Large
23,KAR,MAPLELANE CAPITAL LLC,SHR,2013-09-30,23751000,841941,28.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,4142000,181094,22.0,660847,6.0,SELL-PARTIAL,5 - Large
24,V,MAPLELANE CAPITAL LLC,CLL,2013-09-30,20543000,107500,191.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,5483000,30000,182.0,77500,9.0,BUY-MORE,
25,V,MAPLELANE CAPITAL LLC,SHR,2013-09-30,9926000,51943,191.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,5483000,30000,182.0,21943,9.0,SELL-PARTIAL,
26,DDD,MAPLELANE CAPITAL LLC,PUT,2013-09-30,18897000,350000,53.0,MAPLELANE CAPITAL LLC,PUT,2013-06-30,4390000,100000,43.0,250000,10.0,BUY-MORE,5 - Large
27,DDD,MAPLELANE CAPITAL LLC,PUT,2013-09-30,18897000,350000,53.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,0,1,0.0,349999,53.0,SELL-PARTIAL,5 - Large
28,DDD,MAPLELANE CAPITAL LLC,SHR,2013-09-30,0,1,0.0,MAPLELANE CAPITAL LLC,PUT,2013-06-30,4390000,100000,43.0,-99999,-43.0,SELL-PARTIAL,5 - Large
29,DDD,MAPLELANE CAPITAL LLC,SHR,2013-09-30,0,1,0.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,0,1,0.0,0,0.0,SELL-PARTIAL,6 - Mega
30,ALTR1,MAPLELANE CAPITAL LLC,SHR,2013-09-30,18570000,499718,37.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,13467000,408218,32.0,91500,5.0,SELL-PARTIAL,6 - Mega
31,ALTR1,MAPLELANE CAPITAL LLC,SHR,2013-09-30,18570000,499718,37.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,7258000,220000,32.0,279718,5.0,SELL-PARTIAL,6 - Mega
32,EQIX,MAPLELANE CAPITAL LLC,CLL,2013-09-30,18365000,100000,183.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,2771000,15000,184.0,85000,-1.0,SELL-PARTIAL,5 - Large
33,EQIX,MAPLELANE CAPITAL LLC,CLL,2013-09-30,18365000,100000,183.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,846000,4580,184.0,95420,-1.0,SELL-PARTIAL,6 - Mega
34,EQIX,MAPLELANE CAPITAL LLC,SHR,2013-09-30,0,1,0.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,2771000,15000,184.0,-14999,-184.0,BUY-MORE,6 - Mega
35,EQIX,MAPLELANE CAPITAL LLC,SHR,2013-09-30,0,1,0.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,846000,4580,184.0,-4579,-184.0,BUY-MORE,5 - Large
36,CRM,MAPLELANE CAPITAL LLC,CLL,2013-09-30,17001000,327500,51.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,1527000,40000,38.0,287500,13.0,SELL-PARTIAL,5 - Large
37,CRM,MAPLELANE CAPITAL LLC,SHR,2013-09-30,2175000,41893,51.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,1527000,40000,38.0,1893,13.0,SELL-PARTIAL,5 - Large
38,AAP,MAPLELANE CAPITAL LLC,CLL,2013-09-30,16536000,200000,82.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,16234000,200000,81.0,0,1.0,SELL-PARTIAL,5 - Large
39,AAP,MAPLELANE CAPITAL LLC,CLL,2013-09-30,16536000,200000,82.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,10146000,125000,81.0,75000,1.0,SELL-PARTIAL,5 - Large
40,AAP,MAPLELANE CAPITAL LLC,SHR,2013-09-30,3886000,47000,82.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,16234000,200000,81.0,-153000,1.0,SELL-PARTIAL,5 - Large
41,AAP,MAPLELANE CAPITAL LLC,SHR,2013-09-30,3886000,47000,82.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,10146000,125000,81.0,-78000,1.0,BUY-MORE,5 - Large
42,TMO,MAPLELANE CAPITAL LLC,SHR,2013-09-30,15898000,172523,92.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,23696000,280000,84.0,-107477,8.0,BUY-MORE,5 - Large
43,BFAM,MAPLELANE CAPITAL LLC,SHR,2013-09-30,15405000,429951,35.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,14058000,405001,34.0,24950,1.0,SELL-PARTIAL,5 - Large
44,LULU,MAPLELANE CAPITAL LLC,PUT,2013-09-30,14626000,200000,73.0,MAPLELANE CAPITAL LLC,PUT,2013-06-30,13100000,200000,65.0,0,8.0,SELL-PARTIAL,5 - Large
45,LULU,MAPLELANE CAPITAL LLC,PUT,2013-09-30,14626000,200000,73.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,2620000,40000,65.0,160000,8.0,BUY-MORE,4 - Mid
46,DGI,MAPLELANE CAPITAL LLC,SHR,2013-09-30,14229000,450000,31.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,14203000,458000,31.0,-8000,0.0,BUY-MORE,4 - Mid
47,MLCO,MAPLELANE CAPITAL LLC,PUT,2013-09-30,12732000,400000,31.0,MAPLELANE CAPITAL LLC,PUT,2013-06-30,8944000,400000,22.0,0,9.0,SELL-PARTIAL,4 - Mid
48,MLCO,MAPLELANE CAPITAL LLC,PUT,2013-09-30,12732000,400000,31.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,0,1,0.0,399999,31.0,SELL-PARTIAL,4 - Mid
49,MLCO,MAPLELANE CAPITAL LLC,SHR,2013-09-30,0,1,0.0,MAPLELANE CAPITAL LLC,PUT,2013-06-30,8944000,400000,22.0,-399999,-22.0,BUY-MORE,3 - Small
50,MLCO,MAPLELANE CAPITAL LLC,SHR,2013-09-30,0,1,0.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,0,1,0.0,0,0.0,SELL-PARTIAL,3 - Small
51,MSTR,MAPLELANE CAPITAL LLC,CLL,2013-09-30,11932000,115000,103.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,3478000,40000,86.0,75000,17.0,BUY-MORE,5 - Large
52,MSTR,MAPLELANE CAPITAL LLC,CLL,2013-09-30,11932000,115000,103.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,0,1,0.0,114999,103.0,BUY-MORE,4 - Mid
53,MSTR,MAPLELANE CAPITAL LLC,SHR,2013-09-30,0,1,0.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,3478000,40000,86.0,-39999,-86.0,BUY-MORE,4 - Mid
54,MSTR,MAPLELANE CAPITAL LLC,SHR,2013-09-30,0,1,0.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,0,1,0.0,0,0.0,SELL-PARTIAL,4 - Mid
55,IP,MAPLELANE CAPITAL LLC,SHR,2013-09-30,11872000,265000,44.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,8862000,200000,44.0,65000,0.0,SELL-PARTIAL,4 - Mid
56,IP,MAPLELANE CAPITAL LLC,SHR,2013-09-30,11872000,265000,44.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,7533000,170000,44.0,95000,0.0,BUY-MORE,5 - Large
57,IP,MAPLELANE CAPITAL LLC,CLL,2013-09-30,8960000,200000,44.0,MAPLELANE CAPITAL LLC,CLL,2013-06-30,8862000,200000,44.0,0,0.0,BUY-MORE,5 - Large
58,IP,MAPLELANE CAPITAL LLC,CLL,2013-09-30,8960000,200000,44.0,MAPLELANE CAPITAL LLC,SHR,2013-06-30,7533000,170000,44.0,30000,0.0,BUY-MORE,4 - Mid
