,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,HD,MAVERICK CAPITAL LTD,SHR,2013-09-30,285591000,3765214,75.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,132314000,1707944,77.0,2057270,-2.0,SELL-PARTIAL,6 - Mega
1,BKNG,MAVERICK CAPITAL LTD,SHR,2013-09-30,279756000,276726,1010.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,283280000,342676,826.0,-65950,184.0,BUY-MORE,5 - Large
2,QCOM,MAVERICK CAPITAL LTD,SHR,2013-09-30,272470000,4047393,67.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,279747000,4579252,61.0,-531859,6.0,BUY-MORE,5 - Large
3,LBTYA,MAVERICK CAPITAL LTD,SHR,2013-09-30,262807000,3311993,79.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,247477000,3367493,73.0,-55500,6.0,BUY-MORE,6 - Mega
4,ESRX,MAVERICK CAPITAL LTD,SHR,2013-09-30,258581000,4184162,61.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,94466000,1530056,61.0,2654106,0.0,SELL-PARTIAL,6 - Mega
5,SWI1,MAVERICK CAPITAL LTD,SHR,2013-09-30,250123000,7134142,35.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,163862000,4222171,38.0,2911971,-3.0,SELL-PARTIAL,5 - Large
6,TDG,MAVERICK CAPITAL LTD,SHR,2013-09-30,248864000,1794259,138.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,191858000,1223819,156.0,570440,-18.0,SELL-PARTIAL,6 - Mega
7,DG,MAVERICK CAPITAL LTD,SHR,2013-09-30,248574000,4402654,56.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,223317000,4428248,50.0,-25594,6.0,BUY-MORE,6 - Mega
8,CYH,MAVERICK CAPITAL LTD,SHR,2013-09-30,221855000,5345910,41.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,116700000,2489332,46.0,2856578,-5.0,BUY-MORE,5 - Large
9,NVR,MAVERICK CAPITAL LTD,SHR,2013-09-30,216037000,235030,919.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,151503000,164320,921.0,70710,-2.0,BUY-MORE,5 - Large
10,UPS,MAVERICK CAPITAL LTD,SHR,2013-09-30,202696000,2218405,91.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,250393000,2895391,86.0,-676986,5.0,SELL-PARTIAL,5 - Large
11,NTAP,MAVERICK CAPITAL LTD,SHR,2013-09-30,196365000,4607350,42.0,MAVERICK CAPITAL LTD,SHR,2013-06-30,212912000,5635578,37.0,-1028228,5.0,BUY-MORE,5 - Large
