,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NKE,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,70231000,700000,100.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,25480000,265000,96.0,435000,4.0,SELL-PARTIAL,5 - Large
1,LOW,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,44634000,600000,74.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,34400000,500000,68.0,100000,6.0,BUY-MORE,5 - Large
2,DE,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,43845000,500000,87.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,55294000,625000,88.0,-125000,-1.0,BUY-MORE,4 - Mid
3,DG,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,43344000,575000,75.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,24745000,350000,70.0,225000,5.0,SELL-PARTIAL,4 - Mid
4,MJN,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,42725000,425000,100.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,34184000,340000,100.0,85000,0.0,BUY-MORE,5 - Large
5,V,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,42517000,650000,65.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,22287000,85000,262.0,565000,-197.0,BUY-MORE,6 - Mega
6,AAP,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,41831000,279450,149.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,33449000,210000,159.0,69450,-10.0,BUY-MORE,5 - Large
7,AAP,MELVIN CAPITAL MANAGEMENT LP,CLL,2015-03-31,14969000,100000,149.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,33449000,210000,159.0,-110000,-10.0,SELL-PARTIAL,5 - Large
8,DLTR,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,40572000,500000,81.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,30615000,435000,70.0,65000,11.0,BUY-MORE,6 - Mega
9,KAR,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,39827000,1050000,37.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,11261000,325000,34.0,725000,3.0,BUY-MORE,5 - Large
10,SKX,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,37753000,525000,71.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,22653000,410000,55.0,115000,16.0,SELL-PARTIAL,5 - Large
11,AMZN,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,37210000,100000,372.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,34139000,110000,310.0,-10000,62.0,SELL-PARTIAL,5 - Large
12,AMZN,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,37210000,100000,372.0,MELVIN CAPITAL MANAGEMENT LP,CLL,2014-12-31,15518000,50000,310.0,50000,62.0,SELL-PARTIAL,5 - Large
13,TXRH,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,30966000,850000,36.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,22113000,655000,33.0,195000,3.0,BUY-MORE,5 - Large
14,BURL,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,29710000,500000,59.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,22921000,485000,47.0,15000,12.0,SELL-PARTIAL,5 - Large
15,HBI,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,29321000,875000,33.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,30696000,275000,111.0,600000,-78.0,BUY-MORE,5 - Large
16,ALV,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,26498000,225000,117.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,14326000,135000,106.0,90000,11.0,SELL-PARTIAL,5 - Large
17,HII,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,25928000,185000,140.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,22492000,200000,112.0,-15000,28.0,SELL-PARTIAL,5 - Large
18,CST,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,25202000,575000,43.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,25076000,575000,43.0,0,0.0,BUY-MORE,5 - Large
19,CST,MELVIN CAPITAL MANAGEMENT LP,CLL,2015-03-31,8766000,200000,43.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,25076000,575000,43.0,-375000,0.0,SELL-PARTIAL,5 - Large
20,ADT1,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,23874000,575000,41.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,14492000,400000,36.0,175000,5.0,SELL-PARTIAL,5 - Large
21,ADT1,MELVIN CAPITAL MANAGEMENT LP,CLL,2015-03-31,12456000,300000,41.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,14492000,400000,36.0,-100000,5.0,BUY-MORE,5 - Large
22,DFRG,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,23676000,1175000,20.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,13461000,567000,23.0,608000,-3.0,SELL-PARTIAL,5 - Large
23,DFRG,MELVIN CAPITAL MANAGEMENT LP,CLL,2015-03-31,3023000,150000,20.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,13461000,567000,23.0,-417000,-3.0,BUY-MORE,5 - Large
24,KSS,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,21519000,275000,78.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,15260000,250000,61.0,25000,17.0,BUY-MORE,5 - Large
25,DKS,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,17097000,300000,56.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,19860000,400000,49.0,-100000,7.0,BUY-MORE,5 - Large
26,SYY,MELVIN CAPITAL MANAGEMENT LP,SHR,2015-03-31,16979000,450000,37.0,MELVIN CAPITAL MANAGEMENT LP,SHR,2014-12-31,43659000,1100000,39.0,-650000,-2.0,BUY-MORE,5 - Large
