,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,SPY,MERITAGE GROUP LP,PUT,2013-09-30,453778000,2700900,168.0,MERITAGE GROUP LP,PUT,2013-06-30,379730000,2367100,160.0,333800,8.0,BUY-MORE,5 - Large
1,FISV,MERITAGE GROUP LP,SHR,2013-09-30,265455000,2626966,101.0,MERITAGE GROUP LP,SHR,2013-06-30,248828000,2846678,87.0,-219712,14.0,BUY-MORE,5 - Large
2,PM,MERITAGE GROUP LP,SHR,2013-09-30,245191000,2831632,86.0,MERITAGE GROUP LP,SHR,2013-06-30,245276000,2831632,86.0,0,0.0,BUY-MORE,6 - Mega
3,CP,MERITAGE GROUP LP,SHR,2013-09-30,242604000,1966758,123.0,MERITAGE GROUP LP,SHR,2013-06-30,248097000,2043251,121.0,-76493,2.0,BUY-MORE,5 - Large
4,QRTEA,MERITAGE GROUP LP,SHR,2013-09-30,235558000,10036564,23.0,MERITAGE GROUP LP,SHR,2013-06-30,230941000,10036564,23.0,0,0.0,SELL-PARTIAL,5 - Large
5,DISCK,MERITAGE GROUP LP,SHR,2013-09-30,214049000,2740000,78.0,MERITAGE GROUP LP,SHR,2013-06-30,192230000,2755113,69.0,-15113,9.0,BUY-MORE,5 - Large
6,SBH,MERITAGE GROUP LP,SHR,2013-09-30,204327000,7810676,26.0,MERITAGE GROUP LP,SHR,2013-06-30,163227000,5248470,31.0,2562206,-5.0,SELL-PARTIAL,5 - Large
7,ICE,MERITAGE GROUP LP,SHR,2013-09-30,201253000,1109322,181.0,MERITAGE GROUP LP,SHR,2013-06-30,197193000,1109322,177.0,0,4.0,HOLD,5 - Large
8,DLTR,MERITAGE GROUP LP,SHR,2013-09-30,178619000,3124895,57.0,MERITAGE GROUP LP,SHR,2013-06-30,158870000,3124895,50.0,0,7.0,BUY-MORE,5 - Large
9,WMB,MERITAGE GROUP LP,SHR,2013-09-30,166330000,4574532,36.0,MERITAGE GROUP LP,SHR,2013-06-30,148535000,4574532,32.0,0,4.0,BUY-MORE,5 - Large
10,MA,MERITAGE GROUP LP,SHR,2013-09-30,130584000,194096,672.0,MERITAGE GROUP LP,SHR,2013-06-30,86250000,150131,574.0,43965,98.0,SELL-PARTIAL,6 - Mega
11,PX,MERITAGE GROUP LP,SHR,2013-09-30,129741000,1079285,120.0,MERITAGE GROUP LP,SHR,2013-06-30,124290000,1079285,115.0,0,5.0,BUY-MORE,6 - Mega
12,BHC,MERITAGE GROUP LP,SHR,2013-09-30,123655000,1185229,104.0,MERITAGE GROUP LP,SHR,2013-06-30,102025000,1185229,86.0,0,18.0,BUY-MORE,5 - Large
13,PKI,MERITAGE GROUP LP,SHR,2013-09-30,121623000,3221792,37.0,MERITAGE GROUP LP,SHR,2013-06-30,104708000,3221792,32.0,0,5.0,BUY-MORE,5 - Large
14,CCE1,MERITAGE GROUP LP,SHR,2013-09-30,112263000,2791912,40.0,MERITAGE GROUP LP,SHR,2013-06-30,103502000,2943738,35.0,-151826,5.0,SELL-PARTIAL,5 - Large
15,ESRX,MERITAGE GROUP LP,SHR,2013-09-30,32844000,531450,61.0,MERITAGE GROUP LP,SHR,2013-06-30,111572000,1807127,61.0,-1275677,0.0,BUY-MORE,5 - Large
16,EEM,MERITAGE GROUP LP,PUT,2013-09-30,32604000,800000,40.0,MERITAGE GROUP LP,PUT,2013-06-30,30800000,800000,38.0,0,2.0,BUY-MORE,5 - Large
17,MS,MERITAGE GROUP LP,PUT,2013-09-30,23980000,889800,26.0,MERITAGE GROUP LP,PUT,2013-06-30,38081000,1558800,24.0,-669000,2.0,SELL-PARTIAL,5 - Large
18,TSLA,MERITAGE GROUP LP,PUT,2013-09-30,15470000,80000,193.0,MERITAGE GROUP LP,PUT,2013-06-30,10736000,100000,107.0,-20000,86.0,SELL-PARTIAL,5 - Large
19,FB,MERITAGE GROUP LP,PUT,2013-09-30,12758000,254000,50.0,MERITAGE GROUP LP,CLL,2013-06-30,4976000,200000,24.0,54000,26.0,BUY-MORE,5 - Large
20,GG,MERITAGE GROUP LP,CLL,2013-09-30,2601000,100000,26.0,MERITAGE GROUP LP,CLL,2013-06-30,2473000,100000,24.0,0,2.0,BUY-MORE,4 - Mid
21,XLE,MERITAGE GROUP LP,FND,2013-09-30,2138000,25793,82.0,MERITAGE GROUP LP,FND,2013-06-30,2020000,25793,78.0,0,4.0,SELL-PARTIAL,5 - Large
0,SPY,MERITAGE GROUP LP,PUT,2013-12-31,522710000,2830200,184.0,MERITAGE GROUP LP,PUT,2013-09-30,453778000,2700900,168.0,129300,16.0,BUY-MORE,5 - Large
1,SBH,MERITAGE GROUP LP,SHR,2013-12-31,249020000,8237507,30.0,MERITAGE GROUP LP,SHR,2013-09-30,204327000,7810676,26.0,426831,4.0,BUY-MORE,5 - Large
2,CP,MERITAGE GROUP LP,SHR,2013-12-31,247090000,1634960,151.0,MERITAGE GROUP LP,SHR,2013-09-30,242604000,1966758,123.0,-331798,28.0,BUY-MORE,6 - Mega
3,PM,MERITAGE GROUP LP,SHR,2013-12-31,246838000,2832988,87.0,MERITAGE GROUP LP,SHR,2013-09-30,245191000,2831632,86.0,1356,1.0,BUY-MORE,5 - Large
4,QRTEA,MERITAGE GROUP LP,SHR,2013-12-31,244852000,8342471,29.0,MERITAGE GROUP LP,SHR,2013-09-30,235558000,10036564,23.0,-1694093,6.0,SELL-PARTIAL,5 - Large
5,ICE,MERITAGE GROUP LP,SHR,2013-12-31,234018000,1040448,224.0,MERITAGE GROUP LP,SHR,2013-09-30,201253000,1109322,181.0,-68874,43.0,BUY-MORE,5 - Large
6,DISCK,MERITAGE GROUP LP,SHR,2013-12-31,229799000,2740272,83.0,MERITAGE GROUP LP,SHR,2013-09-30,214049000,2740000,78.0,272,5.0,SELL-PARTIAL,5 - Large
7,FISV,MERITAGE GROUP LP,SHR,2013-12-31,220218000,3729342,59.0,MERITAGE GROUP LP,SHR,2013-09-30,265455000,2626966,101.0,1102376,-42.0,HOLD,5 - Large
8,MCO,MERITAGE GROUP LP,SHR,2013-12-31,183915000,2343766,78.0,MERITAGE GROUP LP,SHR,2013-09-30,50801000,722330,70.0,1621436,8.0,BUY-MORE,5 - Large
9,BHC,MERITAGE GROUP LP,SHR,2013-12-31,179458000,1528603,117.0,MERITAGE GROUP LP,SHR,2013-09-30,123655000,1185229,104.0,343374,13.0,BUY-MORE,5 - Large
10,CCE1,MERITAGE GROUP LP,SHR,2013-12-31,174712000,3959041,44.0,MERITAGE GROUP LP,SHR,2013-09-30,112263000,2791912,40.0,1167129,4.0,SELL-PARTIAL,6 - Mega
11,DLTR,MERITAGE GROUP LP,SHR,2013-12-31,166682000,2954307,56.0,MERITAGE GROUP LP,SHR,2013-09-30,178619000,3124895,57.0,-170588,-1.0,BUY-MORE,6 - Mega
12,TFCF,MERITAGE GROUP LP,SHR,2013-12-31,136577000,3883334,35.0,MERITAGE GROUP LP,SHR,2013-09-30,160850000,4800055,33.0,-916721,2.0,BUY-MORE,5 - Large
13,PKI,MERITAGE GROUP LP,SHR,2013-12-31,132898000,3223334,41.0,MERITAGE GROUP LP,SHR,2013-09-30,121623000,3221792,37.0,1542,4.0,BUY-MORE,5 - Large
14,SPGI,MERITAGE GROUP LP,SHR,2013-12-31,110618000,1414554,78.0,MERITAGE GROUP LP,SHR,2013-09-30,40042000,610493,65.0,804061,13.0,SELL-PARTIAL,5 - Large
15,MA,MERITAGE GROUP LP,SHR,2013-12-31,81137000,97117,835.0,MERITAGE GROUP LP,SHR,2013-09-30,130584000,194096,672.0,-96979,163.0,BUY-MORE,5 - Large
16,UPLMQ,MERITAGE GROUP LP,SHR,2013-12-31,52901000,2443484,21.0,MERITAGE GROUP LP,SHR,2013-09-30,50239000,2442327,20.0,1157,1.0,BUY-MORE,5 - Large
17,F,MERITAGE GROUP LP,PUT,2013-12-31,7689000,498300,15.0,MERITAGE GROUP LP,PUT,2013-09-30,8406000,498300,16.0,0,-1.0,SELL-PARTIAL,5 - Large
18,GG,MERITAGE GROUP LP,CLL,2013-12-31,2167000,100000,21.0,MERITAGE GROUP LP,CLL,2013-09-30,2601000,100000,26.0,0,-5.0,SELL-PARTIAL,5 - Large
0,SPY,MERITAGE GROUP LP,PUT,2014-03-31,585379000,3130200,187.0,MERITAGE GROUP LP,PUT,2013-12-31,522710000,2830200,184.0,300000,3.0,BUY-MORE,5 - Large
1,CP,MERITAGE GROUP LP,SHR,2014-03-31,244920000,1633049,149.0,MERITAGE GROUP LP,SHR,2013-12-31,247090000,1634960,151.0,-1911,-2.0,BUY-MORE,5 - Large
2,DISCK,MERITAGE GROUP LP,SHR,2014-03-31,223562000,2901137,77.0,MERITAGE GROUP LP,SHR,2013-12-31,229799000,2740272,83.0,160865,-6.0,BUY-MORE,6 - Mega
3,DG,MERITAGE GROUP LP,SHR,2014-03-31,218380000,3936198,55.0,MERITAGE GROUP LP,SHR,2013-12-31,152804000,2533227,60.0,1402971,-5.0,BUY-MORE,5 - Large
4,SBH,MERITAGE GROUP LP,SHR,2014-03-31,206069000,7520765,27.0,MERITAGE GROUP LP,SHR,2013-12-31,249020000,8237507,30.0,-716742,-3.0,SELL-PARTIAL,5 - Large
5,ICE,MERITAGE GROUP LP,SHR,2014-03-31,205593000,1039240,197.0,MERITAGE GROUP LP,SHR,2013-12-31,234018000,1040448,224.0,-1208,-27.0,BUY-MORE,5 - Large
6,QRTEA,MERITAGE GROUP LP,SHR,2014-03-31,204497000,7083378,28.0,MERITAGE GROUP LP,SHR,2013-12-31,244852000,8342471,29.0,-1259093,-1.0,SELL-PARTIAL,5 - Large
7,FISV,MERITAGE GROUP LP,SHR,2014-03-31,204106000,3600386,56.0,MERITAGE GROUP LP,SHR,2013-12-31,220218000,3729342,59.0,-128956,-3.0,HOLD,5 - Large
8,MCO,MERITAGE GROUP LP,SHR,2014-03-31,185699000,2341133,79.0,MERITAGE GROUP LP,SHR,2013-12-31,183915000,2343766,78.0,-2633,1.0,BUY-MORE,5 - Large
9,BHC,MERITAGE GROUP LP,SHR,2014-03-31,181077000,1373567,131.0,MERITAGE GROUP LP,SHR,2013-12-31,179458000,1528603,117.0,-155036,14.0,BUY-MORE,5 - Large
10,TFCF,MERITAGE GROUP LP,SHR,2014-03-31,177094000,5539394,31.0,MERITAGE GROUP LP,SHR,2013-12-31,136577000,3883334,35.0,1656060,-4.0,SELL-PARTIAL,6 - Mega
11,CCE1,MERITAGE GROUP LP,SHR,2014-03-31,168604000,3530242,47.0,MERITAGE GROUP LP,SHR,2013-12-31,174712000,3959041,44.0,-428799,3.0,BUY-MORE,6 - Mega
12,MA,MERITAGE GROUP LP,SHR,2014-03-31,160934000,2154403,74.0,MERITAGE GROUP LP,SHR,2013-12-31,81137000,97117,835.0,2057286,-761.0,BUY-MORE,5 - Large
13,PM,MERITAGE GROUP LP,SHR,2014-03-31,160617000,1961853,81.0,MERITAGE GROUP LP,SHR,2013-12-31,246838000,2832988,87.0,-871135,-6.0,BUY-MORE,5 - Large
14,DLTR,MERITAGE GROUP LP,SHR,2014-03-31,153977000,2950877,52.0,MERITAGE GROUP LP,SHR,2013-12-31,166682000,2954307,56.0,-3430,-4.0,SELL-PARTIAL,5 - Large
15,SPGI,MERITAGE GROUP LP,SHR,2014-03-31,107809000,1412960,76.0,MERITAGE GROUP LP,SHR,2013-12-31,110618000,1414554,78.0,-1594,-2.0,BUY-MORE,5 - Large
16,CRI,MERITAGE GROUP LP,SHR,2014-03-31,82471000,1062092,77.0,MERITAGE GROUP LP,SHR,2013-12-31,13993000,194919,71.0,867173,6.0,BUY-MORE,5 - Large
17,G,MERITAGE GROUP LP,SHR,2014-03-31,79666000,4573270,17.0,MERITAGE GROUP LP,SHR,2013-12-31,50128000,2728816,18.0,1844454,-1.0,SELL-PARTIAL,5 - Large
18,UPLMQ,MERITAGE GROUP LP,SHR,2014-03-31,65630000,2440681,26.0,MERITAGE GROUP LP,SHR,2013-12-31,52901000,2443484,21.0,-2803,5.0,SELL-PARTIAL,5 - Large
19,XLF,MERITAGE GROUP LP,PUT,2014-03-31,44680000,2000000,22.0,MERITAGE GROUP LP,PUT,2013-12-31,32790000,1500000,21.0,500000,1.0,BUY-MORE,5 - Large
0,SPY,MERITAGE GROUP LP,PUT,2014-06-30,1021189000,5217600,195.0,MERITAGE GROUP LP,PUT,2014-03-31,585379000,3130200,187.0,2087400,8.0,BUY-MORE,5 - Large
1,CP,MERITAGE GROUP LP,SHR,2014-06-30,286058000,1578194,181.0,MERITAGE GROUP LP,SHR,2014-03-31,244920000,1633049,149.0,-54855,32.0,BUY-MORE,5 - Large
2,AAPL,MERITAGE GROUP LP,SHR,2014-06-30,250592000,2696568,92.0,MERITAGE GROUP LP,SHR,2014-03-31,206736000,385169,536.0,2311399,-444.0,BUY-MORE,6 - Mega
3,AAPL,MERITAGE GROUP LP,CLL,2014-06-30,65051000,700000,92.0,MERITAGE GROUP LP,SHR,2014-03-31,206736000,385169,536.0,314831,-444.0,BUY-MORE,5 - Large
4,DG,MERITAGE GROUP LP,SHR,2014-06-30,225812000,3936755,57.0,MERITAGE GROUP LP,SHR,2014-03-31,218380000,3936198,55.0,557,2.0,SELL-PARTIAL,5 - Large
