,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,LGF.B,MHR FUND MANAGEMENT LLC,SHR,2013-09-30,1796730000,51261899,35.0,MHR FUND MANAGEMENT LLC,SHR,2013-06-30,1408164000,51261899,27.0,0,8.0,HOLD,4 - Mid
1,LORL,MHR FUND MANAGEMENT LLC,SHR,2013-09-30,550626000,8129719,67.0,MHR FUND MANAGEMENT LLC,SHR,2013-06-30,487621000,8129719,59.0,0,8.0,HOLD,3 - Small
2,NAV,MHR FUND MANAGEMENT LLC,SHR,2013-09-30,476902000,13072979,36.0,MHR FUND MANAGEMENT LLC,SHR,2013-06-30,333120000,12000000,27.0,1072979,9.0,HOLD,3 - Small
3,LEAP,MHR FUND MANAGEMENT LLC,SHR,2013-09-30,371835000,23533869,15.0,MHR FUND MANAGEMENT LLC,SHR,2013-06-30,158383000,23533869,6.0,0,9.0,HOLD,3 - Small
4,TMUS,MHR FUND MANAGEMENT LLC,SHR,2013-09-30,189835000,7309787,25.0,MHR FUND MANAGEMENT LLC,SHR,2013-06-30,181356000,7309787,24.0,0,1.0,HOLD,3 - Small
5,VAL,MHR FUND MANAGEMENT LLC,SHR,2013-09-30,186604000,3471700,53.0,MHR FUND MANAGEMENT LLC,SHR,2013-06-30,225775000,3884628,58.0,-412928,-5.0,HOLD,3 - Small
6,KEGX,MHR FUND MANAGEMENT LLC,SHR,2013-09-30,127461000,17484343,7.0,MHR FUND MANAGEMENT LLC,SHR,2013-06-30,103972000,17474343,5.0,10000,2.0,HOLD,5 - Large
7,DVAX,MHR FUND MANAGEMENT LLC,SHR,2013-09-30,530000,445000,1.0,MHR FUND MANAGEMENT LLC,SHR,2013-06-30,490000,445000,1.0,0,0.0,HOLD,6 - Mega
0,LGF.B,MHR FUND MANAGEMENT LLC,SHR,2013-12-31,1622952000,51261899,31.0,MHR FUND MANAGEMENT LLC,SHR,2013-09-30,1796730000,51261899,35.0,0,-4.0,HOLD,4 - Mid
1,LORL,MHR FUND MANAGEMENT LLC,SHR,2013-12-31,658345000,8129719,80.0,MHR FUND MANAGEMENT LLC,SHR,2013-09-30,550626000,8129719,67.0,0,13.0,HOLD,3 - Small
