,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,VOO,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2016-03-31,598636000,3174777,188.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2015-12-31,728914000,3899394,186.0,-724617,2.0,SELL-PARTIAL,5 - Large
1,LQD,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2016-03-31,235603000,1982856,118.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2015-12-31,123558000,1083751,114.0,899105,4.0,SELL-PARTIAL,5 - Large
2,TEVA,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,SHR,2016-03-31,207228000,3872699,53.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,SHR,2015-12-31,267988000,4082699,65.0,-210000,-12.0,SELL-PARTIAL,4 - Mid
3,TEVA,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,DBT,2016-03-31,10793000,12210,883.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,SHR,2015-12-31,267988000,4082699,65.0,-4070489,818.0,SELL-PARTIAL,4 - Mid
4,XHB,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2016-03-31,180052000,5320685,33.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2015-12-31,177214000,5184715,34.0,135970,-1.0,SELL-PARTIAL,4 - Mid
5,FXI,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2016-03-31,112983000,3346169,33.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2015-12-31,121566000,3444759,35.0,-98590,-2.0,BUY-MORE,4 - Mid
6,NICE,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,SHR,2016-03-31,112081000,1729913,64.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,SHR,2015-12-31,88841000,1549913,57.0,180000,7.0,BUY-MORE,6 - Mega
7,IXC,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2016-03-31,106230000,3599780,29.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2015-12-31,39524000,1410050,28.0,2189730,1.0,BUY-MORE,6 - Mega
8,KIE,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2016-03-31,77670000,1121755,69.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2015-12-31,78100000,1123735,69.0,-1980,0.0,BUY-MORE,6 - Mega
9,FB,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,SHR,2016-03-31,69172000,606242,114.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,SHR,2015-12-31,66857000,638800,104.0,-32558,10.0,BUY-MORE,6 - Mega
10,ORA,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,SHR,2016-03-31,66605000,1615052,41.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,SHR,2015-12-31,59703000,1637052,36.0,-22000,5.0,SELL-PARTIAL,6 - Mega
11,GOOGL,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,SHR,2016-03-31,66213000,88775,745.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,SHR,2015-12-31,68668000,90541,758.0,-1766,-13.0,SELL-PARTIAL,6 - Mega
12,SPY,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2016-03-31,63961000,309651,206.0,MIGDAL INSURANCE FINANCIAL HOLDINGS LTD,FND,2015-12-31,48380000,235904,205.0,73747,1.0,SELL-PARTIAL,5 - Large
