,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GNW,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,73907000,5773975,12.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,65561000,5745900,11.0,28075,1.0,SELL-PARTIAL,6 - Mega
1,MTG,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,64293000,8831425,7.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,52431000,8637700,6.0,193725,1.0,SELL-PARTIAL,4 - Mid
2,DAL,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,64101000,2717275,23.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,53189000,2842800,18.0,-125525,5.0,BUY-MORE,5 - Large
3,NFLX,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,63002000,203750,309.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,46419000,219900,211.0,-16150,98.0,SELL-PARTIAL,5 - Large
4,GRPN,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,62007000,5530900,11.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,58895000,6888300,8.0,-1357400,3.0,BUY-MORE,4 - Mid
5,BAC,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,54688000,3962875,13.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,49214000,3826900,12.0,135975,1.0,BUY-MORE,6 - Mega
6,BYD,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,51269000,3623200,14.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,39537000,3498800,11.0,124400,3.0,SELL-PARTIAL,5 - Large
7,UAL,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,50413000,1641575,30.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,51319000,1640100,31.0,1475,-1.0,SELL-PARTIAL,5 - Large
8,PHM,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,49511000,3000650,16.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,46669000,2460100,18.0,540550,-2.0,SELL-PARTIAL,5 - Large
9,P,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,48366000,1924600,25.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,42306000,2299200,18.0,-374600,7.0,SELL-PARTIAL,5 - Large
10,LCC,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,47229000,2490975,18.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,39497000,2405400,16.0,85575,2.0,BUY-MORE,4 - Mid
11,STX,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,45301000,1035200,43.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,44115000,984050,44.0,51150,-1.0,BUY-MORE,5 - Large
12,HIG,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,44043000,1415250,31.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,42259000,1366700,30.0,48550,1.0,BUY-MORE,5 - Large
13,C,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,42568000,877500,48.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,40650000,847400,47.0,30100,1.0,BUY-MORE,4 - Mid
14,BBY,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,42451000,1132025,37.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,32124000,1175400,27.0,-43375,10.0,BUY-MORE,5 - Large
15,JPM,MILLER VALUE PARTNERS LLC,WNT,2013-09-30,39679000,2367475,16.0,MILLER VALUE PARTNERS LLC,WNT,2013-06-30,35665000,2286200,15.0,81275,1.0,SELL-PARTIAL,6 - Mega
16,AAPL,MILLER VALUE PARTNERS LLC,CLL,2013-09-30,39196000,754500,51.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,28190000,71090,396.0,683410,-345.0,BUY-MORE,4 - Mid
17,AAPL,MILLER VALUE PARTNERS LLC,CLL,2013-09-30,39196000,754500,51.0,MILLER VALUE PARTNERS LLC,CLL,2013-06-30,18265000,736500,24.0,18000,27.0,BUY-MORE,5 - Large
18,AAPL,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,35576000,74620,476.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,28190000,71090,396.0,3530,80.0,BUY-MORE,5 - Large
19,AAPL,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,35576000,74620,476.0,MILLER VALUE PARTNERS LLC,CLL,2013-06-30,18265000,736500,24.0,-661880,452.0,SELL-PARTIAL,6 - Mega
20,QCOR,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,37758000,651000,58.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,28569000,628700,45.0,22300,13.0,BUY-MORE,6 - Mega
21,AGO,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,37152000,1981425,18.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,42210000,1913400,22.0,68025,-4.0,SELL-PARTIAL,6 - Mega
22,EFC,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,36772000,1636472,22.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,36472000,1598947,22.0,37525,0.0,HOLD,6 - Mega
23,AMZN,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,35409000,113255,312.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,30371000,109370,277.0,3885,35.0,BUY-MORE,5 - Large
24,CI,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,34807000,452850,76.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,31708000,437400,72.0,15450,4.0,SELL-PARTIAL,5 - Large
25,LEN,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,32883000,928875,35.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,26403000,732600,36.0,196275,-1.0,SELL-PARTIAL,5 - Large
26,KBH,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,32618000,1810050,18.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,27903000,1421400,19.0,388650,-1.0,BUY-MORE,5 - Large
27,CHKAQ,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,32234000,1245500,25.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,24512000,1202700,20.0,42800,5.0,SELL-PARTIAL,5 - Large
28,ETFC,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,32170000,1949675,16.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,23836000,1882750,12.0,66925,4.0,BUY-MORE,5 - Large
29,NIHDQ,MILLER VALUE PARTNERS LLC,SHR,2013-09-30,30584000,5038475,6.0,MILLER VALUE PARTNERS LLC,SHR,2013-06-30,32405000,4865600,6.0,172875,0.0,SELL-PARTIAL,5 - Large
