,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MIC,MSD PARTNERS LP,SHR,2013-09-30,202695000,3785856,53.0,MSD PARTNERS LP,SHR,2013-06-30,202354000,3785856,53.0,0,0.0,HOLD,4 - Mid
1,TWX,MSD PARTNERS LP,SHR,2013-09-30,182083000,2766801,65.0,MSD PARTNERS LP,SHR,2013-06-30,159976000,2766801,57.0,0,8.0,HOLD,4 - Mid
2,FUN,MSD PARTNERS LP,SHR,2013-09-30,166206000,3812073,43.0,MSD PARTNERS LP,SHR,2013-06-30,128186000,3096275,41.0,715798,2.0,HOLD,4 - Mid
3,SSNC,MSD PARTNERS LP,SHR,2013-09-30,163414000,4289078,38.0,MSD PARTNERS LP,SHR,2013-06-30,141111000,4289078,32.0,0,6.0,BUY-MORE,5 - Large
4,SIX,MSD PARTNERS LP,SHR,2013-09-30,104189000,3083440,33.0,MSD PARTNERS LP,SHR,2013-06-30,108414000,3083440,35.0,0,-2.0,BUY-MORE,3 - Small
5,APC,MSD PARTNERS LP,CLL,2013-09-30,96040000,1032800,92.0,MSD PARTNERS LP,CLL,2013-06-30,133123000,1549200,85.0,-516400,7.0,HOLD,3 - Small
6,APC,MSD PARTNERS LP,CLL,2013-09-30,96040000,1032800,92.0,MSD PARTNERS LP,SHR,2013-06-30,32032000,372773,85.0,660027,7.0,HOLD,4 - Mid
7,APC,MSD PARTNERS LP,SHR,2013-09-30,44286000,476240,92.0,MSD PARTNERS LP,CLL,2013-06-30,133123000,1549200,85.0,-1072960,7.0,BUY-MORE,5 - Large
8,APC,MSD PARTNERS LP,SHR,2013-09-30,44286000,476240,92.0,MSD PARTNERS LP,SHR,2013-06-30,32032000,372773,85.0,103467,7.0,SELL-PARTIAL,5 - Large
9,CAM,MSD PARTNERS LP,CLL,2013-09-30,90386000,1548500,58.0,MSD PARTNERS LP,SHR,2013-06-30,59265000,969014,61.0,579486,-3.0,HOLD,3 - Small
10,CAM,MSD PARTNERS LP,SHR,2013-09-30,55287000,947184,58.0,MSD PARTNERS LP,SHR,2013-06-30,59265000,969014,61.0,-21830,-3.0,HOLD,3 - Small
11,BP,MSD PARTNERS LP,SHR,2013-09-30,90259000,2147491,42.0,MSD PARTNERS LP,SHR,2013-06-30,45539000,1091024,41.0,1056467,1.0,HOLD,6 - Mega
12,PFE,MSD PARTNERS LP,SHR,2013-09-30,74231000,2584183,28.0,MSD PARTNERS LP,SHR,2013-06-30,142408000,5084183,28.0,-2500000,0.0,SELL-PARTIAL,4 - Mid
13,ATLS1,MSD PARTNERS LP,SHR,2013-09-30,60919000,1115122,54.0,MSD PARTNERS LP,SHR,2013-06-30,73485000,1500000,48.0,-384878,6.0,SELL-PARTIAL,4 - Mid
14,WMB,MSD PARTNERS LP,SHR,2013-09-30,49734000,1367819,36.0,MSD PARTNERS LP,SHR,2013-06-30,58555000,1803352,32.0,-435533,4.0,HOLD,4 - Mid
15,HAL,MSD PARTNERS LP,SHR,2013-09-30,49329000,1024494,48.0,MSD PARTNERS LP,SHR,2013-06-30,48451000,1161342,41.0,-136848,7.0,HOLD,3 - Small
16,EXXIQ,MSD PARTNERS LP,SHR,2013-09-30,46042000,1524070,30.0,MSD PARTNERS LP,SHR,2013-06-30,56395000,2543167,22.0,-1019097,8.0,HOLD,6 - Mega
17,EMN,MSD PARTNERS LP,SHR,2013-09-30,44175000,567077,77.0,MSD PARTNERS LP,SHR,2013-06-30,16606000,237197,70.0,329880,7.0,HOLD,4 - Mid
18,GM,MSD PARTNERS LP,WNT,2013-09-30,37282000,1656248,22.0,MSD PARTNERS LP,WNT,2013-06-30,33415000,1656248,20.0,0,2.0,BUY-MORE,2 - Micro
19,GM,MSD PARTNERS LP,WNT,2013-09-30,37282000,1656248,22.0,MSD PARTNERS LP,SHR,2013-06-30,22349000,670935,33.0,985313,-11.0,HOLD,4 - Mid
20,GM,MSD PARTNERS LP,WNT,2013-09-30,37282000,1656248,22.0,MSD PARTNERS LP,PRF,2013-06-30,4298000,90000,47.0,1566248,-25.0,HOLD,6 - Mega
21,GM,MSD PARTNERS LP,SHR,2013-09-30,24134000,670935,35.0,MSD PARTNERS LP,WNT,2013-06-30,33415000,1656248,20.0,-985313,15.0,HOLD,4 - Mid
22,GM,MSD PARTNERS LP,SHR,2013-09-30,24134000,670935,35.0,MSD PARTNERS LP,SHR,2013-06-30,22349000,670935,33.0,0,2.0,HOLD,3 - Small
23,GM,MSD PARTNERS LP,SHR,2013-09-30,24134000,670935,35.0,MSD PARTNERS LP,PRF,2013-06-30,4298000,90000,47.0,580935,-12.0,HOLD,4 - Mid
24,GM,MSD PARTNERS LP,PRF,2013-09-30,4517000,90000,50.0,MSD PARTNERS LP,WNT,2013-06-30,33415000,1656248,20.0,-1566248,30.0,HOLD,6 - Mega
25,GM,MSD PARTNERS LP,PRF,2013-09-30,4517000,90000,50.0,MSD PARTNERS LP,SHR,2013-06-30,22349000,670935,33.0,-580935,17.0,SELL-PARTIAL,2 - Micro
26,GM,MSD PARTNERS LP,PRF,2013-09-30,4517000,90000,50.0,MSD PARTNERS LP,PRF,2013-06-30,4298000,90000,47.0,0,3.0,HOLD,4 - Mid
27,EQT,MSD PARTNERS LP,SHR,2013-09-30,34213000,385628,88.0,MSD PARTNERS LP,SHR,2013-06-30,33671000,424227,79.0,-38599,9.0,HOLD,2 - Micro
28,BKEP,MSD PARTNERS LP,SHR,2013-09-30,29367000,3576944,8.0,MSD PARTNERS LP,SHR,2013-06-30,31369000,3576944,8.0,0,0.0,HOLD,2 - Micro
29,LYB,MSD PARTNERS LP,SHR,2013-09-30,25534000,348678,73.0,MSD PARTNERS LP,SHR,2013-06-30,19044000,287417,66.0,61261,7.0,SELL-PARTIAL,2 - Micro
30,WLK,MSD PARTNERS LP,SHR,2013-09-30,25237000,241129,104.0,MSD PARTNERS LP,SHR,2013-06-30,18776000,194748,96.0,46381,8.0,HOLD,4 - Mid
31,JRN,MSD PARTNERS LP,SHR,2013-09-30,21558000,2521381,8.0,MSD PARTNERS LP,SHR,2013-06-30,22725000,3033993,7.0,-512612,1.0,SELL-PARTIAL,5 - Large
32,HNR,MSD PARTNERS LP,SHR,2013-09-30,18474000,3453147,5.0,MSD PARTNERS LP,SHR,2013-06-30,10705000,3453147,3.0,0,2.0,SELL-PARTIAL,3 - Small
33,C,MSD PARTNERS LP,SHR,2013-09-30,18415000,379612,48.0,MSD PARTNERS LP,SHR,2013-06-30,18210000,379612,47.0,0,1.0,SELL-PARTIAL,4 - Mid
34,JPM,MSD PARTNERS LP,SHR,2013-09-30,12923000,250000,51.0,MSD PARTNERS LP,SHR,2013-06-30,13198000,250000,52.0,0,-1.0,SELL-PARTIAL,5 - Large
35,IPG,MSD PARTNERS LP,SHR,2013-09-30,12428000,723395,17.0,MSD PARTNERS LP,SHR,2013-06-30,10525000,723395,14.0,0,3.0,BUY-MORE,4 - Mid
36,TRW,MSD PARTNERS LP,SHR,2013-09-30,11361000,159316,71.0,MSD PARTNERS LP,SHR,2013-06-30,10585000,159316,66.0,0,5.0,HOLD,4 - Mid
37,FCSC,MSD PARTNERS LP,SHR,2013-09-30,7823000,1786000,4.0,MSD PARTNERS LP,SHR,2013-06-30,7870000,1286000,6.0,500000,-2.0,HOLD,3 - Small
38,MRTN,MSD PARTNERS LP,SHR,2013-09-30,5150000,300000,17.0,MSD PARTNERS LP,SHR,2013-06-30,4701000,300000,15.0,0,2.0,SELL-PARTIAL,2 - Micro
39,APWC,MSD PARTNERS LP,SHR,2013-09-30,5042000,1355415,3.0,MSD PARTNERS LP,SHR,2013-06-30,4717000,1355415,3.0,0,0.0,HOLD,2 - Micro
40,ZIOP,MSD PARTNERS LP,SHR,2013-09-30,4531000,1150000,3.0,MSD PARTNERS LP,SHR,2013-06-30,2427000,1150000,2.0,0,1.0,HOLD,2 - Micro
41,PQUEQ,MSD PARTNERS LP,SHR,2013-09-30,4398000,1096700,4.0,MSD PARTNERS LP,SHR,2013-06-30,4343000,1096700,3.0,0,1.0,HOLD,4 - Mid
42,OGEN,MSD PARTNERS LP,SHR,2013-09-30,3975000,1325000,3.0,MSD PARTNERS LP,SHR,2013-06-30,4108000,1325000,3.0,0,0.0,HOLD,2 - Micro
43,SYN,MSD PARTNERS LP,SHR,2013-09-30,3528000,2100000,1.0,MSD PARTNERS LP,SHR,2013-06-30,3612000,2100000,1.0,0,0.0,HOLD,4 - Mid
0,MIC,MSD PARTNERS LP,SHR,2013-12-31,205744000,3779972,54.0,MSD PARTNERS LP,SHR,2013-09-30,202695000,3785856,53.0,-5884,1.0,HOLD,4 - Mid
1,TWX,MSD PARTNERS LP,SHR,2013-12-31,192901000,2766801,69.0,MSD PARTNERS LP,SHR,2013-09-30,182083000,2766801,65.0,0,4.0,HOLD,4 - Mid
2,SSNC,MSD PARTNERS LP,SHR,2013-12-31,189835000,4289078,44.0,MSD PARTNERS LP,SHR,2013-09-30,163414000,4289078,38.0,0,6.0,HOLD,4 - Mid
3,FUN,MSD PARTNERS LP,SHR,2013-12-31,189003000,3812073,49.0,MSD PARTNERS LP,SHR,2013-09-30,166206000,3812073,43.0,0,6.0,BUY-MORE,5 - Large
4,SIX,MSD PARTNERS LP,SHR,2013-12-31,113532000,3083440,36.0,MSD PARTNERS LP,SHR,2013-09-30,104189000,3083440,33.0,0,3.0,BUY-MORE,3 - Small
5,BP,MSD PARTNERS LP,SHR,2013-12-31,104390000,2147491,48.0,MSD PARTNERS LP,SHR,2013-09-30,90259000,2147491,42.0,0,6.0,HOLD,3 - Small
6,NXST,MSD PARTNERS LP,SHR,2013-12-31,99581000,1786849,55.0,MSD PARTNERS LP,SHR,2013-09-30,64254000,1443758,44.0,343091,11.0,HOLD,4 - Mid
7,ENDP,MSD PARTNERS LP,SHR,2013-12-31,77718000,1152064,67.0,MSD PARTNERS LP,SHR,2013-09-30,52350000,1152064,45.0,0,22.0,BUY-MORE,5 - Large
8,HAL,MSD PARTNERS LP,SHR,2013-12-31,67603000,1332086,50.0,MSD PARTNERS LP,SHR,2013-09-30,49329000,1024494,48.0,307592,2.0,SELL-PARTIAL,5 - Large
9,HAL,MSD PARTNERS LP,CLL,2013-12-31,52394000,1032400,50.0,MSD PARTNERS LP,SHR,2013-09-30,49329000,1024494,48.0,7906,2.0,HOLD,3 - Small
10,WMB,MSD PARTNERS LP,SHR,2013-12-31,65515000,1698606,38.0,MSD PARTNERS LP,SHR,2013-09-30,49734000,1367819,36.0,330787,2.0,HOLD,3 - Small
11,DD,MSD PARTNERS LP,SHR,2013-12-31,52972000,1193052,44.0,MSD PARTNERS LP,SHR,2013-09-30,14433000,375871,38.0,817181,6.0,HOLD,6 - Mega
12,EMN,MSD PARTNERS LP,SHR,2013-12-31,47215000,585063,80.0,MSD PARTNERS LP,SHR,2013-09-30,44175000,567077,77.0,17986,3.0,SELL-PARTIAL,4 - Mid
13,GM,MSD PARTNERS LP,WNT,2013-12-31,44934000,1656248,27.0,MSD PARTNERS LP,WNT,2013-09-30,37282000,1656248,22.0,0,5.0,SELL-PARTIAL,4 - Mid
14,GM,MSD PARTNERS LP,WNT,2013-12-31,44934000,1656248,27.0,MSD PARTNERS LP,SHR,2013-09-30,24134000,670935,35.0,985313,-8.0,HOLD,4 - Mid
15,GM,MSD PARTNERS LP,WNT,2013-12-31,44934000,1656248,27.0,MSD PARTNERS LP,PRF,2013-09-30,4517000,90000,50.0,1566248,-23.0,HOLD,3 - Small
16,GM,MSD PARTNERS LP,SHR,2013-12-31,32474000,794559,40.0,MSD PARTNERS LP,WNT,2013-09-30,37282000,1656248,22.0,-861689,18.0,HOLD,6 - Mega
17,GM,MSD PARTNERS LP,SHR,2013-12-31,32474000,794559,40.0,MSD PARTNERS LP,SHR,2013-09-30,24134000,670935,35.0,123624,5.0,HOLD,4 - Mid
18,GM,MSD PARTNERS LP,SHR,2013-12-31,32474000,794559,40.0,MSD PARTNERS LP,PRF,2013-09-30,4517000,90000,50.0,704559,-10.0,BUY-MORE,2 - Micro
19,MON,MSD PARTNERS LP,SHR,2013-12-31,44285000,379967,116.0,MSD PARTNERS LP,SHR,2013-09-30,43658000,418298,104.0,-38331,12.0,HOLD,4 - Mid
20,APC,MSD PARTNERS LP,SHR,2013-12-31,36657000,462141,79.0,MSD PARTNERS LP,CLL,2013-09-30,96040000,1032800,92.0,-570659,-13.0,HOLD,6 - Mega
