,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MMM,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,51216000,428916,119.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,35529000,324916,109.0,104000,10.0,BUY-MORE,6 - Mega
1,MAT,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,45163000,1078381,41.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,41159000,908381,45.0,170000,-4.0,BUY-MORE,4 - Mid
2,EMR,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,43044000,665283,64.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,22540000,413283,54.0,252000,10.0,BUY-MORE,5 - Large
3,JNJ,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,39597000,456765,86.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,9339000,108765,85.0,348000,1.0,SELL-PARTIAL,5 - Large
4,BMY,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,32165000,695000,46.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,25160000,563000,44.0,132000,2.0,SELL-PARTIAL,4 - Mid
5,GPC,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,30496000,377000,80.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,16317000,209000,78.0,168000,2.0,HOLD,6 - Mega
6,KMB,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,29585000,314000,94.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,25645000,264000,97.0,50000,-3.0,BUY-MORE,6 - Mega
7,PEP,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,27030000,339994,79.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,20038000,244994,81.0,95000,-2.0,BUY-MORE,4 - Mid
8,UPS,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,26400000,288940,91.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,26045000,301164,86.0,-12224,5.0,HOLD,6 - Mega
9,WM,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,25596000,620654,41.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,2204000,54654,40.0,566000,1.0,SELL-PARTIAL,6 - Mega
10,D,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,19077000,305336,62.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,33986000,598136,56.0,-292800,6.0,SELL-PARTIAL,6 - Mega
11,MCD,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,9332000,97000,96.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,3465000,35000,99.0,62000,-3.0,HOLD,6 - Mega
12,TM,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,9166000,71594,128.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-06-30,8639000,71594,120.0,0,8.0,HOLD,4 - Mid
0,BMY,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,46719000,879000,53.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,32165000,695000,46.0,184000,7.0,BUY-MORE,6 - Mega
1,GPC,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,31363000,377000,83.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,30496000,377000,80.0,0,3.0,BUY-MORE,4 - Mid
2,IBM,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,30480000,162500,187.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,30092000,162500,185.0,0,2.0,BUY-MORE,5 - Large
3,DD1,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,26768000,412000,64.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,25766000,440000,58.0,-28000,6.0,SELL-PARTIAL,5 - Large
4,SNDK,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,22855000,324000,70.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,19281000,324000,59.0,0,11.0,SELL-PARTIAL,4 - Mid
5,UPS,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,19965000,190000,105.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,26400000,288940,91.0,-98940,14.0,HOLD,6 - Mega
6,PG,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,19880000,244200,81.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,27681000,366200,75.0,-122000,6.0,BUY-MORE,6 - Mega
7,WM,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,19115000,426000,44.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,25596000,620654,41.0,-194654,3.0,BUY-MORE,4 - Mid
8,JNJ,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,18226000,199000,91.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,39597000,456765,86.0,-257765,5.0,HOLD,6 - Mega
9,MMM,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,14586000,104000,140.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,51216000,428916,119.0,-324916,21.0,SELL-PARTIAL,6 - Mega
10,GOOGL,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,9853000,8792,1120.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,3924000,4480,875.0,4312,245.0,SELL-PARTIAL,6 - Mega
11,BRCM,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,8538000,288000,29.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,7494000,288000,26.0,0,3.0,HOLD,6 - Mega
12,MAT,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,8316000,174778,47.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,45163000,1078381,41.0,-903603,6.0,HOLD,4 - Mid
13,MCD,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,7354000,75795,97.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,9332000,97000,96.0,-21205,1.0,SELL-PARTIAL,6 - Mega
14,VFH,NAN SHAN LIFE INSURANCE CO LTD,FND,2013-12-31,6443000,145044,44.0,NAN SHAN LIFE INSURANCE CO LTD,FND,2013-09-30,2041000,50000,40.0,95044,4.0,HOLD,6 - Mega
15,PEP,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,5474000,66000,82.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,27030000,339994,79.0,-273994,3.0,HOLD,4 - Mid
16,KMB,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,571000,5467,104.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-09-30,29585000,314000,94.0,-308533,10.0,BUY-MORE,5 - Large
0,BMY,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,46184000,889000,51.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,46719000,879000,53.0,10000,-2.0,BUY-MORE,6 - Mega
1,MMM,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,37949000,279731,135.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,14586000,104000,140.0,175731,-5.0,BUY-MORE,4 - Mid
2,GOOGL,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,37662000,33792,1114.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,9853000,8792,1120.0,25000,-6.0,BUY-MORE,5 - Large
3,JNJ,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,35166000,358000,98.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,18226000,199000,91.0,159000,7.0,SELL-PARTIAL,5 - Large
4,IBM,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,31280000,162500,192.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,30480000,162500,187.0,0,5.0,SELL-PARTIAL,4 - Mid
5,CMI,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,28904000,194000,148.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,15507000,110000,140.0,84000,8.0,HOLD,6 - Mega
6,WM,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,26991000,641581,42.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,19115000,426000,44.0,215581,-2.0,BUY-MORE,6 - Mega
7,VZ,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,26782000,563000,47.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,18821000,383000,49.0,180000,-2.0,BUY-MORE,4 - Mid
8,SNDK,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,26306000,324000,81.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,22855000,324000,70.0,0,11.0,HOLD,6 - Mega
9,NSC,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,26042000,268000,97.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,18752000,202000,92.0,66000,5.0,SELL-PARTIAL,6 - Mega
10,DD1,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,23485000,350000,67.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,26768000,412000,64.0,-62000,3.0,SELL-PARTIAL,6 - Mega
11,PG,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,22101000,274200,80.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,19880000,244200,81.0,30000,-1.0,HOLD,6 - Mega
12,KMB,NAN SHAN LIFE INSURANCE CO LTD,SHR,2014-03-31,21638000,196267,110.0,NAN SHAN LIFE INSURANCE CO LTD,SHR,2013-12-31,571000,5467,104.0,190800,6.0,HOLD,4 - Mid
