,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BMY,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,145898000,3152500,46.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,140885000,3152500,44.0,0,2.0,HOLD,5 - Large
1,PH,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,121397000,1116600,108.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,106524000,1116600,95.0,0,13.0,HOLD,6 - Mega
2,GPC,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,120636000,1491353,80.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,116430000,1491353,78.0,0,2.0,HOLD,6 - Mega
3,DD,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,116786000,3041300,38.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,96231000,2991300,32.0,50000,6.0,HOLD,6 - Mega
4,CSCO,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,116632000,4980000,23.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,121064000,4980000,24.0,0,-1.0,HOLD,6 - Mega
5,PFE,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,112687000,3925000,28.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,109939000,3925000,28.0,0,0.0,HOLD,5 - Large
6,JPM,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,112343000,2173400,51.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,114734000,2173400,52.0,0,-1.0,HOLD,5 - Large
7,GE,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,112240000,4698200,23.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,105705000,4558200,23.0,140000,0.0,HOLD,5 - Large
8,INTC,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,111109000,4847700,22.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,115353000,4762700,24.0,85000,-2.0,HOLD,4 - Mid
9,CVX,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,104491000,860000,121.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,101773000,860000,118.0,0,3.0,HOLD,6 - Mega
10,AVY,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,103125000,2369600,43.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,101324000,2369600,42.0,0,1.0,HOLD,5 - Large
11,COP,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,94930000,1365700,69.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,81415000,1345700,60.0,20000,9.0,HOLD,5 - Large
12,CB1,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,90509000,1014000,89.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,85835000,1014000,84.0,0,5.0,HOLD,5 - Large
13,HON,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,89476000,1077500,83.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,85489000,1077500,79.0,0,4.0,HOLD,4 - Mid
14,CTB,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,87924000,2854662,30.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,94690000,2854662,33.0,0,-3.0,HOLD,6 - Mega
15,ALL,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,87067000,1722400,50.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,82882000,1722400,48.0,0,2.0,HOLD,5 - Large
16,BMS,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,85935000,2202900,39.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,86222000,2202900,39.0,0,0.0,HOLD,5 - Large
17,DDS,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,83995000,1072723,78.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,87931000,1072723,81.0,0,-3.0,BUY-MORE,6 - Mega
18,FLS,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,83549000,1339143,62.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,72327000,1339143,54.0,0,8.0,HOLD,5 - Large
19,HPQ,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,77991000,3717400,20.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,92192000,3717400,24.0,0,-4.0,HOLD,5 - Large
20,ABBV,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,72194000,1614000,44.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,66723000,1614000,41.0,0,3.0,HOLD,4 - Mid
21,MRO,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,70785000,2029384,34.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,70176000,2029384,34.0,0,0.0,BUY-MORE,6 - Mega
22,GSK,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,69686000,1389000,50.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,69408000,1389000,49.0,0,1.0,HOLD,5 - Large
23,TEL,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,62908000,1214900,51.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,55326000,1214900,45.0,0,6.0,HOLD,5 - Large
24,HSP,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,61597000,1570540,39.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,60168000,1570540,38.0,0,1.0,HOLD,5 - Large
25,WWAV,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,61180000,3063591,19.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,47894000,3063591,15.0,0,4.0,HOLD,5 - Large
26,BHI,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,60315000,1228400,49.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,56666000,1228400,46.0,0,3.0,HOLD,6 - Mega
27,DELL1,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,58419000,4242500,13.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,61978000,4642500,13.0,-400000,0.0,BUY-MORE,5 - Large
28,COV,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,54355000,891950,60.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,56050000,891950,62.0,0,-2.0,HOLD,4 - Mid
29,ABT,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,53569000,1614000,33.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,56297000,1614000,34.0,0,-1.0,HOLD,5 - Large
30,MPC,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,52401000,814692,64.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,57892000,814692,71.0,0,-7.0,HOLD,5 - Large
31,QEP,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,51562000,1862119,27.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,44784000,1612100,27.0,250019,0.0,BUY-MORE,3 - Small
32,AIT,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,49433000,959863,51.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,45907000,949863,48.0,10000,3.0,HOLD,4 - Mid
33,CBRL,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,46418000,449609,103.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,42560000,449609,94.0,0,9.0,SELL-PARTIAL,4 - Mid
34,WLK,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,46113000,440600,104.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,42479000,440600,96.0,0,8.0,HOLD,3 - Small
35,PSX,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,45999000,795550,57.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,46866000,795550,58.0,0,-1.0,HOLD,6 - Mega
36,LUV,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-09-30,45835000,3148023,14.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,SHR,2013-06-30,40579000,3148023,12.0,0,2.0,HOLD,4 - Mid
37,IJR,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,FND,2013-09-30,44996000,451000,99.0,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION,FND,2013-06-30,37109000,411000,90.0,40000,9.0,HOLD,5 - Large
