,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,SPY,NOKOTA MANAGEMENT LP,PUT,2013-09-30,819049000,4875000,168.0,NOKOTA MANAGEMENT LP,PUT,2013-06-30,541418000,3375000,160.0,1500000,8.0,,
1,SPY,NOKOTA MANAGEMENT LP,PUT,2013-09-30,819049000,4875000,168.0,NOKOTA MANAGEMENT LP,CLL,2013-06-30,521365000,3250000,160.0,1625000,8.0,BUY-MORE,6 - Mega
2,SPY,NOKOTA MANAGEMENT LP,CLL,2013-09-30,411625000,2450000,168.0,NOKOTA MANAGEMENT LP,PUT,2013-06-30,541418000,3375000,160.0,-925000,8.0,BUY-MORE,6 - Mega
3,SPY,NOKOTA MANAGEMENT LP,CLL,2013-09-30,411625000,2450000,168.0,NOKOTA MANAGEMENT LP,CLL,2013-06-30,521365000,3250000,160.0,-800000,8.0,BUY-MORE,6 - Mega
4,AAPL,NOKOTA MANAGEMENT LP,CLL,2013-09-30,202619000,425000,476.0,NOKOTA MANAGEMENT LP,CLL,2013-06-30,79306000,200000,396.0,225000,80.0,SELL-PARTIAL,5 - Large
5,AAPL,NOKOTA MANAGEMENT LP,CLL,2013-09-30,202619000,425000,476.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,9823000,24800,396.0,400200,80.0,BUY-MORE,5 - Large
6,AAPL,NOKOTA MANAGEMENT LP,SHR,2013-09-30,19547000,41000,476.0,NOKOTA MANAGEMENT LP,CLL,2013-06-30,79306000,200000,396.0,-159000,80.0,BUY-MORE,5 - Large
7,AAPL,NOKOTA MANAGEMENT LP,SHR,2013-09-30,19547000,41000,476.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,9823000,24800,396.0,16200,80.0,BUY-MORE,4 - Mid
8,NCR,NOKOTA MANAGEMENT LP,SHR,2013-09-30,24191000,610731,39.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,11247000,340934,32.0,269797,7.0,BUY-MORE,4 - Mid
9,OC,NOKOTA MANAGEMENT LP,SHR,2013-09-30,24187000,636845,37.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,14745000,377300,39.0,259545,-2.0,HOLD,5 - Large
10,MGM,NOKOTA MANAGEMENT LP,CLL,2013-09-30,20440000,1000000,20.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,7904000,534748,14.0,465252,6.0,SELL-PARTIAL,6 - Mega
11,MGM,NOKOTA MANAGEMENT LP,SHR,2013-09-30,9837000,481273,20.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,7904000,534748,14.0,-53475,6.0,BUY-MORE,6 - Mega
12,GT,NOKOTA MANAGEMENT LP,SHR,2013-09-30,20205000,900000,22.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,25229000,1650000,15.0,-750000,7.0,BUY-MORE,6 - Mega
13,GT,NOKOTA MANAGEMENT LP,CLL,2013-09-30,16838000,750000,22.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,25229000,1650000,15.0,-900000,7.0,BUY-MORE,3 - Small
14,CPWR,NOKOTA MANAGEMENT LP,SHR,2013-09-30,17284000,1543238,11.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,21218000,2050000,10.0,-506762,1.0,BUY-MORE,5 - Large
15,URI,NOKOTA MANAGEMENT LP,SHR,2013-09-30,16962000,291000,58.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,13129000,263059,49.0,27941,9.0,BUY-MORE,5 - Large
16,SMFG,NOKOTA MANAGEMENT LP,SHR,2013-09-30,16376000,1683000,9.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,12193000,1322401,9.0,360599,0.0,SELL-PARTIAL,5 - Large
17,WMB,NOKOTA MANAGEMENT LP,CLL,2013-09-30,16234000,3250000,4.0,NOKOTA MANAGEMENT LP,CLL,2013-06-30,105528000,3250000,32.0,0,-28.0,SELL-PARTIAL,5 - Large
18,FTNT,NOKOTA MANAGEMENT LP,SHR,2013-09-30,16208000,800000,20.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,6531000,373222,17.0,426778,3.0,BUY-MORE,5 - Large
19,LCC,NOKOTA MANAGEMENT LP,SHR,2013-09-30,15168000,800000,18.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,5324000,324266,16.0,475734,2.0,SELL-PARTIAL,5 - Large
20,MSFT,NOKOTA MANAGEMENT LP,SHR,2013-09-30,14990000,450000,33.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,13812000,400000,34.0,50000,-1.0,BUY-MORE,5 - Large
21,PLCM,NOKOTA MANAGEMENT LP,SHR,2013-09-30,14820000,1357145,10.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,15460000,1466800,10.0,-109655,0.0,BUY-MORE,5 - Large
22,MTOR,NOKOTA MANAGEMENT LP,SHR,2013-09-30,14580000,1855000,7.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,13078000,1855000,7.0,0,0.0,SELL-PARTIAL,5 - Large
23,DISH,NOKOTA MANAGEMENT LP,SHR,2013-09-30,14502000,322200,45.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,14159000,333000,42.0,-10800,3.0,HOLD,5 - Large
24,DFS,NOKOTA MANAGEMENT LP,SHR,2013-09-30,13522000,267550,50.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,4802000,100800,47.0,166750,3.0,SELL-PARTIAL,4 - Mid
25,RAD,NOKOTA MANAGEMENT LP,SHR,2013-09-30,13233000,2780000,4.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,5777000,2020000,2.0,760000,2.0,BUY-MORE,4 - Mid
26,VC,NOKOTA MANAGEMENT LP,SHR,2013-09-30,12976000,171554,75.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,11463000,181600,63.0,-10046,12.0,SELL-PARTIAL,4 - Mid
27,ARX,NOKOTA MANAGEMENT LP,SHR,2013-09-30,12612000,1791470,7.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,14135000,1791470,7.0,0,0.0,HOLD,4 - Mid
28,DFODQ,NOKOTA MANAGEMENT LP,SHR,2013-09-30,11493000,595500,19.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,9920000,990000,10.0,-394500,9.0,HOLD,5 - Large
29,CASLQ,NOKOTA MANAGEMENT LP,SHR,2013-09-30,11270000,700000,16.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,13041000,827450,15.0,-127450,1.0,BUY-MORE,6 - Mega
30,AXLL,NOKOTA MANAGEMENT LP,SHR,2013-09-30,11035000,292000,37.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,9197000,216000,42.0,76000,-5.0,SELL-PARTIAL,6 - Mega
31,GCOM,NOKOTA MANAGEMENT LP,SHR,2013-09-30,10452000,745000,14.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,9409000,744402,12.0,598,2.0,BUY-MORE,6 - Mega
32,HCA,NOKOTA MANAGEMENT LP,SHR,2013-09-30,10388000,243000,42.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,7933000,220000,36.0,23000,6.0,BUY-MORE,6 - Mega
33,DB,NOKOTA MANAGEMENT LP,SHR,2013-09-30,10334000,225000,45.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,6187000,147020,42.0,77980,3.0,SELL-PARTIAL,5 - Large
34,CMRE,NOKOTA MANAGEMENT LP,SHR,2013-09-30,10181000,577504,17.0,NOKOTA MANAGEMENT LP,SHR,2013-06-30,10195000,591704,17.0,-14200,0.0,SELL-PARTIAL,5 - Large
