,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,FCX,NORTHERN CROSS LLC,SHR,2013-09-30,915769000,27683489,33.0,NORTHERN CROSS LLC,SHR,2013-06-30,608847000,22051699,27.0,5631790,6.0,SELL-PARTIAL,5 - Large
1,TSM,NORTHERN CROSS LLC,SHR,2013-09-30,696294000,41055117,16.0,NORTHERN CROSS LLC,SHR,2013-06-30,753818000,41147323,18.0,-92206,-2.0,SELL-PARTIAL,5 - Large
2,ITUB,NORTHERN CROSS LLC,SHR,2013-09-30,488818000,34618903,14.0,NORTHERN CROSS LLC,SHR,2013-06-30,444735000,34422268,12.0,196635,2.0,SELL-PARTIAL,6 - Mega
3,POT,NORTHERN CROSS LLC,SHR,2013-09-30,305148000,9755377,31.0,NORTHERN CROSS LLC,SHR,2013-06-30,372401000,9766638,38.0,-11261,-7.0,SELL-PARTIAL,5 - Large
4,GOLD,NORTHERN CROSS LLC,SHR,2013-09-30,231007000,12406429,18.0,NORTHERN CROSS LLC,SHR,2013-06-30,195393000,12413825,15.0,-7396,3.0,SELL-PARTIAL,5 - Large
5,RDS.A,NORTHERN CROSS LLC,SHR,2013-09-30,184246000,2805208,65.0,NORTHERN CROSS LLC,SHR,2013-06-30,179973000,2820908,63.0,-15700,2.0,BUY-MORE,5 - Large
6,AAUKF,NORTHERN CROSS LLC,SHR,2013-09-30,115528000,9399209,12.0,NORTHERN CROSS LLC,SHR,2013-06-30,91223000,9501709,9.0,-102500,3.0,SELL-PARTIAL,5 - Large
7,BBD,NORTHERN CROSS LLC,SHR,2013-09-30,1024000,73811,13.0,NORTHERN CROSS LLC,SHR,2013-06-30,1165000,89585,13.0,-15774,0.0,SELL-PARTIAL,5 - Large
0,FCX,NORTHERN CROSS LLC,SHR,2013-12-31,1043352000,27645800,37.0,NORTHERN CROSS LLC,SHR,2013-09-30,915769000,27683489,33.0,-37689,4.0,SELL-PARTIAL,5 - Large
1,RDS.A,NORTHERN CROSS LLC,SHR,2013-12-31,715041000,41000069,17.0,NORTHERN CROSS LLC,SHR,2013-09-30,184246000,2805208,65.0,38194861,-48.0,SELL-PARTIAL,5 - Large
2,ITUB,NORTHERN CROSS LLC,SHR,2013-12-31,468314000,34511002,13.0,NORTHERN CROSS LLC,SHR,2013-09-30,488818000,34618903,14.0,-107901,-1.0,SELL-PARTIAL,6 - Mega
3,POT,NORTHERN CROSS LLC,SHR,2013-12-31,321307000,9748380,32.0,NORTHERN CROSS LLC,SHR,2013-09-30,305148000,9755377,31.0,-6997,1.0,SELL-PARTIAL,5 - Large
4,GOLD,NORTHERN CROSS LLC,SHR,2013-12-31,218521000,12394859,17.0,NORTHERN CROSS LLC,SHR,2013-09-30,231007000,12406429,18.0,-11570,-1.0,SELL-PARTIAL,5 - Large
5,AAUKF,NORTHERN CROSS LLC,SHR,2013-12-31,102667000,9392009,10.0,NORTHERN CROSS LLC,SHR,2013-09-30,115528000,9399209,12.0,-7200,-2.0,BUY-MORE,5 - Large
6,BBD,NORTHERN CROSS LLC,SHR,2013-12-31,925000,73811,12.0,NORTHERN CROSS LLC,SHR,2013-09-30,1024000,73811,13.0,0,-1.0,SELL-PARTIAL,5 - Large
0,FCX,NORTHERN CROSS LLC,SHR,2014-03-31,912951000,27606618,33.0,NORTHERN CROSS LLC,SHR,2013-12-31,1043352000,27645800,37.0,-39182,-4.0,SELL-PARTIAL,5 - Large
1,ITUB,NORTHERN CROSS LLC,SHR,2014-03-31,512745000,34505018,14.0,NORTHERN CROSS LLC,SHR,2013-12-31,468314000,34511002,13.0,-5984,1.0,SELL-PARTIAL,5 - Large
2,POT,NORTHERN CROSS LLC,SHR,2014-03-31,350523000,9677613,36.0,NORTHERN CROSS LLC,SHR,2013-12-31,321307000,9748380,32.0,-70767,4.0,SELL-PARTIAL,6 - Mega
3,GOLD,NORTHERN CROSS LLC,SHR,2014-03-31,220698000,12377884,17.0,NORTHERN CROSS LLC,SHR,2013-12-31,218521000,12394859,17.0,-16975,0.0,SELL-PARTIAL,5 - Large
4,RDS.A,NORTHERN CROSS LLC,SHR,2014-03-31,207094000,2834568,73.0,NORTHERN CROSS LLC,SHR,2013-12-31,715041000,41000069,17.0,-38165501,56.0,SELL-PARTIAL,5 - Large
5,AAUKF,NORTHERN CROSS LLC,SHR,2014-03-31,119485000,9390209,12.0,NORTHERN CROSS LLC,SHR,2013-12-31,102667000,9392009,10.0,-1800,2.0,BUY-MORE,5 - Large
6,BBD,NORTHERN CROSS LLC,SHR,2014-03-31,989000,72327,13.0,NORTHERN CROSS LLC,SHR,2013-12-31,925000,73811,12.0,-1484,1.0,SELL-PARTIAL,5 - Large
0,FCX,NORTHERN CROSS LLC,SHR,2014-06-30,1005972000,27560882,36.0,NORTHERN CROSS LLC,SHR,2014-03-31,912951000,27606618,33.0,-45736,3.0,SELL-PARTIAL,5 - Large
1,TSM,NORTHERN CROSS LLC,SHR,2014-06-30,483025000,22581809,21.0,NORTHERN CROSS LLC,SHR,2014-03-31,452811000,22617953,20.0,-36144,1.0,SELL-PARTIAL,5 - Large
2,ITUB,NORTHERN CROSS LLC,SHR,2014-06-30,395036000,27471241,14.0,NORTHERN CROSS LLC,SHR,2014-03-31,512745000,34505018,14.0,-7033777,0.0,SELL-PARTIAL,6 - Mega
3,POT,NORTHERN CROSS LLC,SHR,2014-06-30,365182000,9620171,37.0,NORTHERN CROSS LLC,SHR,2014-03-31,350523000,9677613,36.0,-57442,1.0,SELL-PARTIAL,5 - Large
4,RDS.A,NORTHERN CROSS LLC,SHR,2014-06-30,233483000,2834568,82.0,NORTHERN CROSS LLC,SHR,2014-03-31,207094000,2834568,73.0,0,9.0,SELL-PARTIAL,5 - Large
5,GOLD,NORTHERN CROSS LLC,SHR,2014-06-30,226158000,12358387,18.0,NORTHERN CROSS LLC,SHR,2014-03-31,220698000,12377884,17.0,-19497,1.0,BUY-MORE,5 - Large
6,AAUKF,NORTHERN CROSS LLC,SHR,2014-06-30,114799000,9390209,12.0,NORTHERN CROSS LLC,SHR,2014-03-31,119485000,9390209,12.0,0,0.0,SELL-PARTIAL,5 - Large
7,BBD,NORTHERN CROSS LLC,SHR,2014-06-30,1008000,69410,14.0,NORTHERN CROSS LLC,SHR,2014-03-31,989000,72327,13.0,-2917,1.0,SELL-PARTIAL,5 - Large
0,FCX,NORTHERN CROSS LLC,SHR,2014-09-30,898646000,27523613,32.0,NORTHERN CROSS LLC,SHR,2014-06-30,1005972000,27560882,36.0,-37269,-4.0,SELL-PARTIAL,5 - Large
1,ITUB,NORTHERN CROSS LLC,SHR,2014-09-30,379825000,27364898,13.0,NORTHERN CROSS LLC,SHR,2014-06-30,395036000,27471241,14.0,-106343,-1.0,SELL-PARTIAL,5 - Large
2,POT,NORTHERN CROSS LLC,SHR,2014-09-30,331171000,9582480,34.0,NORTHERN CROSS LLC,SHR,2014-06-30,365182000,9620171,37.0,-37691,-3.0,SELL-PARTIAL,6 - Mega
3,RDS.A,NORTHERN CROSS LLC,SHR,2014-09-30,215240000,2827268,76.0,NORTHERN CROSS LLC,SHR,2014-06-30,233483000,2834568,82.0,-7300,-6.0,SELL-PARTIAL,5 - Large
4,GOLD,NORTHERN CROSS LLC,SHR,2014-09-30,180399000,12305521,14.0,NORTHERN CROSS LLC,SHR,2014-06-30,226158000,12358387,18.0,-52866,-4.0,SELL-PARTIAL,5 - Large
5,AAUKF,NORTHERN CROSS LLC,SHR,2014-09-30,104972000,9357209,11.0,NORTHERN CROSS LLC,SHR,2014-06-30,114799000,9390209,12.0,-33000,-1.0,BUY-MORE,5 - Large
6,BBD,NORTHERN CROSS LLC,SHR,2014-09-30,949000,66610,14.0,NORTHERN CROSS LLC,SHR,2014-06-30,1008000,69410,14.0,-2800,0.0,SELL-PARTIAL,5 - Large
0,FCX,NORTHERN CROSS LLC,SHR,2014-12-31,641018000,27440821,23.0,NORTHERN CROSS LLC,SHR,2014-09-30,898646000,27523613,32.0,-82792,-9.0,SELL-PARTIAL,5 - Large
1,ITUB,NORTHERN CROSS LLC,SHR,2014-12-31,351245000,26998114,13.0,NORTHERN CROSS LLC,SHR,2014-09-30,379825000,27364898,13.0,-366784,0.0,SELL-PARTIAL,5 - Large
