,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,HIG,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,388307000,12477740,31.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,446112000,14427934,30.0,-1950194,1.0,BUY-MORE,4 - Mid
1,APA,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,379110000,4452786,85.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,417943000,4985605,83.0,-532819,2.0,SELL-PARTIAL,5 - Large
2,AIG,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,371582000,7640995,48.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,398528000,8915612,44.0,-1274617,4.0,SELL-PARTIAL,6 - Mega
3,CNQ,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,367056000,11674824,31.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,374901000,13266153,28.0,-1591329,3.0,BUY-MORE,6 - Mega
4,TLSMF,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,362323000,31506378,11.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,395472000,34599439,11.0,-3093061,0.0,SELL-PARTIAL,5 - Large
5,C,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,350274000,7220656,48.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,395460000,8243903,47.0,-1023247,1.0,SELL-PARTIAL,6 - Mega
6,MSFT,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,338470000,10170365,33.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,397030000,11493113,34.0,-1322748,-1.0,BUY-MORE,5 - Large
7,CA,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,331155000,11161263,29.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,465405000,16261539,28.0,-5100276,1.0,BUY-MORE,5 - Large
8,GM,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,327425000,9102725,35.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,352038000,10568526,33.0,-1465801,2.0,SELL-PARTIAL,5 - Large
9,UNM,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,325949000,10707921,30.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,405143000,13794439,29.0,-3086518,1.0,SELL-PARTIAL,4 - Mid
10,PFE,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,319312000,11116160,28.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,356645000,12732778,28.0,-1616618,0.0,BUY-MORE,4 - Mid
11,MET,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,289209000,6159944,46.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,330724000,7227370,45.0,-1067426,1.0,SELL-PARTIAL,4 - Mid
12,VIAB,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,281906000,3372883,83.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,333267000,4898828,68.0,-1525945,15.0,SELL-PARTIAL,4 - Mid
13,CSCO,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-09-30,278336000,11878965,23.0,NWQ INVESTMENT MANAGEMENT COMPANY LLC,SHR,2013-06-30,381514000,15677595,24.0,-3798630,-1.0,SELL-PARTIAL,5 - Large
