,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,AKRXQ,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,109643000,5571280,19.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,75431000,5579219,13.0,-7939,6.0,SELL-PARTIAL,6 - Mega
1,PRAA,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,95567000,1594635,59.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,81673000,531618,153.0,1063017,-94.0,SELL-PARTIAL,6 - Mega
2,GPOR,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,92867000,1443383,64.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,64873000,1377641,47.0,65742,17.0,SELL-PARTIAL,6 - Mega
3,SLXP,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,92349000,1380815,66.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,91478000,1382895,66.0,-2080,0.0,SELL-PARTIAL,4 - Mid
4,AOS,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,87178000,1928732,45.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,73300000,2020394,36.0,-91662,9.0,SELL-PARTIAL,6 - Mega
5,NPSP,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,86228000,2710716,31.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,42047000,2782714,15.0,-71998,16.0,SELL-PARTIAL,4 - Mid
6,WEX,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,85894000,978853,87.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,72690000,947729,76.0,31124,11.0,SELL-PARTIAL,4 - Mid
7,QCOR,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,80815000,1393349,58.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,63479000,1396996,45.0,-3647,13.0,SELL-PARTIAL,4 - Mid
8,MIDD,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,76270000,365086,208.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,62277000,366144,170.0,-1058,38.0,SELL-PARTIAL,5 - Large
9,MWIV,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,71800000,480719,149.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,58840000,477439,123.0,3280,26.0,SELL-PARTIAL,4 - Mid
10,WCN,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,71416000,1572704,45.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,64923000,1578122,41.0,-5418,4.0,SELL-PARTIAL,6 - Mega
11,WSO,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,71212000,755406,94.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,63479000,756061,83.0,-655,11.0,SELL-PARTIAL,4 - Mid
12,CFX,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,70610000,1249948,56.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,65283000,1252797,52.0,-2849,4.0,SELL-PARTIAL,6 - Mega
13,WWW,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,65008000,1116401,58.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,61138000,1119547,54.0,-3146,4.0,SELL-PARTIAL,4 - Mid
14,ALGN,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,64180000,1334311,48.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,51169000,1381433,37.0,-47122,11.0,SELL-PARTIAL,4 - Mid
15,AMG,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,63618000,348322,182.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,73046000,445560,163.0,-97238,19.0,SELL-PARTIAL,5 - Large
16,SNCR,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,61876000,1625743,38.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,51575000,1670730,30.0,-44987,8.0,SELL-PARTIAL,6 - Mega
17,OAS,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,61478000,1251341,49.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,50156000,1290364,38.0,-39023,11.0,SELL-PARTIAL,5 - Large
18,BECN,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,60711000,1646624,36.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,62426000,1647983,37.0,-1359,-1.0,SELL-PARTIAL,5 - Large
19,BKU,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,59639000,1912133,31.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,49854000,1916732,26.0,-4599,5.0,SELL-PARTIAL,4 - Mid
20,CATM,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,56177000,1513796,37.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,41844000,1516053,27.0,-2257,10.0,SELL-PARTIAL,4 - Mid
21,TGI,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,54920000,782124,70.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,61996000,783263,79.0,-1139,-9.0,SELL-PARTIAL,4 - Mid
22,WAGE,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,54805000,1086310,50.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,56531000,1640965,34.0,-554655,16.0,SELL-PARTIAL,4 - Mid
23,HITT,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,54733000,837536,65.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,50344000,867987,58.0,-30451,7.0,SELL-PARTIAL,4 - Mid
24,OMCL,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,54606000,2306003,23.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,49514000,2409430,20.0,-103427,3.0,SELL-PARTIAL,5 - Large
25,EPAC,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,54524000,1403808,38.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,46430000,1408246,32.0,-4438,6.0,SELL-PARTIAL,4 - Mid
26,ANSS,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,49286000,569649,86.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,50373000,689105,73.0,-119456,13.0,SELL-PARTIAL,5 - Large
27,ARIA,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,48615000,2642090,18.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,46275000,2645781,17.0,-3691,1.0,SELL-PARTIAL,5 - Large
28,TXRH,OAK RIDGE INVESTMENTS LLC,SHR,2013-09-30,47557000,1808248,26.0,OAK RIDGE INVESTMENTS LLC,SHR,2013-06-30,45354000,1812741,25.0,-4493,1.0,SELL-PARTIAL,4 - Mid
