,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,DAL,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-09-30,321417000,13625145,23.0,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-06-30,219054000,11707831,18.0,1917314,5.0,BUY-MORE,4 - Mid
1,SIG,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-09-30,314193000,4385105,71.0,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-06-30,218109000,3234594,67.0,1150511,4.0,BUY-MORE,4 - Mid
2,WHR,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-09-30,204473000,1396294,146.0,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-06-30,88095000,770332,114.0,625962,32.0,BUY-MORE,4 - Mid
3,PHM,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-09-30,196635000,11886338,16.0,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-06-30,96065000,5064021,18.0,6822317,-2.0,BUY-MORE,4 - Mid
4,DHI,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-09-30,195826000,10078555,19.0,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-06-30,64298000,3021490,21.0,7057065,-2.0,BUY-MORE,4 - Mid
5,WFC,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-09-30,142740000,3454492,41.0,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-06-30,179842000,4357688,41.0,-903196,0.0,SELL-PARTIAL,5 - Large
6,KNX,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-09-30,140313000,6949606,20.0,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-06-30,78968000,4774356,16.0,2175250,4.0,BUY-MORE,6 - Mega
7,RYL,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-09-30,128631000,3172939,40.0,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-06-30,38806000,967733,40.0,2205206,0.0,SELL-PARTIAL,5 - Large
8,STI,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-09-30,122239000,3770487,32.0,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-06-30,27504000,871201,31.0,2899286,1.0,HOLD,5 - Large
9,DAN,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-09-30,112980000,4946581,22.0,ODEY ASSET MANAGEMENT GROUP LTD,SHR,2013-06-30,50083000,2600339,19.0,2346242,3.0,SELL-PARTIAL,5 - Large
