,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,AGN,OMEGA ADVISORS INC,SHR,2014-12-31,242885000,943572,257.0,OMEGA ADVISORS INC,SHR,2014-09-30,170458000,706472,241.0,237100,16.0,SELL-PARTIAL,5 - Large
1,C,OMEGA ADVISORS INC,SHR,2014-12-31,229716000,4245350,54.0,OMEGA ADVISORS INC,SHR,2014-09-30,267420000,5160550,51.0,-915200,3.0,SELL-PARTIAL,6 - Mega
2,AIG,OMEGA ADVISORS INC,SHR,2014-12-31,224725000,4012226,56.0,OMEGA ADVISORS INC,SHR,2014-09-30,283448000,5247100,54.0,-1234874,2.0,SELL-PARTIAL,5 - Large
3,NAVI,OMEGA ADVISORS INC,SHR,2014-12-31,206986000,9578247,21.0,OMEGA ADVISORS INC,SHR,2014-09-30,174165000,9834251,17.0,-256004,4.0,SELL-PARTIAL,4 - Mid
4,SIRI,OMEGA ADVISORS INC,SHR,2014-12-31,201911000,57688894,3.0,OMEGA ADVISORS INC,SHR,2014-09-30,201181000,57645094,3.0,43800,0.0,BUY-MORE,5 - Large
5,EBAY,OMEGA ADVISORS INC,SHR,2014-12-31,198076000,3529500,56.0,OMEGA ADVISORS INC,SHR,2014-09-30,178628000,3154300,56.0,375200,0.0,SELL-PARTIAL,5 - Large
6,UAL,OMEGA ADVISORS INC,SHR,2014-12-31,197250000,2948874,66.0,OMEGA ADVISORS INC,SHR,2014-09-30,122911000,2626874,46.0,322000,20.0,BUY-MORE,5 - Large
7,ATLS1,OMEGA ADVISORS INC,SHR,2014-12-31,181670000,5832098,31.0,OMEGA ADVISORS INC,SHR,2014-09-30,179790000,4086140,43.0,1745958,-12.0,SELL-PARTIAL,4 - Mid
8,SUNE,OMEGA ADVISORS INC,SHR,2014-12-31,176179000,9030171,19.0,OMEGA ADVISORS INC,SHR,2014-09-30,147199000,7796571,18.0,1233600,1.0,SELL-PARTIAL,5 - Large
9,ETFC,OMEGA ADVISORS INC,SHR,2014-12-31,166952000,6883204,24.0,OMEGA ADVISORS INC,SHR,2014-09-30,155385000,6878504,22.0,4700,2.0,SELL-PARTIAL,5 - Large
10,MSI,OMEGA ADVISORS INC,SHR,2014-12-31,166008000,2474776,67.0,OMEGA ADVISORS INC,SHR,2014-09-30,156781000,2477576,63.0,-2800,4.0,SELL-PARTIAL,6 - Mega
11,DISH,OMEGA ADVISORS INC,SHR,2014-12-31,161454000,2215043,72.0,OMEGA ADVISORS INC,SHR,2014-09-30,191905000,2971579,64.0,-756536,8.0,BUY-MORE,4 - Mid
12,CIM,OMEGA ADVISORS INC,SHR,2014-12-31,158240000,49760901,3.0,OMEGA ADVISORS INC,SHR,2014-09-30,196174000,64530856,3.0,-14769955,0.0,SELL-PARTIAL,4 - Mid
13,SPB,OMEGA ADVISORS INC,SHR,2014-12-31,153086000,10811163,14.0,OMEGA ADVISORS INC,SHR,2014-09-30,145985000,11126857,13.0,-315694,1.0,SELL-PARTIAL,5 - Large
14,AER,OMEGA ADVISORS INC,SHR,2014-12-31,151875000,3912278,38.0,OMEGA ADVISORS INC,SHR,2014-09-30,152671000,3732783,40.0,179495,-2.0,SELL-PARTIAL,3 - Small
15,MCK,OMEGA ADVISORS INC,SHR,2014-12-31,148462000,715203,207.0,OMEGA ADVISORS INC,SHR,2014-09-30,126959000,652175,194.0,63028,13.0,SELL-PARTIAL,3 - Small
16,EMN,OMEGA ADVISORS INC,SHR,2014-12-31,123488000,1627835,75.0,OMEGA ADVISORS INC,SHR,2014-09-30,128925000,1593835,80.0,34000,-5.0,SELL-PARTIAL,5 - Large
17,CZR,OMEGA ADVISORS INC,SHR,2014-12-31,122633000,7815990,15.0,OMEGA ADVISORS INC,SHR,2014-09-30,87947000,6991033,12.0,824957,3.0,SELL-PARTIAL,6 - Mega
18,KAR,OMEGA ADVISORS INC,SHR,2014-12-31,117019000,3377161,34.0,OMEGA ADVISORS INC,SHR,2014-09-30,84678000,2957661,28.0,419500,6.0,BUY-MORE,5 - Large
19,ASH,OMEGA ADVISORS INC,SHR,2014-12-31,104345000,871287,119.0,OMEGA ADVISORS INC,SHR,2014-09-30,37485000,360087,104.0,511200,15.0,SELL-PARTIAL,3 - Small
