,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NTES,ORBIS HOLDINGS LTD,SHR,2013-09-30,1223804000,16854475,72.0,ORBIS HOLDINGS LTD,SHR,2013-06-30,1168478000,18497360,63.0,-1642885,9.0,SELL-PARTIAL,5 - Large
1,AIG,ORBIS HOLDINGS LTD,SHR,2013-09-30,893150000,18366242,48.0,ORBIS HOLDINGS LTD,SHR,2013-06-30,992517000,22203948,44.0,-3837706,4.0,BUY-MORE,5 - Large
2,WFTIQ,ORBIS HOLDINGS LTD,SHR,2013-09-30,843697000,55035736,15.0,ORBIS HOLDINGS LTD,SHR,2013-06-30,742633000,54206792,13.0,828944,2.0,SELL-PARTIAL,5 - Large
3,MSI,ORBIS HOLDINGS LTD,SHR,2013-09-30,583632000,9828774,59.0,ORBIS HOLDINGS LTD,SHR,2013-06-30,288957000,5005312,57.0,4823462,2.0,BUY-MORE,5 - Large
4,APA,ORBIS HOLDINGS LTD,SHR,2013-09-30,562883000,6611255,85.0,ORBIS HOLDINGS LTD,SHR,2013-06-30,466620000,5566272,83.0,1044983,2.0,SELL-PARTIAL,5 - Large
5,MU,ORBIS HOLDINGS LTD,SHR,2013-09-30,520154000,29774125,17.0,ORBIS HOLDINGS LTD,SHR,2013-06-30,1085113000,75723154,14.0,-45949029,3.0,SELL-PARTIAL,4 - Mid
6,SOHU,ORBIS HOLDINGS LTD,SHR,2013-09-30,491590000,6236070,78.0,ORBIS HOLDINGS LTD,SHR,2013-06-30,394400000,6400524,61.0,-164454,17.0,SELL-PARTIAL,5 - Large
7,GM,ORBIS HOLDINGS LTD,SHR,2013-09-30,472272000,13129607,35.0,ORBIS HOLDINGS LTD,SHR,2013-06-30,437480000,13133587,33.0,-3980,2.0,SELL-PARTIAL,5 - Large
8,GM,ORBIS HOLDINGS LTD,SHR,2013-09-30,472272000,13129607,35.0,ORBIS HOLDINGS LTD,PRF,2013-06-30,3788000,78647,48.0,13050960,-13.0,BUY-MORE,5 - Large
9,GM,ORBIS HOLDINGS LTD,PRF,2013-09-30,3944000,78647,50.0,ORBIS HOLDINGS LTD,SHR,2013-06-30,437480000,13133587,33.0,-13054940,17.0,SELL-PARTIAL,4 - Mid
10,GM,ORBIS HOLDINGS LTD,PRF,2013-09-30,3944000,78647,50.0,ORBIS HOLDINGS LTD,PRF,2013-06-30,3788000,78647,48.0,0,2.0,SELL-PARTIAL,5 - Large
11,LBTYA,ORBIS HOLDINGS LTD,SHR,2013-09-30,440614000,5728923,76.0,ORBIS HOLDINGS LTD,SHR,2013-06-30,277757000,3923411,70.0,1805512,6.0,BUY-MORE,4 - Mid
