,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BHC,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,151989000,1437663,105.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,126000000,1463749,86.0,-26086,19.0,SELL-PARTIAL,6 - Mega
1,CNK,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,107656000,3281173,32.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,92144000,3300272,27.0,-19099,5.0,SELL-PARTIAL,4 - Mid
2,CCK,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,100416000,2303120,43.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,90669000,2204463,41.0,98657,2.0,BUY-MORE,3 - Small
3,JNJ,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,100302000,1083067,92.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,96751000,1126844,85.0,-43777,7.0,BUY-MORE,5 - Large
4,GOOGL,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,98433000,95512,1030.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,83368000,94696,880.0,816,150.0,SELL-PARTIAL,6 - Mega
5,AL,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,95807000,3258768,29.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,89044000,3227397,27.0,31371,2.0,HOLD,3 - Small
6,AL,OSTERWEIS CAPITAL MANAGEMENT INC,DBT,2013-09-30,10944000,8500000,1.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,89044000,3227397,27.0,5272603,-26.0,SELL-PARTIAL,4 - Mid
7,MMP,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,94312000,1570806,60.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,88966000,1632405,54.0,-61599,6.0,SELL-PARTIAL,6 - Mega
8,TFX,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,93457000,1013847,92.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,79070000,1020394,77.0,-6547,15.0,SELL-PARTIAL,5 - Large
9,TFX,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,93457000,1013847,92.0,OSTERWEIS CAPITAL MANAGEMENT INC,DBT,2013-06-30,24514000,18150000,1.0,-17136153,91.0,BUY-MORE,3 - Small
10,TFX,OSTERWEIS CAPITAL MANAGEMENT INC,DBT,2013-09-30,28201000,18150000,1.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,79070000,1020394,77.0,17129606,-76.0,SELL-PARTIAL,5 - Large
11,TFX,OSTERWEIS CAPITAL MANAGEMENT INC,DBT,2013-09-30,28201000,18150000,1.0,OSTERWEIS CAPITAL MANAGEMENT INC,DBT,2013-06-30,24514000,18150000,1.0,0,0.0,SELL-PARTIAL,5 - Large
12,AWK,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,91513000,2134665,42.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,92678000,2247837,41.0,-113172,1.0,SELL-PARTIAL,5 - Large
13,OI,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,90444000,2845055,31.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,77163000,2776665,27.0,68390,4.0,SELL-PARTIAL,6 - Mega
14,EHC,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-09-30,89913000,2560888,35.0,OSTERWEIS CAPITAL MANAGEMENT INC,SHR,2013-06-30,88267000,3064835,28.0,-503947,7.0,SELL-PARTIAL,6 - Mega
