,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,SPY,OWL CREEK ASSET MANAGEMENT LP,CLL,2013-09-30,609876000,3630000,168.0,OWL CREEK ASSET MANAGEMENT LP,CLL,2013-06-30,365758000,2280000,160.0,1350000,8.0,BUY-MORE,5 - Large
1,SPY,OWL CREEK ASSET MANAGEMENT LP,PUT,2013-09-30,403224000,2400000,168.0,OWL CREEK ASSET MANAGEMENT LP,CLL,2013-06-30,365758000,2280000,160.0,120000,8.0,BUY-MORE,5 - Large
2,SPR,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-09-30,143360000,5914186,24.0,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-06-30,123868000,5766686,21.0,147500,3.0,BUY-MORE,5 - Large
3,HES,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-09-30,138460000,1790273,77.0,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-06-30,75291000,1132373,66.0,657900,11.0,SELL-PARTIAL,3 - Small
4,HTZ,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-09-30,102044000,4604857,22.0,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-06-30,117245000,4727604,24.0,-122747,-2.0,SELL-PARTIAL,4 - Mid
5,PCP,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-09-30,92075000,405188,227.0,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-06-30,83553000,369688,226.0,35500,1.0,HOLD,5 - Large
6,BA,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-09-30,90998000,774452,117.0,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-06-30,89038000,869171,102.0,-94719,15.0,BUY-MORE,5 - Large
7,S,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-09-30,89367000,14370014,6.0,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-06-30,281587000,40112152,7.0,-25742138,-1.0,BUY-MORE,5 - Large
8,EQC,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-09-30,84448000,3854326,21.0,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-06-30,67051000,2900126,23.0,954200,-2.0,SELL-PARTIAL,4 - Mid
9,DISH,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-09-30,78234000,1738149,45.0,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-06-30,118525000,2787502,42.0,-1049353,3.0,SELL-PARTIAL,4 - Mid
10,LEAP,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-09-30,59183000,3745786,15.0,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-06-30,26492000,3936426,6.0,-190640,9.0,BUY-MORE,4 - Mid
11,FST,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-09-30,57067000,9355317,6.0,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-06-30,38263000,9355317,4.0,0,2.0,HOLD,4 - Mid
12,EQIX,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-09-30,55873000,304238,183.0,OWL CREEK ASSET MANAGEMENT LP,SHR,2013-06-30,47485000,257067,184.0,47171,-1.0,SELL-PARTIAL,5 - Large
