,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,AMAT,PARNASSUS INVESTMENTS,SHR,2013-09-30,365699000,20849427,17.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,312366000,20950107,14.0,-100680,3.0,SELL-PARTIAL,5 - Large
1,CHRW,PARNASSUS INVESTMENTS,SHR,2013-09-30,364778000,6124553,59.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,318715000,5660000,56.0,464553,3.0,SELL-PARTIAL,5 - Large
2,AAPL,PARNASSUS INVESTMENTS,SHR,2013-09-30,298324000,625745,476.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,247550000,625000,396.0,745,80.0,SELL-PARTIAL,6 - Mega
3,MSI,PARNASSUS INVESTMENTS,SHR,2013-09-30,288045000,4850872,59.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,135733000,2351174,57.0,2499698,2.0,SELL-PARTIAL,5 - Large
4,MDLZ,PARNASSUS INVESTMENTS,SHR,2013-09-30,283089000,9009820,31.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,218996000,7676000,28.0,1333820,3.0,SELL-PARTIAL,5 - Large
5,PG,PARNASSUS INVESTMENTS,SHR,2013-09-30,263354000,3483980,75.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,267925000,3480000,76.0,3980,-1.0,BUY-MORE,5 - Large
6,EXPD,PARNASSUS INVESTMENTS,SHR,2013-09-30,251413000,5706145,44.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,204988000,5393000,38.0,313145,6.0,SELL-PARTIAL,5 - Large
7,QCOM,PARNASSUS INVESTMENTS,SHR,2013-09-30,224297000,3329830,67.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,145981000,2390000,61.0,939830,6.0,BUY-MORE,5 - Large
8,NOV,PARNASSUS INVESTMENTS,SHR,2013-09-30,222487000,2848375,78.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,194504000,2822991,68.0,25384,10.0,SELL-PARTIAL,6 - Mega
9,IRM,PARNASSUS INVESTMENTS,SHR,2013-09-30,221077000,8181982,27.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,189723000,7129745,26.0,1052237,1.0,SELL-PARTIAL,5 - Large
10,PNR,PARNASSUS INVESTMENTS,SHR,2013-09-30,214823000,3308022,64.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,190623000,3304257,57.0,3765,7.0,BUY-MORE,5 - Large
11,STR,PARNASSUS INVESTMENTS,SHR,2013-09-30,212184000,9434606,22.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,213350000,8945497,23.0,489109,-1.0,SELL-PARTIAL,5 - Large
12,TRI,PARNASSUS INVESTMENTS,SHR,2013-09-30,207829000,5936278,35.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,188906000,5800000,32.0,136278,3.0,BUY-MORE,6 - Mega
13,MDU,PARNASSUS INVESTMENTS,SHR,2013-09-30,201496000,7203989,27.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,198116000,7646303,25.0,-442314,2.0,BUY-MORE,5 - Large
14,WM,PARNASSUS INVESTMENTS,SHR,2013-09-30,200451000,4860585,41.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,195802000,4855000,40.0,5585,1.0,BUY-MORE,5 - Large
15,PEP,PARNASSUS INVESTMENTS,SHR,2013-09-30,196975000,2477670,79.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,202430000,2475000,81.0,2670,-2.0,BUY-MORE,5 - Large
16,CMP,PARNASSUS INVESTMENTS,SHR,2013-09-30,185611000,2433599,76.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,175191000,2072536,84.0,361063,-8.0,BUY-MORE,5 - Large
17,MA,PARNASSUS INVESTMENTS,SHR,2013-09-30,185233000,275325,672.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,157988000,275000,574.0,325,98.0,BUY-MORE,5 - Large
18,CVS,PARNASSUS INVESTMENTS,SHR,2013-09-30,178974000,3153735,56.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,180117000,3150000,57.0,3735,-1.0,BUY-MORE,5 - Large
19,EGN,PARNASSUS INVESTMENTS,SHR,2013-09-30,175900000,2302660,76.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,120590000,2307500,52.0,-4840,24.0,SELL-PARTIAL,5 - Large
20,SYY,PARNASSUS INVESTMENTS,SHR,2013-09-30,174038000,5467735,31.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,164702000,4821500,34.0,646235,-3.0,BUY-MORE,5 - Large
21,GILD,PARNASSUS INVESTMENTS,SHR,2013-09-30,163571000,2602970,62.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,133146000,2600000,51.0,2970,11.0,SELL-PARTIAL,5 - Large
22,SJR,PARNASSUS INVESTMENTS,SHR,2013-09-30,163271000,7025434,23.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,165038000,6868018,24.0,157416,-1.0,SELL-PARTIAL,5 - Large
23,SE1,PARNASSUS INVESTMENTS,SHR,2013-09-30,159971000,4673416,34.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,160861000,4668041,34.0,5375,0.0,BUY-MORE,5 - Large
24,GOOGL,PARNASSUS INVESTMENTS,SHR,2013-09-30,157852000,180215,875.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,161988000,184000,880.0,-3785,-5.0,BUY-MORE,6 - Mega
25,NVS,PARNASSUS INVESTMENTS,SHR,2013-09-30,156265000,2037090,76.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,143895000,2035000,70.0,2090,6.0,SELL-PARTIAL,6 - Mega
26,SCHW,PARNASSUS INVESTMENTS,SHR,2013-09-30,155528000,7357040,21.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,161348000,7600000,21.0,-242960,0.0,SELL-PARTIAL,5 - Large
27,TGT,PARNASSUS INVESTMENTS,SHR,2013-09-30,150520000,2352610,63.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,161821000,2350000,68.0,2610,-5.0,SELL-PARTIAL,5 - Large
28,PAYX,PARNASSUS INVESTMENTS,SHR,2013-09-30,145557000,3581625,40.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,130650000,3577500,36.0,4125,4.0,BUY-MORE,5 - Large
29,UPS,PARNASSUS INVESTMENTS,SHR,2013-09-30,141792000,1551840,91.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,134044000,1550000,86.0,1840,5.0,SELL-PARTIAL,5 - Large
30,TFX,PARNASSUS INVESTMENTS,SHR,2013-09-30,136535000,1659400,82.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,128440000,1657500,77.0,1900,5.0,BUY-MORE,5 - Large
31,PDCO,PARNASSUS INVESTMENTS,SHR,2013-09-30,133769000,3327580,40.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,124685000,3316090,37.0,11490,3.0,SELL-PARTIAL,5 - Large
32,WTI,PARNASSUS INVESTMENTS,SHR,2013-09-30,130347000,7355936,17.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,105333000,7371076,14.0,-15140,3.0,HOLD,5 - Large
33,PX,PARNASSUS INVESTMENTS,SHR,2013-09-30,120354000,1001200,120.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,115160000,1000000,115.0,1200,5.0,BUY-MORE,3 - Small
34,MKC,PARNASSUS INVESTMENTS,SHR,2013-09-30,108931000,1683633,64.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,118320000,1681638,70.0,1995,-6.0,SELL-PARTIAL,5 - Large
35,GAS,PARNASSUS INVESTMENTS,SHR,2013-09-30,87842000,1908357,46.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,78373000,1828590,42.0,79767,4.0,BUY-MORE,5 - Large
36,WDFC,PARNASSUS INVESTMENTS,SHR,2013-09-30,73486000,1132300,64.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,61617000,1131000,54.0,1300,10.0,SELL-PARTIAL,5 - Large
37,RVBD,PARNASSUS INVESTMENTS,SHR,2013-09-30,70423000,4826775,14.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,69951000,4495535,15.0,331240,-1.0,HOLD,5 - Large
38,NWN,PARNASSUS INVESTMENTS,SHR,2013-09-30,70062000,1668935,41.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,70814000,1667000,42.0,1935,-1.0,SELL-PARTIAL,4 - Mid
39,VRSK,PARNASSUS INVESTMENTS,SHR,2013-09-30,67309000,1036160,64.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,61790000,1035000,59.0,1160,5.0,BUY-MORE,5 - Large
40,CIEN,PARNASSUS INVESTMENTS,SHR,2013-09-30,61402000,2458027,24.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,69943000,3601572,19.0,-1143545,5.0,BUY-MORE,5 - Large
41,FNSR,PARNASSUS INVESTMENTS,SHR,2013-09-30,53269000,2353919,22.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,55962000,3301593,16.0,-947674,6.0,HOLD,5 - Large
42,COF,PARNASSUS INVESTMENTS,SHR,2013-09-30,42619000,620000,68.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,43339000,690000,62.0,-70000,6.0,BUY-MORE,5 - Large
43,EZCH,PARNASSUS INVESTMENTS,SHR,2013-09-30,40576000,1646746,24.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,41042000,1520646,26.0,126100,-2.0,BUY-MORE,5 - Large
44,ADSK,PARNASSUS INVESTMENTS,SHR,2013-09-30,39437000,957900,41.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,27339000,805500,33.0,152400,8.0,BUY-MORE,5 - Large
45,INTU,PARNASSUS INVESTMENTS,SHR,2013-09-30,37100000,559500,66.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,34146000,559500,61.0,0,5.0,BUY-MORE,5 - Large
46,FHN,PARNASSUS INVESTMENTS,SHR,2013-09-30,36779000,3346629,10.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,51427000,4591685,11.0,-1245056,-1.0,BUY-MORE,5 - Large
47,PHM,PARNASSUS INVESTMENTS,SHR,2013-09-30,36038000,2184147,16.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,32707000,1724144,18.0,460003,-2.0,BUY-MORE,5 - Large
48,TCF1,PARNASSUS INVESTMENTS,SHR,2013-09-30,35022000,2452494,14.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,34747000,2450394,14.0,2100,0.0,BUY-MORE,4 - Mid
49,FAF,PARNASSUS INVESTMENTS,SHR,2013-09-30,32956000,1353413,24.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,26463000,1200703,22.0,152710,2.0,SELL-PARTIAL,5 - Large
50,BLT,PARNASSUS INVESTMENTS,SHR,2013-09-30,32136000,2653700,12.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,23304000,1971540,11.0,682160,1.0,BUY-MORE,5 - Large
51,WOOF,PARNASSUS INVESTMENTS,SHR,2013-09-30,31445000,1145118,27.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,29779000,1141407,26.0,3711,1.0,BUY-MORE,5 - Large
52,GNTX,PARNASSUS INVESTMENTS,SHR,2013-09-30,31139000,1216853,25.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,25874000,1122511,23.0,94342,2.0,BUY-MORE,5 - Large
53,UTIW,PARNASSUS INVESTMENTS,SHR,2013-09-30,29900000,1978831,15.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,27342000,1660127,16.0,318704,-1.0,BUY-MORE,5 - Large
54,MCRS,PARNASSUS INVESTMENTS,SHR,2013-09-30,29787000,596451,49.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,25788000,597645,43.0,-1194,6.0,SELL-PARTIAL,5 - Large
55,MRC,PARNASSUS INVESTMENTS,SHR,2013-09-30,26516000,989410,26.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,6215000,225000,27.0,764410,-1.0,SELL-PARTIAL,5 - Large
56,CCC1,PARNASSUS INVESTMENTS,SHR,2013-09-30,25940000,1365971,18.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,32818000,1967503,16.0,-601532,2.0,SELL-PARTIAL,5 - Large
57,WFC,PARNASSUS INVESTMENTS,SHR,2013-09-30,25825000,625000,41.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,26206000,635000,41.0,-10000,0.0,BUY-MORE,4 - Mid
58,CKP,PARNASSUS INVESTMENTS,SHR,2013-09-30,25221000,1510211,16.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,21406000,1508496,14.0,1715,2.0,BUY-MORE,4 - Mid
59,EXXIQ,PARNASSUS INVESTMENTS,SHR,2013-09-30,24383000,807394,30.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,17884000,806294,22.0,1100,8.0,SELL-PARTIAL,5 - Large
60,RBC,PARNASSUS INVESTMENTS,SHR,2013-09-30,23973000,352910,67.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,18350000,283000,64.0,69910,3.0,SELL-PARTIAL,5 - Large
61,INTC,PARNASSUS INVESTMENTS,SHR,2013-09-30,23608000,1030000,22.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,25552000,1055000,24.0,-25000,-2.0,BUY-MORE,5 - Large
62,NSP,PARNASSUS INVESTMENTS,SHR,2013-09-30,23405000,622472,37.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,39063000,1289214,30.0,-666742,7.0,BUY-MORE,5 - Large
63,PMCS,PARNASSUS INVESTMENTS,SHR,2013-09-30,21374000,3228768,6.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,20425000,3216519,6.0,12249,0.0,SELL-PARTIAL,5 - Large
64,ITMN,PARNASSUS INVESTMENTS,SHR,2013-09-30,20223000,1315768,15.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,20470000,2127895,9.0,-812127,6.0,SELL-PARTIAL,5 - Large
65,HLIT,PARNASSUS INVESTMENTS,SHR,2013-09-30,19822000,2577606,7.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,27655000,4355085,6.0,-1777479,1.0,HOLD,5 - Large
66,IPI,PARNASSUS INVESTMENTS,SHR,2013-09-30,19167000,1222393,15.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,23287000,1222393,19.0,0,-4.0,SELL-PARTIAL,5 - Large
67,TOL,PARNASSUS INVESTMENTS,SHR,2013-09-30,17789000,548549,32.0,PARNASSUS INVESTMENTS,SHR,2013-06-30,17899000,548549,32.0,0,0.0,BUY-MORE,4 - Mid
