,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BKNG,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,324251000,320739,1010.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,272636000,329800,826.0,-9061,184.0,BUY-MORE,5 - Large
1,TDG,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,294406000,2122610,138.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,337480000,2152710,156.0,-30100,-18.0,BUY-MORE,5 - Large
2,DVA,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,272681000,4792290,56.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,323257000,2675972,120.0,2116318,-64.0,BUY-MORE,5 - Large
3,HII,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,256445000,3804828,67.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,233238000,4129567,56.0,-324739,11.0,HOLD,4 - Mid
4,WBC,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,253056000,3003271,84.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,225099000,3013771,74.0,-10500,10.0,SELL-PARTIAL,5 - Large
5,NVR,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,233017000,253502,919.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,239076000,259302,921.0,-5800,-2.0,BUY-MORE,5 - Large
6,DG,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,219229000,3882916,56.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,181337000,3595816,50.0,287100,6.0,BUY-MORE,4 - Mid
7,TEX,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,216121000,6432169,33.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,211151000,8028569,26.0,-1596400,7.0,BUY-MORE,5 - Large
8,CRI,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,207134000,2729400,75.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,202952000,2740000,74.0,-10600,1.0,BUY-MORE,5 - Large
9,AIG,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,205625000,4228348,48.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,192078000,4297048,44.0,-68700,4.0,BUY-MORE,5 - Large
10,TRIP,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,195709000,2580554,75.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,208674000,3428198,60.0,-847644,15.0,SELL-PARTIAL,4 - Mid
11,ST,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,191880000,5013848,38.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,217148000,6222004,34.0,-1208156,4.0,HOLD,5 - Large
12,STZ,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,188718000,3287767,57.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,64386000,1235340,52.0,2052427,5.0,SELL-PARTIAL,4 - Mid
13,LNG,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,186305000,5457100,34.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,152069000,5478000,27.0,-20900,7.0,HOLD,5 - Large
14,CTSH,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,182594000,2223500,82.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,85504000,1365000,62.0,858500,20.0,SELL-PARTIAL,3 - Small
15,SBH,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,181310000,6930817,26.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,218254000,7017817,31.0,-87000,-5.0,SELL-PARTIAL,3 - Small
16,MRC,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,176847000,6598771,26.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,182844000,6619971,27.0,-21200,-1.0,SELL-PARTIAL,4 - Mid
17,WCC,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,165491000,2162435,76.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,187184000,2754324,67.0,-591889,9.0,SELL-PARTIAL,4 - Mid
18,ASNA,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,160727000,8064600,19.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,122143000,6999600,17.0,1065000,2.0,SELL-PARTIAL,4 - Mid
19,TMH,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,155770000,4105681,37.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,169273000,4121581,41.0,-15900,-4.0,SELL-PARTIAL,5 - Large
20,RRC,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,126844000,1671416,75.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,134901000,1744716,77.0,-73300,-2.0,SELL-PARTIAL,3 - Small
21,OC,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,124673000,3282600,37.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,128769000,3295000,39.0,-12400,-2.0,SELL-PARTIAL,5 - Large
22,BFAM,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,108056000,3015800,35.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,105258000,3032500,34.0,-16700,1.0,SELL-PARTIAL,4 - Mid
23,UNP,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,106889000,688099,155.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,134881000,874263,154.0,-186164,1.0,SELL-PARTIAL,5 - Large
24,UNH,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,85814000,1198352,71.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,103153000,1575331,65.0,-376979,6.0,SELL-PARTIAL,4 - Mid
25,HFC,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,80388000,1909000,42.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,73539000,1719000,42.0,190000,0.0,SELL-PARTIAL,3 - Small
26,MIDD,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,58139000,278296,208.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,46910000,275796,170.0,2500,38.0,HOLD,4 - Mid
27,MFRM,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,52688000,1656337,31.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,77865000,1932130,40.0,-275793,-9.0,SELL-PARTIAL,3 - Small
28,FET,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,38159000,1412772,27.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,46071000,1514011,30.0,-101239,-3.0,HOLD,3 - Small
29,USAP,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,36794000,1143021,32.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,33401000,1133021,29.0,10000,3.0,HOLD,4 - Mid
30,FLR,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,35111000,494800,70.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,32443000,547000,59.0,-52200,11.0,SELL-PARTIAL,5 - Large
31,OPCH,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,31115000,3543900,8.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,27031000,1638263,16.0,1905637,-8.0,SELL-PARTIAL,5 - Large
32,CNQ,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,28252000,898600,31.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,31086000,1100000,28.0,-201400,3.0,SELL-PARTIAL,3 - Small
33,DGX,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,26304000,425700,61.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,31370000,517400,60.0,-91700,1.0,SELL-PARTIAL,4 - Mid
34,ARX,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,24779000,3519689,7.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,32582000,4129508,7.0,-609819,0.0,SELL-PARTIAL,3 - Small
35,FWLT,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,22724000,862700,26.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,19213000,885000,21.0,-22300,5.0,BUY-MORE,4 - Mid
36,DVN,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,22238000,385000,57.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,13489000,260000,51.0,125000,6.0,SELL-PARTIAL,5 - Large
37,BRCM,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-09-30,16393000,630000,26.0,PENNANT CAPITAL MANAGEMENT LLC,SHR,2013-06-30,24332000,720000,33.0,-90000,-7.0,SELL-PARTIAL,5 - Large
