,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,SPY,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-09-30,660279000,3930000,168.0,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-06-30,455593000,2840000,160.0,1090000,8.0,BUY-MORE,5 - Large
1,SPY,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-09-30,660279000,3930000,168.0,PENTWATER CAPITAL MANAGEMENT LP,CLL,2013-06-30,118711000,740000,160.0,3190000,8.0,BUY-MORE,5 - Large
2,SPY,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-09-30,660279000,3930000,168.0,PENTWATER CAPITAL MANAGEMENT LP,FND,2013-06-30,23261000,145000,160.0,3785000,8.0,BUY-MORE,5 - Large
3,SPY,PENTWATER CAPITAL MANAGEMENT LP,FND,2013-09-30,82325000,490000,168.0,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-06-30,455593000,2840000,160.0,-2350000,8.0,BUY-MORE,5 - Large
4,SPY,PENTWATER CAPITAL MANAGEMENT LP,FND,2013-09-30,82325000,490000,168.0,PENTWATER CAPITAL MANAGEMENT LP,CLL,2013-06-30,118711000,740000,160.0,-250000,8.0,BUY-MORE,5 - Large
5,SPY,PENTWATER CAPITAL MANAGEMENT LP,FND,2013-09-30,82325000,490000,168.0,PENTWATER CAPITAL MANAGEMENT LP,FND,2013-06-30,23261000,145000,160.0,345000,8.0,BUY-MORE,5 - Large
6,SPY,PENTWATER CAPITAL MANAGEMENT LP,CLL,2013-09-30,45363000,270000,168.0,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-06-30,455593000,2840000,160.0,-2570000,8.0,SELL-PARTIAL,5 - Large
7,SPY,PENTWATER CAPITAL MANAGEMENT LP,CLL,2013-09-30,45363000,270000,168.0,PENTWATER CAPITAL MANAGEMENT LP,CLL,2013-06-30,118711000,740000,160.0,-470000,8.0,SELL-PARTIAL,5 - Large
8,SPY,PENTWATER CAPITAL MANAGEMENT LP,CLL,2013-09-30,45363000,270000,168.0,PENTWATER CAPITAL MANAGEMENT LP,FND,2013-06-30,23261000,145000,160.0,125000,8.0,SELL-PARTIAL,5 - Large
9,DELL1,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-09-30,331042000,24074000,13.0,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-06-30,298780000,22422512,13.0,1651488,0.0,BUY-MORE,5 - Large
10,DELL1,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-09-30,331042000,24074000,13.0,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-06-30,3331000,250000,13.0,23824000,0.0,BUY-MORE,5 - Large
11,ZTS,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-09-30,240558000,7730000,31.0,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-06-30,497516000,16106051,30.0,-8376051,1.0,SELL-PARTIAL,5 - Large
12,ZTS,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-09-30,18672000,600000,31.0,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-06-30,497516000,16106051,30.0,-15506051,1.0,SELL-PARTIAL,5 - Large
13,LIFE2,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-09-30,201368000,2691000,74.0,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-06-30,202800000,2740542,73.0,-49542,1.0,HOLD,5 - Large
14,TRQ,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-09-30,147650000,33405000,4.0,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-06-30,68791000,11600500,5.0,21804500,-1.0,BUY-MORE,5 - Large
15,TRQ,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-09-30,147650000,33405000,4.0,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-06-30,593000,100000,5.0,33305000,-1.0,SELL-PARTIAL,5 - Large
16,TRQ,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-09-30,442000,100000,4.0,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-06-30,68791000,11600500,5.0,-11500500,-1.0,SELL-PARTIAL,5 - Large
17,TRQ,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-09-30,442000,100000,4.0,PENTWATER CAPITAL MANAGEMENT LP,PUT,2013-06-30,593000,100000,5.0,0,-1.0,HOLD,5 - Large
18,LPS,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-09-30,141730000,4260000,33.0,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-06-30,25880000,800000,32.0,3460000,1.0,SELL-PARTIAL,5 - Large
19,ELN,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-09-30,115915000,7440000,15.0,PENTWATER CAPITAL MANAGEMENT LP,SHR,2013-06-30,54439000,3850000,14.0,3590000,1.0,BUY-MORE,5 - Large
