,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,IYR,PERRY CAPITAL,PUT,2013-09-30,484804000,7600000,63.0,PERRY CAPITAL,PUT,2013-06-30,465010000,7000000,66.0,600000,-3.0,HOLD,6 - Mega
1,FDX,PERRY CAPITAL,SHR,2013-09-30,479262000,4200000,114.0,PERRY CAPITAL,SHR,2013-06-30,384462000,3900000,98.0,300000,16.0,SELL-PARTIAL,5 - Large
2,AIG,PERRY CAPITAL,SHR,2013-09-30,441864000,9086234,48.0,PERRY CAPITAL,SHR,2013-06-30,525037000,11745789,44.0,-2659555,4.0,SELL-PARTIAL,4 - Mid
3,NRG,PERRY CAPITAL,SHR,2013-09-30,409950000,15000000,27.0,PERRY CAPITAL,SHR,2013-06-30,178787000,6696138,26.0,8303862,1.0,SELL-PARTIAL,6 - Mega
4,NRG,PERRY CAPITAL,CLL,2013-09-30,109397000,4002800,27.0,PERRY CAPITAL,SHR,2013-06-30,178787000,6696138,26.0,-2693338,1.0,SELL-PARTIAL,5 - Large
5,LAMR,PERRY CAPITAL,SHR,2013-09-30,296363000,6301577,47.0,PERRY CAPITAL,SHR,2013-06-30,273425000,6301577,43.0,0,4.0,SELL-PARTIAL,5 - Large
6,HES,PERRY CAPITAL,SHR,2013-09-30,247488000,3200000,77.0,PERRY CAPITAL,SHR,2013-06-30,212768000,3200000,66.0,0,11.0,SELL-PARTIAL,5 - Large
7,HES,PERRY CAPITAL,SHR,2013-09-30,247488000,3200000,77.0,PERRY CAPITAL,CLL,2013-06-30,16623000,250000,66.0,2950000,11.0,HOLD,3 - Small
8,HES,PERRY CAPITAL,CLL,2013-09-30,19335000,250000,77.0,PERRY CAPITAL,SHR,2013-06-30,212768000,3200000,66.0,-2950000,11.0,HOLD,6 - Mega
9,HES,PERRY CAPITAL,CLL,2013-09-30,19335000,250000,77.0,PERRY CAPITAL,CLL,2013-06-30,16623000,250000,66.0,0,11.0,HOLD,6 - Mega
10,EQC,PERRY CAPITAL,SHR,2013-09-30,155561000,7100000,21.0,PERRY CAPITAL,SHR,2013-06-30,164152000,7100000,23.0,0,-2.0,HOLD,3 - Small
11,CHKAQ,PERRY CAPITAL,PUT,2013-09-30,154457000,5968200,25.0,PERRY CAPITAL,PUT,2013-06-30,121632000,5968200,20.0,0,5.0,SELL-PARTIAL,6 - Mega
12,JCPNQ,PERRY CAPITAL,SHR,2013-09-30,88050000,10000000,8.0,PERRY CAPITAL,SHR,2013-06-30,204960000,12000000,17.0,-2000000,-9.0,HOLD,6 - Mega
