,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,BIDU,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,397444000,2561185,155.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,206978000,2187885,94.0,373300,61.0,BUY-MORE,6 - Mega
1,SINA,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,348880000,4298151,81.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,276359000,4958908,55.0,-660757,26.0,BUY-MORE,6 - Mega
2,GOOGL,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,313155000,357520,875.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,321440000,365120,880.0,-7600,-5.0,BUY-MORE,5 - Large
3,BAC,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,282177000,20447654,13.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,431718000,33570684,12.0,-13123030,1.0,BUY-MORE,4 - Mid
4,INTC,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,275900000,12037000,22.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,232704000,9604000,24.0,2433000,-2.0,SELL-PARTIAL,6 - Mega
5,FWLT,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,263931000,10020177,26.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,211889000,9759977,21.0,260200,5.0,SELL-PARTIAL,5 - Large
6,MU,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,239324000,13699978,17.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,213516000,14899978,14.0,-1200000,3.0,BUY-MORE,5 - Large
7,MSFT,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,223464000,6714670,33.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,465137000,13464670,34.0,-6750000,-1.0,HOLD,5 - Large
8,BHI,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,218810000,4456420,49.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,190859000,4137420,46.0,319000,3.0,BUY-MORE,3 - Small
9,CSCO,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,217034000,9262700,23.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,274004000,11259700,24.0,-1997000,-1.0,HOLD,5 - Large
10,J,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,216377000,3719108,58.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,219202000,3976108,55.0,-257000,3.0,BUY-MORE,5 - Large
11,YOKU,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,212315000,7748747,27.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,138908000,7238577,19.0,510170,8.0,SELL-PARTIAL,6 - Mega
12,SWC,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,178520000,16214362,11.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,174142000,16214362,10.0,0,1.0,BUY-MORE,5 - Large
13,CCL,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,166953000,5115000,32.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,176593000,5150000,34.0,-35000,-2.0,SELL-PARTIAL,5 - Large
14,CIEN,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,162213000,6486200,25.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,129912000,6686200,19.0,-200000,6.0,BUY-MORE,5 - Large
15,TSL,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,148714000,9619293,15.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,57330000,9619293,5.0,0,10.0,BUY-MORE,5 - Large
16,GOLD,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,108686000,5837090,18.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,62678000,3982090,15.0,1855000,3.0,SELL-PARTIAL,5 - Large
17,LVS,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,106936000,1610000,66.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,85217000,1610000,52.0,0,14.0,HOLD,4 - Mid
18,FDX,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,103542000,907393,114.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,89450000,907393,98.0,0,16.0,HOLD,3 - Small
19,KBR,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,77557000,2376143,32.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,79304000,2440143,32.0,-64000,0.0,SELL-PARTIAL,5 - Large
20,BID,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,59681000,1214777,49.0,PLATINUM INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,49009000,1292777,37.0,-78000,12.0,HOLD,4 - Mid
