,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NKE,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,365602000,5033074,72.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,340179000,5342002,63.0,-308928,9.0,BUY-MORE,6 - Mega
1,GOOGL,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,340386000,388608,875.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,364757000,414322,880.0,-25714,-5.0,BUY-MORE,6 - Mega
2,V,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,312971000,1637735,191.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,317679000,1738324,182.0,-100589,9.0,BUY-MORE,6 - Mega
3,QCOM,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,290805000,4317176,67.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,280796000,4597182,61.0,-280006,6.0,BUY-MORE,5 - Large
4,SBUX,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,272161000,3535935,76.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,247373000,3777260,65.0,-241325,11.0,BUY-MORE,5 - Large
5,TROW,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,271100000,3768936,71.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,294121000,4020795,73.0,-251859,-2.0,BUY-MORE,6 - Mega
6,AGN1,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,252580000,2792480,90.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,249202000,2958238,84.0,-165758,6.0,BUY-MORE,5 - Large
7,EBAY,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,247686000,4439621,55.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,161584000,3124211,51.0,1315410,4.0,SELL-PARTIAL,5 - Large
8,INTU,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,234022000,3529205,66.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,228046000,3736618,61.0,-207413,5.0,SELL-PARTIAL,5 - Large
9,ACN,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,219724000,2983765,73.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,228449000,3174669,71.0,-190904,2.0,BUY-MORE,5 - Large
10,ABT,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,207243000,6244148,33.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,230565000,6610245,34.0,-366097,-1.0,BUY-MORE,5 - Large
11,ORCL,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,201831000,6084748,33.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,198478000,6460886,30.0,-376138,3.0,BUY-MORE,5 - Large
12,GWW,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,179125000,684442,261.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,181416000,719389,252.0,-34947,9.0,BUY-MORE,6 - Mega
13,AAPL,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,161026000,337758,476.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,141982000,358468,396.0,-20710,80.0,SELL-PARTIAL,5 - Large
14,FDS,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-09-30,156275000,1432406,109.0,POLEN CAPITAL MANAGEMENT LLC,SHR,2013-06-30,155089000,1521372,101.0,-88966,8.0,SELL-PARTIAL,5 - Large
