,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,XOM,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,65571000,762108,86.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,68015000,752802,90.0,9306,-4.0,SELL-PARTIAL,6 - Mega
1,AAPL,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,61214000,128399,476.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,50381000,127057,396.0,1342,80.0,SELL-PARTIAL,6 - Mega
2,RTX,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,41770000,387414,107.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,36305000,390635,92.0,-3221,15.0,SELL-PARTIAL,5 - Large
3,ORCL,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,38503000,1160796,33.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,35012000,1140088,30.0,20708,3.0,SELL-PARTIAL,5 - Large
4,TMO,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,37742000,409573,92.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,36002000,425405,84.0,-15832,8.0,SELL-PARTIAL,5 - Large
5,SLB,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,36617000,414418,88.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,29817000,416092,71.0,-1674,17.0,SELL-PARTIAL,6 - Mega
6,GOOGL,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,36447000,41611,875.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,37060000,42096,880.0,-485,-5.0,SELL-PARTIAL,5 - Large
7,JPM,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,35532000,687415,51.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,35616000,674678,52.0,12737,-1.0,SELL-PARTIAL,6 - Mega
8,IBM,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,35529000,191867,185.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,36781000,192464,191.0,-597,-6.0,BUY-MORE,6 - Mega
9,JNJ,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,33798000,389873,86.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,33777000,393404,85.0,-3531,1.0,SELL-PARTIAL,6 - Mega
10,PX,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,30504000,253756,120.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,29765000,258467,115.0,-4711,5.0,SELL-PARTIAL,6 - Mega
11,GILD,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,30392000,483416,62.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,25545000,498249,51.0,-14833,11.0,SELL-PARTIAL,6 - Mega
12,COF,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,30333000,441283,68.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,26083000,415273,62.0,26010,6.0,BUY-MORE,6 - Mega
13,QCOM,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,29337000,435791,67.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,26342000,431204,61.0,4587,6.0,BUY-MORE,6 - Mega
14,MCD,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,28611000,297385,96.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,30003000,303062,98.0,-5677,-2.0,SELL-PARTIAL,6 - Mega
15,PEP,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,26712000,336009,79.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,27358000,334498,81.0,1511,-2.0,SELL-PARTIAL,5 - Large
16,GE,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,26300000,1100890,23.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,25484000,1098950,23.0,1940,0.0,SELL-PARTIAL,5 - Large
17,DHR,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,26200000,377958,69.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,24539000,387662,63.0,-9704,6.0,SELL-PARTIAL,6 - Mega
18,BBBY,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,26044000,336665,77.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,23972000,337874,70.0,-1209,7.0,SELL-PARTIAL,6 - Mega
19,BWA,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,25549000,251990,101.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,21984000,255185,86.0,-3195,15.0,BUY-MORE,6 - Mega
20,TGT,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,25529000,399021,63.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,1399000,20331,68.0,378690,-5.0,BUY-MORE,5 - Large
21,CVX,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,25320000,208399,121.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,24728000,208964,118.0,-565,3.0,SELL-PARTIAL,6 - Mega
22,MDLZ,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,24744000,787517,31.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,22313000,782098,28.0,5419,3.0,BUY-MORE,5 - Large
23,VOD,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,24485000,696004,35.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,22828000,794159,28.0,-98155,7.0,BUY-MORE,5 - Large
24,EMC,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,23386000,914962,25.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,22530000,953880,23.0,-38918,2.0,SELL-PARTIAL,5 - Large
25,BKNG,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-09-30,22512000,22269,1010.0,PRIO WEALTH LIMITED PARTNERSHIP,SHR,2013-06-30,18856000,22810,826.0,-541,184.0,SELL-PARTIAL,5 - Large
