,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,VOO,PROVIDA PENSION FUND ADMINISTRATOR,FND,2014-03-31,718983000,4195990,171.0,PROVIDA PENSION FUND ADMINISTRATOR,FND,2013-12-31,1647252000,9738404,169.0,-5542414,2.0,,
1,EWJ,PROVIDA PENSION FUND ADMINISTRATOR,FND,2014-03-31,599979000,52954927,11.0,PROVIDA PENSION FUND ADMINISTRATOR,FND,2013-12-31,1126346000,92856210,12.0,-39901283,-1.0,,
2,EZU,PROVIDA PENSION FUND ADMINISTRATOR,FND,2014-03-31,407884000,9649482,42.0,PROVIDA PENSION FUND ADMINISTRATOR,FND,2013-12-31,671450000,16301298,41.0,-6651816,1.0,,
3,XLK,PROVIDA PENSION FUND ADMINISTRATOR,FND,2014-03-31,407767000,11217796,36.0,PROVIDA PENSION FUND ADMINISTRATOR,FND,2013-12-31,600518000,16802398,35.0,-5584602,1.0,,
4,VTV,PROVIDA PENSION FUND ADMINISTRATOR,FND,2014-03-31,406406000,5203000,78.0,PROVIDA PENSION FUND ADMINISTRATOR,FND,2013-12-31,794914000,10406000,76.0,-5203000,2.0,,
5,IVV,PROVIDA PENSION FUND ADMINISTRATOR,FND,2014-03-31,345228000,1834953,188.0,PROVIDA PENSION FUND ADMINISTRATOR,FND,2013-12-31,761098000,4118500,184.0,-2283547,4.0,,
6,IWM,PROVIDA PENSION FUND ADMINISTRATOR,FND,2014-03-31,297095000,2553680,116.0,PROVIDA PENSION FUND ADMINISTRATOR,FND,2013-12-31,526926000,4584360,114.0,-2030680,2.0,,
7,XLI,PROVIDA PENSION FUND ADMINISTRATOR,FND,2014-03-31,265281000,5069387,52.0,PROVIDA PENSION FUND ADMINISTRATOR,FND,2013-12-31,446938000,8552200,52.0,-3482813,0.0,,
8,FXI,PROVIDA PENSION FUND ADMINISTRATOR,FND,2014-03-31,178258000,4982068,35.0,PROVIDA PENSION FUND ADMINISTRATOR,FND,2013-12-31,38208000,1006508,37.0,3975560,-2.0,BUY-MORE,5 - Large
9,XLB,PROVIDA PENSION FUND ADMINISTRATOR,FND,2014-03-31,178148000,3767932,47.0,PROVIDA PENSION FUND ADMINISTRATOR,FND,2013-12-31,375376000,8121498,46.0,-4353566,1.0,,
