,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,HPQ,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,650027000,30983162,20.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,816470000,32922187,24.0,-1939025,-4.0,SELL-PARTIAL,5 - Large
1,ORCL,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,571789000,17238143,33.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,433429000,14109021,30.0,3129122,3.0,SELL-PARTIAL,5 - Large
2,BHI,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,520785000,10606614,49.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,434807000,9425678,46.0,1180936,3.0,BUY-MORE,5 - Large
3,AIG,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,510222000,10491924,48.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,472165000,10562975,44.0,-71051,4.0,BUY-MORE,6 - Mega
4,MSFT,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,484738000,14552334,33.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,429046000,12425297,34.0,2127037,-1.0,SELL-PARTIAL,5 - Large
5,SPLS,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,475121000,32431464,14.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,554613000,34969289,15.0,-2537825,-1.0,BUY-MORE,6 - Mega
6,OMC,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,466605000,7355064,63.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,481717000,7662119,62.0,-307055,1.0,SELL-PARTIAL,6 - Mega
7,BP,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,465614000,11078125,42.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,421050000,10087451,41.0,990674,1.0,SELL-PARTIAL,5 - Large
8,RDS.A,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,457469000,6965119,65.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,390059000,6113781,63.0,851338,2.0,BUY-MORE,5 - Large
9,C,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,391656000,8073711,48.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,404048000,8422933,47.0,-349222,1.0,BUY-MORE,6 - Mega
10,BAC,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,347825000,25204706,13.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,320303000,24906945,12.0,297761,1.0,SELL-PARTIAL,5 - Large
11,MS,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,343075000,12730045,26.0,PZENA INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,324219000,13271340,24.0,-541295,2.0,SELL-PARTIAL,6 - Mega
