,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GOOGL,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,199359000,227605,875.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,264996000,301005,880.0,-73400,-5.0,SELL-PARTIAL,5 - Large
1,AMZN,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,175328000,560796,312.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,159258000,573516,277.0,-12720,35.0,SELL-PARTIAL,4 - Mid
2,FBHS,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,166249000,3993510,41.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,150912000,3895450,38.0,98060,3.0,SELL-PARTIAL,5 - Large
3,V,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,165940000,868347,191.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,153821000,841714,182.0,26633,9.0,SELL-PARTIAL,4 - Mid
4,GILD,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,165866000,2639490,62.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,149012000,2909860,51.0,-270370,11.0,SELL-PARTIAL,4 - Mid
5,BEAV,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,162581000,2202360,73.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,104887000,1662730,63.0,539630,10.0,SELL-PARTIAL,4 - Mid
6,EOG,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,143200000,845930,169.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,119913000,910640,131.0,-64710,38.0,SELL-PARTIAL,4 - Mid
7,CPRI,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,142856000,1917080,74.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,140754000,2269540,62.0,-352460,12.0,SELL-PARTIAL,5 - Large
8,CTXS,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,142634000,2020047,70.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,75534000,1252027,60.0,768020,10.0,SELL-PARTIAL,5 - Large
9,SHW,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,139886000,767820,182.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,89544000,507030,176.0,260790,6.0,SELL-PARTIAL,3 - Small
10,PCP,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,131661000,579381,227.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,147162000,651131,226.0,-71750,1.0,SELL-PARTIAL,5 - Large
11,CRM,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,128877000,2482750,51.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,95634000,2504790,38.0,-22040,13.0,SELL-PARTIAL,4 - Mid
12,AGN,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,126454000,878200,143.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,89015000,705230,126.0,172970,17.0,SELL-PARTIAL,4 - Mid
13,DFS,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,123799000,2449560,50.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,112131000,2353700,47.0,95860,3.0,SELL-PARTIAL,5 - Large
14,LBTYA,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,123173000,1552270,79.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,124777000,1684330,74.0,-132060,5.0,SELL-PARTIAL,4 - Mid
15,FB,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-09-30,120389000,2396280,50.0,RAINIER INVESTMENT MANAGEMENT LLC,SHR,2013-06-30,40265000,1619600,24.0,776680,26.0,SELL-PARTIAL,4 - Mid
