,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,MMS,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-09-30,83362000,1850841,45.0,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-06-30,37799000,507503,74.0,1343338,-29.0,BUY-MORE,4 - Mid
1,GPI,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-09-30,72634000,935035,77.0,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-06-30,48938000,760728,64.0,174307,13.0,BUY-MORE,3 - Small
2,GPOR,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-09-30,68781000,1069023,64.0,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-06-30,59621000,1266097,47.0,-197074,17.0,SELL-PARTIAL,4 - Mid
3,ABCO,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-09-30,64074000,1077235,59.0,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-06-30,57454000,1051315,54.0,25920,5.0,BUY-MORE,4 - Mid
4,HCSG,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-09-30,62751000,2436002,25.0,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-06-30,57015000,2325241,24.0,110761,1.0,BUY-MORE,4 - Mid
5,PVTB,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-09-30,62447000,2918095,21.0,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-06-30,66138000,3116048,21.0,-197953,0.0,BUY-MORE,4 - Mid
6,ENS,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-09-30,59516000,981623,60.0,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-06-30,41488000,846000,49.0,135623,11.0,BUY-MORE,3 - Small
7,EXPR,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-09-30,58174000,2466030,23.0,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-06-30,37664000,1796090,20.0,669940,3.0,SELL-PARTIAL,4 - Mid
8,ABG,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-09-30,56420000,1060535,53.0,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-06-30,41458000,1033875,40.0,26660,13.0,SELL-PARTIAL,3 - Small
9,SHOO,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-09-30,55375000,1028699,53.0,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-06-30,19368000,400334,48.0,628365,5.0,BUY-MORE,3 - Small
10,CNC,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-09-30,51453000,804450,63.0,RANGER INVESTMENT MANAGEMENT LP,SHR,2013-06-30,37786000,720289,52.0,84161,11.0,BUY-MORE,4 - Mid
