,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NFG,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-09-30,167388000,2434385,68.0,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-06-30,123377000,2129018,57.0,305367,11.0,SELL-PARTIAL,5 - Large
1,WBA,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-09-30,163754000,3043761,53.0,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-06-30,135409000,3063556,44.0,-19795,9.0,SELL-PARTIAL,5 - Large
2,INTC,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-09-30,160535000,7003850,22.0,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-06-30,171144000,7063330,24.0,-59480,-2.0,SELL-PARTIAL,5 - Large
3,OXY,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-09-30,154358000,1650186,93.0,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-06-30,144071000,1614600,89.0,35586,4.0,SELL-PARTIAL,5 - Large
4,CVX,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-09-30,144815000,1191893,121.0,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-06-30,148154000,1251933,118.0,-60040,3.0,SELL-PARTIAL,5 - Large
5,OMI,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-09-30,137928000,3987521,34.0,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-06-30,144628000,4275153,33.0,-287632,1.0,BUY-MORE,4 - Mid
6,WU,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-09-30,135318000,7251790,18.0,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-06-30,106063000,6198880,17.0,1052910,1.0,BUY-MORE,4 - Mid
7,KSS,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-09-30,134467000,2598400,51.0,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-06-30,132939000,2631943,50.0,-33543,1.0,SELL-PARTIAL,5 - Large
8,UPS,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-09-30,133227000,1458105,91.0,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-06-30,126809000,1466335,86.0,-8230,5.0,SELL-PARTIAL,5 - Large
9,CME,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-09-30,130391000,1764907,73.0,RIVER ROAD ASSET MANAGEMENT LLC,SHR,2013-06-30,117515000,1547267,75.0,217640,-2.0,BUY-MORE,5 - Large
