,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,ULTI,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,169352000,1148931,147.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,156746000,1336396,117.0,-187465,30.0,SELL-PARTIAL,4 - Mid
1,PRAA,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,147992000,2469421,59.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,123631000,804735,153.0,1664686,-94.0,SELL-PARTIAL,4 - Mid
2,LKQ,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,138723000,4352784,31.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,140635000,5461562,25.0,-1108778,6.0,SELL-PARTIAL,4 - Mid
3,NATI,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,136841000,4424221,30.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,108181000,3871902,27.0,552319,3.0,SELL-PARTIAL,4 - Mid
4,CSGP,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,134992000,803947,167.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,101391000,785553,129.0,18394,38.0,SELL-PARTIAL,4 - Mid
5,CPHD,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,134695000,3450170,39.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,105644000,3069272,34.0,380898,5.0,SELL-PARTIAL,4 - Mid
6,MMS,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,124814000,2771188,45.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,100058000,1343415,74.0,1427773,-29.0,SELL-PARTIAL,4 - Mid
7,UNFI,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,115890000,1722963,67.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,85279000,1579527,53.0,143436,14.0,SELL-PARTIAL,4 - Mid
8,CNQR,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,109990000,995388,110.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,78685000,966879,81.0,28509,29.0,SELL-PARTIAL,4 - Mid
9,MD,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,109596000,1091595,100.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,97450000,1064098,91.0,27497,9.0,SELL-PARTIAL,5 - Large
10,ATHN,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,108046000,995062,108.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,81874000,966314,84.0,28748,24.0,BUY-MORE,4 - Mid
11,LOPE,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,105172000,2613611,40.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,83094000,2578147,32.0,35464,8.0,SELL-PARTIAL,5 - Large
12,BECN,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,103120000,2796859,36.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,103060000,2720702,37.0,76157,-1.0,SELL-PARTIAL,3 - Small
13,GNTX,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,101014000,3947393,25.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,78788000,3418148,23.0,529245,2.0,SELL-PARTIAL,5 - Large
14,CHE,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,97970000,1370203,71.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,96677000,1334763,72.0,35440,-1.0,SELL-PARTIAL,5 - Large
15,TRAK,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,96819000,2260013,42.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,77802000,2195948,35.0,64065,7.0,SELL-PARTIAL,4 - Mid
16,ROL,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,95797000,3613602,26.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,102184000,3945327,25.0,-331725,1.0,SELL-PARTIAL,6 - Mega
17,PRLB,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,91670000,1200028,76.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,75174000,1157064,64.0,42964,12.0,BUY-MORE,5 - Large
18,NEOG,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,88552000,1458361,60.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,78916000,1420371,55.0,37990,5.0,BUY-MORE,3 - Small
19,TECH,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,86720000,1083186,80.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,74064000,1072155,69.0,11031,11.0,SELL-PARTIAL,4 - Mid
20,IPCM,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,86241000,1690674,51.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,84128000,1638014,51.0,52660,0.0,SELL-PARTIAL,5 - Large
21,MINI,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,82048000,2408915,34.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,77289000,2331491,33.0,77424,1.0,SELL-PARTIAL,3 - Small
22,RBA,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,81341000,4030789,20.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,62283000,3240547,19.0,790242,1.0,SELL-PARTIAL,5 - Large
23,SMTC,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,76670000,2556532,29.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,87199000,2489265,35.0,67267,-6.0,SELL-PARTIAL,4 - Mid
24,SRCL,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,74633000,646736,115.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,68056000,616283,110.0,30453,5.0,BUY-MORE,4 - Mid
25,CCMP,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,66277000,1721036,38.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,44820000,1357768,33.0,363268,5.0,BUY-MORE,4 - Mid
26,ABAX,RIVERBRIDGE PARTNERS LLC,SHR,2013-09-30,65444000,1553943,42.0,RIVERBRIDGE PARTNERS LLC,SHR,2013-06-30,71518000,1505321,47.0,48622,-5.0,SELL-PARTIAL,4 - Mid
