,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CIEIQ,RIVERSTONE HOLDINGS LLC,SHR,2013-09-30,865697000,34822878,24.0,RIVERSTONE HOLDINGS LLC,SHR,2013-06-30,925244000,34822878,26.0,0,-2.0,HOLD,4 - Mid
1,PVL,RIVERSTONE HOLDINGS LLC,SHR,2013-09-30,337940000,24400000,13.0,RIVERSTONE HOLDINGS LLC,SHR,2013-06-30,208956000,13200000,15.0,11200000,-2.0,HOLD,4 - Mid
2,SDOC,RIVERSTONE HOLDINGS LLC,SHR,2013-09-30,301033000,51370888,5.0,RIVERSTONE HOLDINGS LLC,SHR,2013-06-30,244525000,51370888,4.0,0,1.0,HOLD,3 - Small
3,NKA,RIVERSTONE HOLDINGS LLC,SHR,2013-09-30,268907000,17404962,15.0,RIVERSTONE HOLDINGS LLC,SHR,2013-06-30,253864000,16992245,14.0,412717,1.0,HOLD,3 - Small
4,ARPJQ,RIVERSTONE HOLDINGS LLC,SHR,2013-09-30,159014000,7593800,20.0,RIVERSTONE HOLDINGS LLC,SHR,2013-06-30,166245000,7591111,21.0,2689,-1.0,SELL-PARTIAL,3 - Small
0,CIEIQ,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,572836000,34822878,16.0,RIVERSTONE HOLDINGS LLC,SHR,2013-09-30,865697000,34822878,24.0,0,-8.0,HOLD,4 - Mid
1,USAC,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,497469000,18562271,26.0,RIVERSTONE HOLDINGS LLC,SHR,2013-09-30,434056000,18222317,23.0,339954,3.0,HOLD,4 - Mid
2,SDOC,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,311821000,51370888,6.0,RIVERSTONE HOLDINGS LLC,SHR,2013-09-30,301033000,51370888,5.0,0,1.0,HOLD,3 - Small
3,PVL,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,294996000,24400000,12.0,RIVERSTONE HOLDINGS LLC,SHR,2013-09-30,337940000,24400000,13.0,0,-1.0,HOLD,3 - Small
4,NKA,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,256897000,17404962,14.0,RIVERSTONE HOLDINGS LLC,SHR,2013-09-30,268907000,17404962,15.0,0,-1.0,SELL-PARTIAL,3 - Small
5,ARPJQ,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,155466000,7591111,20.0,RIVERSTONE HOLDINGS LLC,SHR,2013-09-30,159014000,7593800,20.0,-2689,0.0,SELL-PARTIAL,3 - Small
0,PEGI,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,875431000,32268007,27.0,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,978043000,32268007,30.0,0,-3.0,HOLD,4 - Mid
1,CIEIQ,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,637955000,34822878,18.0,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,572836000,34822878,16.0,0,2.0,HOLD,4 - Mid
2,USAC,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,508704000,19386567,26.0,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,497469000,18562271,26.0,824296,0.0,HOLD,3 - Small
3,SDOC,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,315417000,51370888,6.0,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,311821000,51370888,6.0,0,0.0,HOLD,3 - Small
4,PVL,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,305732000,24400000,12.0,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,294996000,24400000,12.0,0,0.0,SELL-PARTIAL,3 - Small
5,NKA,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,252720000,17404962,14.0,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,256897000,17404962,14.0,0,0.0,SELL-PARTIAL,3 - Small
6,ARPJQ,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,158578000,7591111,20.0,RIVERSTONE HOLDINGS LLC,SHR,2013-12-31,155466000,7591111,20.0,0,0.0,SELL-PARTIAL,3 - Small
0,PEGI,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,728420000,22000000,33.0,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,875431000,32268007,27.0,-10268007,6.0,HOLD,4 - Mid
1,CIEIQ,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,639000000,34822878,18.0,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,637955000,34822878,18.0,0,0.0,HOLD,4 - Mid
2,SDOC,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,367302000,51370888,7.0,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,315417000,51370888,6.0,0,1.0,HOLD,3 - Small
3,PVL,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,337452000,24400000,13.0,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,305732000,24400000,12.0,0,1.0,HOLD,3 - Small
4,NKA,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,269325000,17500000,15.0,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,252720000,17404962,14.0,95038,1.0,SELL-PARTIAL,3 - Small
5,ARPJQ,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,154002000,7593800,20.0,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,158578000,7591111,20.0,2689,0.0,SELL-PARTIAL,3 - Small
6,USAC,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,108672000,4228495,25.0,RIVERSTONE HOLDINGS LLC,SHR,2014-03-31,508704000,19386567,26.0,-15158072,-1.0,SELL-PARTIAL,3 - Small
0,EPEGQ,RIVERSTONE HOLDINGS LLC,SHR,2014-09-30,546717000,31276726,17.0,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,720929000,31276726,23.0,0,-6.0,HOLD,4 - Mid
1,CIEIQ,RIVERSTONE HOLDINGS LLC,SHR,2014-09-30,473591000,34822878,13.0,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,639000000,34822878,18.0,0,-5.0,HOLD,4 - Mid
2,NKA,RIVERSTONE HOLDINGS LLC,SHR,2014-09-30,238677000,19124742,12.0,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,269325000,17500000,15.0,1624742,-3.0,HOLD,3 - Small
3,SDOC,RIVERSTONE HOLDINGS LLC,SHR,2014-09-30,220381000,51370888,4.0,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,367302000,51370888,7.0,0,-3.0,HOLD,3 - Small
4,PEGI,RIVERSTONE HOLDINGS LLC,SHR,2014-09-30,202672000,6554738,30.0,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,728420000,22000000,33.0,-15445262,-3.0,SELL-PARTIAL,3 - Small
5,ARPJQ,RIVERSTONE HOLDINGS LLC,SHR,2014-09-30,147775000,7593800,19.0,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,154002000,7593800,20.0,0,-1.0,SELL-PARTIAL,3 - Small
6,USAC,RIVERSTONE HOLDINGS LLC,SHR,2014-09-30,108863000,4481820,24.0,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,108672000,4228495,25.0,253325,-1.0,SELL-PARTIAL,3 - Small
7,PVL,RIVERSTONE HOLDINGS LLC,SHR,2014-09-30,97180000,8600000,11.0,RIVERSTONE HOLDINGS LLC,SHR,2014-06-30,337452000,24400000,13.0,-15800000,-2.0,SELL-PARTIAL,4 - Mid
0,PEGI,RIVERSTONE HOLDINGS LLC,SHR,2014-12-31,541596000,21962546,24.0,RIVERSTONE HOLDINGS LLC,SHR,2014-09-30,202672000,6554738,30.0,15407808,-6.0,HOLD,4 - Mid
