,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,GOOGL,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,59794000,68265,875.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-06-30,60098000,68265,880.0,0,-5.0,BUY-MORE,4 - Mid
1,MSFT,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,58699000,1763800,33.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-06-30,68599000,1985800,34.0,-222000,-1.0,BUY-MORE,5 - Large
2,MSFT,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,58699000,1763800,33.0,ROUTE ONE INVESTMENT COMPANY LP,CLL,2013-06-30,34545000,1000000,34.0,763800,-1.0,BUY-MORE,5 - Large
3,SCHW,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,47544000,2249000,21.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-06-30,55432000,2611000,21.0,-362000,0.0,BUY-MORE,5 - Large
4,V,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,42291000,221304,191.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-06-30,57731000,315904,182.0,-94600,9.0,BUY-MORE,6 - Mega
5,WCN,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,39798000,1546765,25.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-06-30,33271000,1546765,21.0,0,4.0,BUY-MORE,4 - Mid
6,ORCL,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,35608000,1073500,33.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-06-30,32967000,1073500,30.0,0,3.0,BUY-MORE,4 - Mid
7,DG,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,25486000,451400,56.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-06-30,22764000,451400,50.0,0,6.0,BUY-MORE,6 - Mega
0,TFCF,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-12-31,97186000,2808854,34.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,93816000,2808854,33.0,0,1.0,BUY-MORE,4 - Mid
1,MSFT,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-12-31,58502000,1563800,37.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,58699000,1763800,33.0,-200000,4.0,BUY-MORE,5 - Large
2,MSFT,ROUTE ONE INVESTMENT COMPANY LP,CLL,2013-12-31,28058000,750000,37.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,58699000,1763800,33.0,-1013800,4.0,BUY-MORE,5 - Large
3,SCHW,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-12-31,58474000,2249000,26.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,47544000,2249000,21.0,0,5.0,BUY-MORE,5 - Large
4,GOOGL,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-12-31,56332000,50265,1120.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,59794000,68265,875.0,-18000,245.0,BUY-MORE,6 - Mega
5,V,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-12-31,45828000,205804,222.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,42291000,221304,191.0,-15500,31.0,BUY-MORE,4 - Mid
6,WCN,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-12-31,38282000,1546765,24.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,39798000,1546765,25.0,0,-1.0,BUY-MORE,4 - Mid
7,ORCL,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-12-31,16165000,422500,38.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-09-30,35608000,1073500,33.0,-651000,5.0,BUY-MORE,6 - Mega
0,TWC,ROUTE ONE INVESTMENT COMPANY LP,SHR,2014-03-31,101033000,736500,137.0,ROUTE ONE INVESTMENT COMPANY LP,SHR,2013-12-31,53726000,396500,135.0,340000,2.0,BUY-MORE,4 - Mid
