,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,TRQ,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,532224000,171685210,3.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,629260000,168251366,3.0,3433844,0.0,SELL-PARTIAL,5 - Large
1,SQM,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,385842000,16157531,23.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,438549000,16776928,26.0,-619397,-3.0,SELL-PARTIAL,5 - Large
2,RRC,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,362352000,6779261,53.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,428138000,6313791,67.0,465470,-14.0,SELL-PARTIAL,5 - Large
3,MOS,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,324820000,7115437,45.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,394846000,8890935,44.0,-1775498,1.0,SELL-PARTIAL,4 - Mid
4,NBL,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,320630000,6760077,47.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,349671000,5115144,68.0,1644933,-21.0,BUY-MORE,4 - Mid
5,COG,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,305221000,10308043,29.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,439760000,13452447,32.0,-3144404,-3.0,SELL-PARTIAL,4 - Mid
6,AR,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,230232000,5673528,40.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,256387000,4670923,54.0,1002605,-14.0,BUY-MORE,3 - Small
7,KOS,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,178508000,21276315,8.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,167159000,16783057,9.0,4493258,-1.0,SELL-PARTIAL,5 - Large
8,GG,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,170794000,9222160,18.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,273213000,11863333,23.0,-2641173,-5.0,BUY-MORE,5 - Large
9,LPI,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,162966000,15745499,10.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,230694000,10294257,22.0,5451242,-12.0,SELL-PARTIAL,4 - Mid
10,ROSE1,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,153979000,6901800,22.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,268798000,6032271,44.0,869529,-22.0,SELL-PARTIAL,5 - Large
11,CXO,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,152985000,1533680,99.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,94945000,757198,125.0,776482,-26.0,SELL-PARTIAL,3 - Small
12,DNR,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,136409000,16778441,8.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,257576000,17137456,15.0,-359015,-7.0,SELL-PARTIAL,5 - Large
13,HBM,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,136211000,15692485,8.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,139567000,16304576,8.0,-612091,0.0,SELL-PARTIAL,4 - Mid
14,CMP,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,129553000,1492029,86.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,249367000,2958792,84.0,-1466763,2.0,BUY-MORE,4 - Mid
15,CPN,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,128003000,5784145,22.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,237799000,10958471,21.0,-5174326,1.0,SELL-PARTIAL,5 - Large
16,AAV,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,28700000,5978713,4.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,20402000,3585540,5.0,2393173,-1.0,SELL-PARTIAL,3 - Small
17,TGB,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,28574000,27741826,1.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,47859000,28152349,1.0,-410523,0.0,SELL-PARTIAL,3 - Small
18,SWN,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,22956000,841176,27.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-09-30,214369000,6133577,34.0,-5292401,-7.0,SELL-PARTIAL,5 - Large
0,TRQ,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,574543000,184148398,3.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,532224000,171685210,3.0,12463188,0.0,SELL-PARTIAL,5 - Large
1,RRC,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,441337000,8480731,52.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,362352000,6779261,53.0,1701470,-1.0,SELL-PARTIAL,5 - Large
2,COG,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,371974000,12596464,29.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,305221000,10308043,29.0,2288421,0.0,SELL-PARTIAL,5 - Large
3,NBL,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,360030000,7362575,48.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,320630000,6760077,47.0,602498,1.0,SELL-PARTIAL,4 - Mid
4,AR,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,333013000,9428440,35.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,230232000,5673528,40.0,3754912,-5.0,BUY-MORE,4 - Mid
5,SQM,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,327399000,17939691,18.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,385842000,16157531,23.0,1782160,-5.0,SELL-PARTIAL,4 - Mid
6,LPI,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,306046000,23469772,13.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,162966000,15745499,10.0,7724273,3.0,BUY-MORE,3 - Small
7,MOS,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,239296000,5195310,46.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,324820000,7115437,45.0,-1920127,1.0,SELL-PARTIAL,5 - Large
8,CXO,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,232484000,2005552,115.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,152985000,1533680,99.0,471872,16.0,BUY-MORE,5 - Large
9,EOG,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,193376000,2109024,91.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,57682000,626507,92.0,1482517,-1.0,SELL-PARTIAL,4 - Mid
10,GG,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,183219000,10111402,18.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,170794000,9222160,18.0,889242,0.0,SELL-PARTIAL,5 - Large
11,ROSE1,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,181054000,10637696,17.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,153979000,6901800,22.0,3735896,-5.0,SELL-PARTIAL,3 - Small
12,KOS,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,180875000,22866627,7.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,178508000,21276315,8.0,1590312,-1.0,SELL-PARTIAL,5 - Large
13,SWN,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,168658000,7272884,23.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,22956000,841176,27.0,6431708,-4.0,SELL-PARTIAL,4 - Mid
14,HBM,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,136834000,16727843,8.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,136211000,15692485,8.0,1035358,0.0,BUY-MORE,4 - Mid
15,DNR,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,133559000,18320891,7.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,136409000,16778441,8.0,1542450,-1.0,SELL-PARTIAL,5 - Large
16,AAV,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,43668000,8109390,5.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,28700000,5978713,4.0,2130677,1.0,SELL-PARTIAL,3 - Small
17,TGB,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,17484000,27323216,0.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,28574000,27741826,1.0,-418610,-1.0,SELL-PARTIAL,3 - Small
18,CPN,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,16202000,708442,22.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2014-12-31,128003000,5784145,22.0,-5075703,0.0,SELL-PARTIAL,5 - Large
0,TRQ,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-06-30,711042000,187610110,3.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,574543000,184148398,3.0,3461712,0.0,SELL-PARTIAL,5 - Large
1,RRC,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-06-30,470425000,9526639,49.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,441337000,8480731,52.0,1045908,-3.0,SELL-PARTIAL,5 - Large
2,AR,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-06-30,369007000,10745677,34.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,333013000,9428440,35.0,1317237,-1.0,SELL-PARTIAL,5 - Large
3,COG,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-06-30,348567000,11051584,31.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,371974000,12596464,29.0,-1544880,2.0,SELL-PARTIAL,4 - Mid
4,SQM,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-06-30,339119000,21168478,16.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,327399000,17939691,18.0,3228787,-2.0,BUY-MORE,4 - Mid
5,LPI,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-06-30,326770000,25975383,12.0,SAILINGSTONE CAPITAL PARTNERS LLC,SHR,2015-03-31,306046000,23469772,13.0,2505611,-1.0,SELL-PARTIAL,4 - Mid
