,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,V,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,2618816000,13703902,191.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,2639919000,14445520,182.0,-741618,9.0,SELL-PARTIAL,6 - Mega
1,AMZN,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,2424134000,7753755,312.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,2321290000,8359285,277.0,-605530,35.0,SELL-PARTIAL,6 - Mega
2,CRM,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,2335951000,45000023,51.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,1784685000,46743984,38.0,-1743961,13.0,SELL-PARTIAL,6 - Mega
3,GOOGL,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,2263753000,2584458,875.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,2444334000,2776485,880.0,-192027,-5.0,SELL-PARTIAL,6 - Mega
4,BIDU,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,2154097000,13881278,155.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,874435000,9243497,94.0,4637781,61.0,BUY-MORE,5 - Large
5,FB,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,1769413000,35226219,50.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,888838000,35724981,24.0,-498762,26.0,SELL-PARTIAL,5 - Large
6,BKNG,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,1659729000,1641752,1010.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,1235195000,1494181,826.0,147571,184.0,BUY-MORE,5 - Large
7,ASML,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,1644053000,16646949,98.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,1318577000,16667634,79.0,-20685,19.0,SELL-PARTIAL,5 - Large
8,NKE,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,1376255000,18946246,72.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,1223326000,19210521,63.0,-264275,9.0,SELL-PARTIAL,5 - Large
9,SLB,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,1344580000,15217069,88.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,1073914000,14986234,71.0,230835,17.0,SELL-PARTIAL,5 - Large
10,CMG,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,1191725000,2779209,428.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,1026103000,2816255,364.0,-37046,64.0,SELL-PARTIAL,5 - Large
11,REGN,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-09-30,1181822000,3777357,312.0,SANDS CAPITAL MANAGEMENT LLC,SHR,2013-06-30,705852000,3138793,224.0,638564,88.0,SELL-PARTIAL,5 - Large
