,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,NCR,SCHARF INVESTMENTS LLC,SHR,2013-09-30,102835000,2596193,39.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,83177000,2521288,32.0,74905,7.0,SELL-PARTIAL,6 - Mega
1,DG,SCHARF INVESTMENTS LLC,SHR,2013-09-30,100008000,1771300,56.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,88227000,1749490,50.0,21810,6.0,SELL-PARTIAL,5 - Large
2,AIG,SCHARF INVESTMENTS LLC,SHR,2013-09-30,99333000,2042620,48.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,89011000,1991308,44.0,51312,4.0,SELL-PARTIAL,5 - Large
3,HAL,SCHARF INVESTMENTS LLC,SHR,2013-09-30,99234000,2060943,48.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,86130000,2064489,41.0,-3546,7.0,SELL-PARTIAL,5 - Large
4,MSFT,SCHARF INVESTMENTS LLC,SHR,2013-09-30,97731000,2936626,33.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,97714000,2829001,34.0,107625,-1.0,SELL-PARTIAL,5 - Large
5,APA,SCHARF INVESTMENTS LLC,SHR,2013-09-30,96647000,1135152,85.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,92446000,1102778,83.0,32374,2.0,SELL-PARTIAL,5 - Large
6,MCK,SCHARF INVESTMENTS LLC,SHR,2013-09-30,95904000,747499,128.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,85710000,748561,114.0,-1062,14.0,SELL-PARTIAL,6 - Mega
7,NVS,SCHARF INVESTMENTS LLC,SHR,2013-09-30,94824000,1236132,76.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,84852000,1199996,70.0,36136,6.0,BUY-MORE,5 - Large
8,CHKP,SCHARF INVESTMENTS LLC,SHR,2013-09-30,94299000,1667238,56.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,81991000,1650386,49.0,16852,7.0,SELL-PARTIAL,5 - Large
9,AAPL,SCHARF INVESTMENTS LLC,SHR,2013-09-30,93976000,197118,476.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,74525000,187943,396.0,9175,80.0,BUY-MORE,5 - Large
10,SNY,SCHARF INVESTMENTS LLC,SHR,2013-09-30,91020000,1797739,50.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,71302000,1384229,51.0,413510,-1.0,SELL-PARTIAL,5 - Large
11,AFL,SCHARF INVESTMENTS LLC,SHR,2013-09-30,90918000,1466648,61.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,84136000,1447632,58.0,19016,3.0,SELL-PARTIAL,5 - Large
12,VOD,SCHARF INVESTMENTS LLC,SHR,2013-09-30,90614000,2575736,35.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,74673000,2598210,28.0,-22474,7.0,BUY-MORE,5 - Large
13,AAP,SCHARF INVESTMENTS LLC,SHR,2013-09-30,88226000,1067079,82.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,83151000,1024410,81.0,42669,1.0,BUY-MORE,5 - Large
14,CVS,SCHARF INVESTMENTS LLC,SHR,2013-09-30,88171000,1553679,56.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,85348000,1492624,57.0,61055,-1.0,SELL-PARTIAL,4 - Mid
15,BRK.B,SCHARF INVESTMENTS LLC,SHR,2013-09-30,81871000,721264,113.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,81538000,728534,111.0,-7270,2.0,BUY-MORE,6 - Mega
16,ORCL,SCHARF INVESTMENTS LLC,SHR,2013-09-30,81527000,2457861,33.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,74697000,2432333,30.0,25528,3.0,SELL-PARTIAL,5 - Large
17,CVX,SCHARF INVESTMENTS LLC,SHR,2013-09-30,78904000,649419,121.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,76686000,648012,118.0,1407,3.0,BUY-MORE,6 - Mega
18,LMT,SCHARF INVESTMENTS LLC,SHR,2013-09-30,68147000,534275,127.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,65606000,604884,108.0,-70609,19.0,BUY-MORE,5 - Large
19,BIDU,SCHARF INVESTMENTS LLC,SHR,2013-09-30,53132000,342388,155.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,42452000,448755,94.0,-106367,61.0,SELL-PARTIAL,5 - Large
20,CP,SCHARF INVESTMENTS LLC,SHR,2013-09-30,50529000,409809,123.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,47802000,393821,121.0,15988,2.0,SELL-PARTIAL,5 - Large
21,TOT,SCHARF INVESTMENTS LLC,SHR,2013-09-30,48757000,841800,57.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,38015000,780592,48.0,61208,9.0,SELL-PARTIAL,4 - Mid
22,JNJ,SCHARF INVESTMENTS LLC,SHR,2013-09-30,37075000,427678,86.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,38853000,452517,85.0,-24839,1.0,SELL-PARTIAL,5 - Large
23,TMO,SCHARF INVESTMENTS LLC,SHR,2013-09-30,36475000,395827,92.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,42364000,500576,84.0,-104749,8.0,SELL-PARTIAL,5 - Large
24,DXJ,SCHARF INVESTMENTS LLC,FND,2013-09-30,2767000,57783,47.0,SCHARF INVESTMENTS LLC,FND,2013-06-30,2635000,57783,45.0,0,2.0,BUY-MORE,5 - Large
25,SLB,SCHARF INVESTMENTS LLC,SHR,2013-09-30,1096000,12400,88.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,889000,12400,71.0,0,17.0,BUY-MORE,6 - Mega
26,IBM,SCHARF INVESTMENTS LLC,SHR,2013-09-30,1001000,5404,185.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,803000,4204,191.0,1200,-6.0,BUY-MORE,6 - Mega
27,DIS,SCHARF INVESTMENTS LLC,SHR,2013-09-30,946000,14675,64.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,927000,14675,63.0,0,1.0,BUY-MORE,6 - Mega
28,GE,SCHARF INVESTMENTS LLC,SHR,2013-09-30,929000,38890,23.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,902000,38890,23.0,0,0.0,BUY-MORE,5 - Large
29,CNI,SCHARF INVESTMENTS LLC,SHR,2013-09-30,892000,8797,101.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,856000,8797,97.0,0,4.0,HOLD,5 - Large
30,MCD,SCHARF INVESTMENTS LLC,SHR,2013-09-30,646000,6711,96.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,664000,6711,98.0,0,-2.0,HOLD,4 - Mid
31,SU,SCHARF INVESTMENTS LLC,SHR,2013-09-30,532000,14880,35.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,510000,17280,29.0,-2400,6.0,BUY-MORE,5 - Large
32,L,SCHARF INVESTMENTS LLC,SHR,2013-09-30,421000,9013,46.0,SCHARF INVESTMENTS LLC,SHR,2013-06-30,400000,9013,44.0,0,2.0,SELL-PARTIAL,6 - Mega
0,AGN1,SCHARF INVESTMENTS LLC,SHR,2013-12-31,107504000,967805,111.0,SCHARF INVESTMENTS LLC,SHR,2013-09-30,90563000,1001250,90.0,-33445,21.0,SELL-PARTIAL,6 - Mega
1,CVS,SCHARF INVESTMENTS LLC,SHR,2013-12-31,106076000,1482135,71.0,SCHARF INVESTMENTS LLC,SHR,2013-09-30,88171000,1553679,56.0,-71544,15.0,SELL-PARTIAL,5 - Large
