,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,TD,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,452787000,4882327,92.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,437071000,5174275,84.0,-291948,8.0,SELL-PARTIAL,5 - Large
1,BNS,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,437451000,7414425,58.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,391428000,6962436,56.0,451989,2.0,SELL-PARTIAL,5 - Large
2,RY,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,392773000,5951106,66.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,363533000,5932332,61.0,18774,5.0,SELL-PARTIAL,5 - Large
3,SU,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,355265000,9646081,36.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,333442000,10756202,30.0,-1110121,6.0,SELL-PARTIAL,5 - Large
4,CM,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,328104000,3998346,82.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,294406000,3944346,74.0,54000,8.0,SELL-PARTIAL,5 - Large
5,CNQ,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,252724000,7807351,32.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,229428000,7737881,29.0,69470,3.0,SELL-PARTIAL,5 - Large
6,CVE,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,200194000,6512507,30.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,147772000,4925741,29.0,1586766,1.0,BUY-MORE,5 - Large
7,CNI,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,200165000,1917844,104.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,194056000,1895075,102.0,22769,2.0,BUY-MORE,5 - Large
8,TECK,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,149530000,5402105,27.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,119879000,5335051,22.0,67054,5.0,SELL-PARTIAL,5 - Large
9,AGU,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,147484000,1703641,86.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,135474000,1485787,91.0,217854,-5.0,BUY-MORE,5 - Large
10,TU,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,137899000,4039221,34.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,120581000,3927730,30.0,111491,4.0,SELL-PARTIAL,5 - Large
11,GOLD,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,135108000,7044209,19.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,129682000,7812183,16.0,-767974,3.0,SELL-PARTIAL,5 - Large
12,TLSMF,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,132511000,11210732,11.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,134161000,11180117,11.0,30615,0.0,SELL-PARTIAL,5 - Large
13,POT,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,129231000,4012147,32.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,192326000,4793772,40.0,-781625,-8.0,BUY-MORE,5 - Large
14,MGA,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,128931000,1517729,84.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,170751000,2280932,74.0,-763203,10.0,BUY-MORE,5 - Large
15,RCI,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,112547000,2541142,44.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,105501000,2560703,41.0,-19561,3.0,BUY-MORE,5 - Large
16,MFC,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,101001000,5927273,17.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,100420000,5966716,16.0,-39443,1.0,SELL-PARTIAL,5 - Large
17,GIL,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,85511000,1788930,47.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,86066000,2017965,42.0,-229035,5.0,BUY-MORE,5 - Large
18,SLF,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,60368000,1834884,32.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,36880000,1183964,31.0,650920,1.0,SELL-PARTIAL,4 - Mid
19,PDS,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,53149000,5200520,10.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,46538000,5199750,8.0,770,2.0,SELL-PARTIAL,5 - Large
20,OBELF,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,33709000,2949207,11.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,33204000,2991372,11.0,-42165,0.0,SELL-PARTIAL,4 - Mid
21,BCE,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,30404000,690676,44.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,30001000,695756,43.0,-5080,1.0,BUY-MORE,4 - Mid
22,UFS,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,23710000,289741,81.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,48986000,700296,69.0,-410555,12.0,SELL-PARTIAL,5 - Large
23,CCJ,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-09-30,23141000,1245456,18.0,SCHEER ROWLETT ASSOCIATES INVESTMENT MANAGEMENT LTD,SHR,2013-06-30,27214000,1253506,21.0,-8050,-3.0,BUY-MORE,5 - Large
