,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,SPR,SCOPIA CAPITAL MANAGEMENT LP,SHR,2013-09-30,463521000,19122141,24.0,SCOPIA CAPITAL MANAGEMENT LP,SHR,2013-06-30,395384000,18407094,21.0,715047,3.0,SELL-PARTIAL,5 - Large
1,SPY,SCOPIA CAPITAL MANAGEMENT LP,PUT,2013-09-30,232862000,1386000,168.0,SCOPIA CAPITAL MANAGEMENT LP,PUT,2013-06-30,327000000,2038400,160.0,-652400,8.0,BUY-MORE,5 - Large
2,GEO,SCOPIA CAPITAL MANAGEMENT LP,SHR,2013-09-30,197844000,5950181,33.0,SCOPIA CAPITAL MANAGEMENT LP,SHR,2013-06-30,239063000,7041613,33.0,-1091432,0.0,SELL-PARTIAL,4 - Mid
3,TEVA,SCOPIA CAPITAL MANAGEMENT LP,SHR,2013-09-30,177657000,4702417,37.0,SCOPIA CAPITAL MANAGEMENT LP,SHR,2013-06-30,137351000,3503860,39.0,1198557,-2.0,BUY-MORE,5 - Large
4,TEVA,SCOPIA CAPITAL MANAGEMENT LP,SHR,2013-09-30,177657000,4702417,37.0,SCOPIA CAPITAL MANAGEMENT LP,CLL,2013-06-30,59067000,1506800,39.0,3195617,-2.0,SELL-PARTIAL,4 - Mid
5,TEVA,SCOPIA CAPITAL MANAGEMENT LP,CLL,2013-09-30,76799000,2032800,37.0,SCOPIA CAPITAL MANAGEMENT LP,SHR,2013-06-30,137351000,3503860,39.0,-1471060,-2.0,BUY-MORE,5 - Large
6,TEVA,SCOPIA CAPITAL MANAGEMENT LP,CLL,2013-09-30,76799000,2032800,37.0,SCOPIA CAPITAL MANAGEMENT LP,CLL,2013-06-30,59067000,1506800,39.0,526000,-2.0,SELL-PARTIAL,3 - Small
7,BIDU,SCOPIA CAPITAL MANAGEMENT LP,CLL,2013-09-30,171070000,1102400,155.0,SCOPIA CAPITAL MANAGEMENT LP,SHR,2013-06-30,80302000,848837,94.0,253563,61.0,SELL-PARTIAL,3 - Small
8,BIDU,SCOPIA CAPITAL MANAGEMENT LP,SHR,2013-09-30,103296000,665656,155.0,SCOPIA CAPITAL MANAGEMENT LP,SHR,2013-06-30,80302000,848837,94.0,-183181,61.0,SELL-PARTIAL,4 - Mid
9,IWM,SCOPIA CAPITAL MANAGEMENT LP,PUT,2013-09-30,162122000,1520700,106.0,SCOPIA CAPITAL MANAGEMENT LP,PUT,2013-06-30,213934000,2205500,97.0,-684800,9.0,SELL-PARTIAL,4 - Mid
