,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,IWV,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,309685000,3061945,101.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,163965000,1700878,96.0,1361067,5.0,,
1,GLD,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,234250000,1827509,128.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,227717000,1911822,119.0,-84313,9.0,,
2,EFA,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,188919000,2961061,63.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,108758000,1898030,57.0,1063031,6.0,,
3,VWO,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,130827000,3259663,40.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,128309000,3307361,38.0,-47698,2.0,,
4,ECON,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,69605000,2583703,26.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,42177000,1634153,25.0,949550,1.0,,
5,VNQ,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,22658000,342573,66.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,4976000,72411,68.0,270162,-2.0,,
6,SPY,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,20490000,121958,168.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,17587000,109631,160.0,12327,8.0,,
7,IGE,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,5174000,124859,41.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,1163000,30388,38.0,94471,3.0,,
8,ACWX,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,1523000,33972,44.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,1818000,44655,40.0,-10683,4.0,,
9,XLF,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,631000,31696,19.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,616000,31696,19.0,0,0.0,,
10,XLE,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,483000,5823,82.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,1050000,17297,60.0,-11474,22.0,HOLD,4 - Mid
11,EEM,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,355000,8720,40.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-06-30,203000,5265,38.0,3455,2.0,,
0,IWV,SCS CAPITAL MANAGEMENT LLC,FND,2013-12-31,439890000,3975513,110.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,309685000,3061945,101.0,913568,9.0,,
1,EFA,SCS CAPITAL MANAGEMENT LLC,FND,2013-12-31,276591000,4122378,67.0,SCS CAPITAL MANAGEMENT LLC,FND,2013-09-30,188919000,2961061,63.0,1161317,4.0,,
