,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,FWONA,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,198890000,1351614,147.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,182938000,1443181,126.0,-91567,21.0,SELL-PARTIAL,5 - Large
1,L,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,127724000,2732642,46.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,118998000,2680127,44.0,52515,2.0,HOLD,5 - Large
2,VC,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,118868000,1571498,75.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,103189000,1634811,63.0,-63313,12.0,SELL-PARTIAL,5 - Large
3,LLL,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,115910000,1226557,94.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,113408000,1322695,85.0,-96138,9.0,HOLD,5 - Large
4,MRVL,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,107139000,9316393,11.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,115176000,9835700,11.0,-519307,0.0,BUY-MORE,5 - Large
5,ENDP,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,94377000,2076960,45.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,85635000,2327669,36.0,-250709,9.0,SELL-PARTIAL,4 - Mid
6,CHKP,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,81171000,1435130,56.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,76346000,1536752,49.0,-101622,7.0,BUY-MORE,5 - Large
7,WU,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,79416000,4255945,18.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,77914000,4553691,17.0,-297746,1.0,SELL-PARTIAL,4 - Mid
8,C,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,73444000,1513987,48.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,74494000,1552934,47.0,-38947,1.0,BUY-MORE,5 - Large
9,XPER,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,73067000,3778010,19.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,83939000,4035510,20.0,-257500,-1.0,SELL-PARTIAL,5 - Large
10,FITB,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,69976000,3876808,18.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,77151000,4274290,18.0,-397482,0.0,BUY-MORE,6 - Mega
11,PFE,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,66327000,2309023,28.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,69928000,2496522,28.0,-187499,0.0,BUY-MORE,6 - Mega
12,BRK.B,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,65499000,577036,113.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,69953000,625025,111.0,-47989,2.0,SELL-PARTIAL,6 - Mega
13,RF,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,65377000,7060119,9.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,72114000,7567034,9.0,-506915,0.0,BUY-MORE,4 - Mid
14,JPM,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,65108000,1259595,51.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,74771000,1416390,52.0,-156795,-1.0,SELL-PARTIAL,5 - Large
15,FCX,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,64269000,1942849,33.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,49889000,1806902,27.0,135947,6.0,BUY-MORE,6 - Mega
16,BAC,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,64105000,4645300,13.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,69380000,5395050,12.0,-749750,1.0,BUY-MORE,6 - Mega
17,BAC,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,64105000,4645300,13.0,SEIZERT CAPITAL PARTNERS LLC,WNT,2013-06-30,1437000,263190,5.0,4382110,8.0,SELL-PARTIAL,5 - Large
18,BAC,SEIZERT CAPITAL PARTNERS LLC,WNT,2013-09-30,1603000,263190,6.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,69380000,5395050,12.0,-5131860,-6.0,SELL-PARTIAL,5 - Large
19,BAC,SEIZERT CAPITAL PARTNERS LLC,WNT,2013-09-30,1603000,263190,6.0,SEIZERT CAPITAL PARTNERS LLC,WNT,2013-06-30,1437000,263190,5.0,0,1.0,SELL-PARTIAL,5 - Large
20,RWT,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,61875000,3142461,19.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,45502000,2676606,16.0,465855,3.0,SELL-PARTIAL,5 - Large
21,MSFT,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,61486000,1847522,33.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,69079000,1999692,34.0,-152170,-1.0,SELL-PARTIAL,6 - Mega
22,FWLT,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,61246000,2325198,26.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,63710000,2934598,21.0,-609400,5.0,BUY-MORE,5 - Large
23,MUR,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,58953000,977336,60.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,56825000,933247,60.0,44089,0.0,SELL-PARTIAL,5 - Large
24,OXY,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,56032000,599021,93.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,55350000,620308,89.0,-21287,4.0,BUY-MORE,6 - Mega
25,ZION,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,55559000,2026213,27.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,62717000,2168653,28.0,-142440,-1.0,BUY-MORE,4 - Mid
26,WDC,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,55016000,867767,63.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,57468000,925552,62.0,-57785,1.0,SELL-PARTIAL,6 - Mega
27,APA,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,54942000,645313,85.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,55312000,659807,83.0,-14494,2.0,SELL-PARTIAL,5 - Large
28,CSCO,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,54132000,2310260,23.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,61890000,2543242,24.0,-232982,-1.0,BUY-MORE,5 - Large
29,AAPL,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,54128000,113535,476.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,43230000,109020,396.0,4515,80.0,SELL-PARTIAL,5 - Large
30,HCC1,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,53408000,1218805,43.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,56093000,1301151,43.0,-82346,0.0,BUY-MORE,6 - Mega
31,RE,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,52029000,357812,145.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,49149000,383197,128.0,-25385,17.0,SELL-PARTIAL,5 - Large
32,A,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,51616000,1007150,51.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,46118000,1078541,42.0,-71391,9.0,BUY-MORE,5 - Large
33,JNJ,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,51032000,588672,86.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,72813000,848049,85.0,-259377,1.0,SELL-PARTIAL,5 - Large
34,AMGN,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,48832000,436294,111.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,60537000,613590,98.0,-177296,13.0,BUY-MORE,5 - Large
35,UTHR,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,48483000,614881,78.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,43287000,657662,65.0,-42781,13.0,SELL-PARTIAL,5 - Large
36,COF,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,47563000,691920,68.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,47428000,755105,62.0,-63185,6.0,SELL-PARTIAL,4 - Mid
37,DSX,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,47484000,3934014,12.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,42405000,4223582,10.0,-289568,2.0,BUY-MORE,4 - Mid
38,ITT,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-09-30,47105000,1310301,35.0,SEIZERT CAPITAL PARTNERS LLC,SHR,2013-06-30,40568000,1379400,29.0,-69099,6.0,SELL-PARTIAL,6 - Mega
