,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,JNJ,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,56695000,654000,86.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,56238000,655000,85.0,-1000,1.0,HOLD,3 - Small
1,MSFT,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,56061000,1683000,33.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,58705000,1700110,34.0,-17110,-1.0,SELL-PARTIAL,6 - Mega
2,TWX,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,55609000,845000,65.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,49436000,855000,57.0,-10000,8.0,SELL-PARTIAL,6 - Mega
3,RTX,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,54988000,510000,107.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,48422000,521000,92.0,-11000,15.0,HOLD,3 - Small
4,SLB,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,53012000,599960,88.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,42580000,594190,71.0,5770,17.0,BUY-MORE,6 - Mega
5,PG,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,48476000,641300,75.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,50274000,653000,76.0,-11700,-1.0,SELL-PARTIAL,5 - Large
6,NBL,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,48368000,721800,67.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,42736000,711800,60.0,10000,7.0,SELL-PARTIAL,6 - Mega
7,XOM,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,47692000,554300,86.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,52114000,576800,90.0,-22500,-4.0,SELL-PARTIAL,5 - Large
8,PEP,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,46790000,588550,79.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,46060000,563150,81.0,25400,-2.0,HOLD,5 - Large
9,HON,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,46004000,554000,83.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,44097000,555800,79.0,-1800,4.0,SELL-PARTIAL,6 - Mega
10,BA,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,45696000,388900,117.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,38087000,371800,102.0,17100,15.0,SELL-PARTIAL,5 - Large
11,JPM,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,45407000,878444,51.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,42810000,810944,52.0,67500,-1.0,SELL-PARTIAL,5 - Large
12,RVBD,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,45000000,3084290,14.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,44931000,2887570,15.0,196720,-1.0,SELL-PARTIAL,5 - Large
13,TXN,SENTINEL ASSET MANAGEMENT INC,SHR,2013-09-30,44603000,1107600,40.0,SENTINEL ASSET MANAGEMENT INC,SHR,2013-06-30,37589000,1077980,34.0,29620,6.0,SELL-PARTIAL,6 - Mega
