,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,RLGY,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-09-30,82773000,1924069,43.0,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-06-30,37555000,781738,48.0,1142331,-5.0,BUY-MORE,5 - Large
1,BAC,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-09-30,59103000,4282850,13.0,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-06-30,46695000,3630990,12.0,651860,1.0,BUY-MORE,5 - Large
2,WHR,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-09-30,51452000,351349,146.0,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-06-30,39119000,342071,114.0,9278,32.0,BUY-MORE,5 - Large
3,DISH,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-09-30,47297000,1050820,45.0,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-06-30,33772000,794253,42.0,256567,3.0,BUY-MORE,6 - Mega
4,TMUS,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-09-30,40843000,1572705,25.0,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-06-30,30267000,1219945,24.0,352760,1.0,BUY-MORE,
5,CMA,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-09-30,39644000,1008501,39.0,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-06-30,32765000,822621,39.0,185880,0.0,BUY-MORE,6 - Mega
6,VIAC,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-09-30,38385000,695876,55.0,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-06-30,26564000,543561,48.0,152315,7.0,BUY-MORE,5 - Large
7,TWX,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-09-30,37209000,565403,65.0,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-06-30,23779000,411252,57.0,154151,8.0,SELL-PARTIAL,5 - Large
8,STZ,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-09-30,35375000,616286,57.0,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-06-30,27561000,528801,52.0,87485,5.0,BUY-MORE,5 - Large
9,PCP,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-09-30,33487000,147362,227.0,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-06-30,28518000,126182,226.0,21180,1.0,SELL-PARTIAL,6 - Mega
10,AYI,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-09-30,28106000,305429,92.0,SIRIOS CAPITAL MANAGEMENT L P,SHR,2013-06-30,10620000,140624,75.0,164805,17.0,SELL-PARTIAL,5 - Large
