,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,CLH,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,93277000,1590131,58.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,87383000,1729326,50.0,-139195,8.0,BUY-MORE,4 - Mid
1,WCN,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,91488000,2014718,45.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,92166000,2240298,41.0,-225580,4.0,SELL-PARTIAL,4 - Mid
2,INGR,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,83472000,1261481,66.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,84377000,1285844,65.0,-24363,1.0,SELL-PARTIAL,5 - Large
3,KAR,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,81358000,2884008,28.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,68945000,3014638,22.0,-130630,6.0,SELL-PARTIAL,5 - Large
4,IEX,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,75545000,1157784,65.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,67690000,1257948,53.0,-100164,12.0,SELL-PARTIAL,4 - Mid
5,CPRT,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,71872000,2260846,31.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,63475000,2060892,30.0,199954,1.0,SELL-PARTIAL,5 - Large
6,HEI.A,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,66501000,1326309,50.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,51971000,1408034,36.0,-81725,14.0,SELL-PARTIAL,4 - Mid
7,ROLL,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,65346000,991751,65.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,53912000,1037771,51.0,-46020,14.0,SELL-PARTIAL,5 - Large
8,ASNA,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,60838000,3052559,19.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,56299000,3226294,17.0,-173735,2.0,SELL-PARTIAL,4 - Mid
9,CVA,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,60301000,2820458,21.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,60014000,2997693,20.0,-177235,1.0,SELL-PARTIAL,4 - Mid
10,GGG,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,59338000,801213,74.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,53797000,851083,63.0,-49870,11.0,SELL-PARTIAL,4 - Mid
11,SSD,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,56678000,1740181,32.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,56649000,1925511,29.0,-185330,3.0,SELL-PARTIAL,4 - Mid
12,UGI,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,53944000,1378581,39.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,56696000,1449651,39.0,-71070,0.0,SELL-PARTIAL,4 - Mid
13,CATM,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,51798000,1395805,37.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,40358000,1462237,27.0,-66432,10.0,SELL-PARTIAL,4 - Mid
14,HAE,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,50253000,1260106,39.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,51681000,1249846,41.0,10260,-2.0,BUY-MORE,4 - Mid
15,ESL,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,48615000,608525,79.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,44787000,619550,72.0,-11025,7.0,SELL-PARTIAL,4 - Mid
16,ESND,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,44443000,1023089,43.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,36850000,1098374,33.0,-75285,10.0,BUY-MORE,4 - Mid
17,AAWW,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,44188000,959980,46.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,45828000,1047260,43.0,-87280,3.0,BUY-MORE,4 - Mid
18,POWI,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,40717000,751783,54.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,31664000,780673,40.0,-28890,14.0,SELL-PARTIAL,4 - Mid
19,CBT,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,39132000,916224,42.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,36408000,972954,37.0,-56730,5.0,BUY-MORE,4 - Mid
20,ENTG,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,38709000,3809929,10.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,37557000,4001864,9.0,-191935,1.0,SELL-PARTIAL,4 - Mid
21,TDY,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,38272000,450627,84.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,35423000,457957,77.0,-7330,7.0,SELL-PARTIAL,4 - Mid
22,WWD,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,36977000,905642,40.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,37644000,941107,39.0,-35465,1.0,SELL-PARTIAL,4 - Mid
23,HITT,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,36844000,563793,65.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,33061000,570013,58.0,-6220,7.0,SELL-PARTIAL,4 - Mid
24,CW,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,36576000,778875,46.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,41123000,1109640,37.0,-330765,9.0,SELL-PARTIAL,4 - Mid
25,SMTC,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,35127000,1171291,29.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,42456000,1211976,35.0,-40685,-6.0,SELL-PARTIAL,5 - Large
26,CCMP,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,34151000,886811,38.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,31635000,958351,33.0,-71540,5.0,SELL-PARTIAL,4 - Mid
27,THR,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,33397000,1445148,23.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,23282000,1141265,20.0,303883,3.0,SELL-PARTIAL,3 - Small
28,CGNX,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,32537000,1039839,31.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,25820000,570992,45.0,468847,-14.0,SELL-PARTIAL,4 - Mid
29,KMT,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,27599000,605243,45.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,25685000,661473,38.0,-56230,7.0,SELL-PARTIAL,5 - Large
30,RLI,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,24616000,281578,87.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,22488000,294308,76.0,-12730,11.0,SELL-PARTIAL,4 - Mid
31,KAMN,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,24555000,648568,37.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,22985000,665078,34.0,-16510,3.0,SELL-PARTIAL,4 - Mid
32,APH,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,22122000,285883,77.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,29194000,374566,77.0,-88683,0.0,BUY-MORE,5 - Large
33,ORLY,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-09-30,20880000,163652,127.0,SNYDER CAPITAL MANAGEMENT L P,SHR,2013-06-30,23551000,209122,112.0,-45470,15.0,SELL-PARTIAL,5 - Large
