,ticker,investorname_x,securitytype_x,calendardate_x,value_x,units_x,price_x,investorname_y,securitytype_y,calendardate_y,value_y,units_y,price_y,units_chg,price_chg,action,scale
0,TMO,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,156388000,1697107,92.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,146381000,1729662,84.0,-32555,8.0,SELL-PARTIAL,6 - Mega
1,SLB,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,153999000,1742855,88.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,129600000,1808540,71.0,-65685,17.0,SELL-PARTIAL,6 - Mega
2,QCOM,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,153307000,2277281,67.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,108947000,1783390,61.0,493891,6.0,SELL-PARTIAL,6 - Mega
3,AIG,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,149171000,3067469,48.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,142585000,3189825,44.0,-122356,4.0,SELL-PARTIAL,4 - Mid
4,TXN,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,147457000,3659892,40.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,132914000,3813883,34.0,-153991,6.0,SELL-PARTIAL,6 - Mega
5,BAC,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,145478000,10541880,13.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,140504000,10925681,12.0,-383801,1.0,BUY-MORE,5 - Large
6,CIT,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,144226000,2957272,48.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,43217000,926815,46.0,2030457,2.0,BUY-MORE,5 - Large
7,WFTIQ,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,143402000,9354367,15.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,131820000,9621899,13.0,-267532,2.0,BUY-MORE,5 - Large
8,COF,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,142334000,2070610,68.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,149788000,2384786,62.0,-314176,6.0,SELL-PARTIAL,6 - Mega
9,DD1,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,142130000,2427086,58.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,131888000,2512150,52.0,-85064,6.0,SELL-PARTIAL,6 - Mega
10,CVS,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,141769000,2498140,56.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,128658000,2250061,57.0,248079,-1.0,SELL-PARTIAL,5 - Large
11,MMC,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,141309000,3244745,43.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,131682000,3298659,39.0,-53914,4.0,SELL-PARTIAL,6 - Mega
12,CAH,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,140653000,2697093,52.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,130729000,2769691,47.0,-72598,5.0,SELL-PARTIAL,5 - Large
13,GE,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,137475000,5754511,23.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,134105000,5782882,23.0,-28371,0.0,SELL-PARTIAL,5 - Large
14,DTV1,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,137367000,2297882,59.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,132614000,2151434,61.0,146448,-2.0,BUY-MORE,5 - Large
15,A,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,137228000,2677626,51.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,121412000,2839391,42.0,-161765,9.0,BUY-MORE,5 - Large
16,AMAT,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,136256000,7772312,17.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,131635000,8822713,14.0,-1050401,3.0,SELL-PARTIAL,5 - Large
17,HSP,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,134030000,3417379,39.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,134854000,3520080,38.0,-102701,1.0,SELL-PARTIAL,6 - Mega
18,BP,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,133279000,3171034,42.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,134019000,3210804,41.0,-39770,1.0,SELL-PARTIAL,6 - Mega
19,AON,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,130684000,1755557,74.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,143001000,2222245,64.0,-466688,10.0,SELL-PARTIAL,4 - Mid
20,NVS,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,127237000,1658673,76.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,121110000,1712768,70.0,-54095,6.0,SELL-PARTIAL,3 - Small
21,MSFT,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,127054000,3817729,33.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,135409000,3919777,34.0,-102048,-1.0,BUY-MORE,5 - Large
22,GOOGL,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,125483000,143260,875.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,130669000,148425,880.0,-5165,-5.0,SELL-PARTIAL,5 - Large
23,MRK,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,125235000,2630493,47.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,125502000,2701864,46.0,-71371,1.0,SELL-PARTIAL,6 - Mega
24,IVZ,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,124489000,3902485,31.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,127158000,3998670,31.0,-96185,0.0,BUY-MORE,5 - Large
25,LOW,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,123689000,2597972,47.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,110629000,2704861,40.0,-106889,7.0,SELL-PARTIAL,4 - Mid
26,ANTM,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,123663000,1479042,83.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,136498000,1667860,81.0,-188818,2.0,BUY-MORE,5 - Large
27,FLEX,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,120409000,13246346,9.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,133980000,17310054,7.0,-4063708,2.0,SELL-PARTIAL,5 - Large
28,UNH,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,116949000,1633138,71.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,108790000,1661425,65.0,-28287,6.0,SELL-PARTIAL,5 - Large
29,TWX,SOUND SHORE MANAGEMENT INC,SHR,2013-09-30,115442000,1754178,65.0,SOUND SHORE MANAGEMENT INC,SHR,2013-06-30,115038000,1989594,57.0,-235416,8.0,BUY-MORE,5 - Large
